mapping_kind,command_path,schema,reachable,source_file,evidence_level,notes
envelope,comfy assets push,assets,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy auth list,auth,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy auth remove,auth,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy auth set,auth,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy cloud login,auth,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy cloud logout,auth,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy cloud whoami,auth,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy discover,discover,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy download,transfer,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy env,env,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy help,help,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy jobs ls,jobs,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy jobs status,jobs,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy jobs wait,jobs_wait,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy jobs watch,jobs,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy logs,logs,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy models list-folder,models,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy models list-folders,models,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy models search,models,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy models show,models,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes categories,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes downstream,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes ls,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes path,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes refresh,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes search,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes show,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes types,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy nodes upstream,nodes,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy preview,preview,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy project init,project,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy project status,project,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy run,run,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy set-default,set_default,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skill install,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skill list,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skill show,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skill status,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skill uninstall,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skills install,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skills show,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skills status,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skills uninstall,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy skills validate,skill,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy templates fetch,templates,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy templates ls,templates,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy templates refresh,templates,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy templates show,templates,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy upload,transfer,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy validate,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy version,version,false,comfy_cli/discovery.py,code-inferred,Orphan mapping: no registered `comfy version` leaf; global --version emits this payload.
envelope,comfy which,which,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow compose,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow decompose,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow delete,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow fragment ls,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow fragment show,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow fragment validate,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow get,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow list,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow save,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow set-slot,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow slots,workflow,true,comfy_cli/discovery.py,code-inferred,
envelope,comfy workflow vary,workflow,true,comfy_cli/discovery.py,code-inferred,
stream,comfy jobs watch,run_event,true,comfy_cli/discovery.py,code-inferred,
stream,comfy run,run_event,true,comfy_cli/discovery.py,code-inferred,
