source_record_id,path,disposition,reason,mapped_record_ids,mapped_feature_ids,source_evidence_level
COMFY-EMBEDSRC-315161DD3154,.cursorrules,repository/package infrastructure,Repository metadata or non-code asset.,,,documented-only
COMFY-EMBEDSRC-A21D655CC2A4,.github/scripts/check_md_links.py,executable/package tooling,"Packaging, linting, or validation tooling; not a production node implementation.",,,code-inferred
COMFY-EMBEDSRC-294E0349F1DE,.github/workflows/auto-delete-merged-branches.yml,CI workflow,Repository lifecycle automation.,,,code-inferred
COMFY-EMBEDSRC-FE167DA67E0A,.github/workflows/check-md-links.yml,CI workflow,Repository lifecycle automation.,,,code-inferred
COMFY-EMBEDSRC-7AA0BB52169D,.github/workflows/cla.yml,CI workflow,Repository lifecycle automation.,,,code-inferred
COMFY-EMBEDSRC-551D1FCF87F7,.github/workflows/publish.yml,CI workflow,Repository lifecycle automation.,,,code-inferred
COMFY-EMBEDSRC-BC37D034BAD5,.gitignore,repository/package infrastructure,Repository metadata or non-code asset.,,,documented-only
COMFY-EMBEDSRC-C693279643B8,LICENSE,repository/package infrastructure,Repository metadata or non-code asset.,,,documented-only
COMFY-EMBEDSRC-41D5A52589E0,MANIFEST.in,package configuration,Python package metadata retained as source evidence only.,,,code-inferred
COMFY-EMBEDSRC-B33563055168,README.md,governance/tool documentation,Repository tool documentation.,,,documented-only
COMFY-EMBEDSRC-8255AA0F39F2,comfyui_embedded_docs/__init__.py,executable/package tooling,"Packaging, linting, or validation tooling; not a production node implementation.",,,code-inferred
COMFY-EMBEDSRC-954233A126A9,comfyui_embedded_docs/docs/APG/ar.md,localized node documentation,Generated/localized node documentation; English is the claim source.,COMFY-EMBEDDOC-B386E498BBD7,COMFY-NODE-0007,documented-only
COMFY-EMBEDSRC-83267CF95CC9,comfyui_embedded_docs/docs/APG/en.md,English node documentation,English AI-generated node claim source requiring executable corroboration.,COMFY-EMBEDDOC-B386E498BBD7,COMFY-NODE-0007,documented-only
COMFY-EMBEDSRC-A39CA57501BA,comfyui_embedded_docs/docs/APG/es.md,localized node documentation,Generated/localized node documentation; English is the claim source.,COMFY-EMBEDDOC-B386E498BBD7,COMFY-NODE-0007,documented-only
COMFY-EMBEDSRC-99BCE386FDD7,comfyui_embedded_docs/docs/APG/fa.md,localized node documentation,Generated/localized node documentation; English is the claim source.,COMFY-EMBEDDOC-B386E498BBD7,COMFY-NODE-0007,documented-only
