feature_id,product,domain,name,classification,availability,evidence_level,confidence,schema_format,serialization_behavior,migration_backward_compatibility,failure_recovery,source_evidence,test_evidence,current_zed_status,exact_parity_gap,acceptance_criteria,validation,open_questions
COMFY-FORMAT-001,ComfyUI,format/persistence,Prompt API graph,execution graph JSON,active,code-inferred,high,"Object keyed by node IDs; each node has class_type, inputs, optional _meta title; links are [upstream_node_id, output_index]; literal lists use {""__value__"": value}.","Object keyed by node IDs; each node has class_type, inputs, optional _meta title; links are [upstream_node_id, output_index]; literal lists use {""__value__"": value}.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",server.py:post_prompt; execution.py:validate_prompt; comfy_execution/graph_utils.py:is_link,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Prompt API graph.,"Zed shall round-trip deterministic Prompt API graph fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Prompt API graph.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-002,ComfyUI,format/persistence,Legacy V1 object_info,node schema JSON,active,code-inferred,high,"Serializes input/input_order/list flags, output types/names/list flags, name/display/description/module/category, output/intermediate/deprecated/experimental/API/search aliases.","Serializes input/input_order/list flags, output types/names/list flags, name/display/description/module/category, output/intermediate/deprecated/experimental/API/search aliases.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",server.py:node_info,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Legacy V1 object_info.,"Zed shall round-trip deterministic Legacy V1 object_info fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Legacy V1 object_info.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-003,ComfyUI,format/persistence,V3 Schema bridge,node schema JSON,active,code-inferred,high,"V3 IO Schema finalizes nested/autogrow/dynamic combo inputs, hidden inputs, typed outputs, flags, UI metadata, pricing badge, and converts to V1 object info.","V3 IO Schema finalizes nested/autogrow/dynamic combo inputs, hidden inputs, typed outputs, flags, UI metadata, pricing badge, and converts to V1 object info.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_io.py:Schema/ComfyNode.GET_SCHEMA,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for V3 Schema bridge.,"Zed shall round-trip deterministic V3 Schema bridge fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for V3 Schema bridge.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-004,ComfyUI,format/persistence,Prompt queue item,queue tuple,active,test-backed,high,"(priority_number, prompt_id, prompt_graph, extra_data, output_ids, sensitive_data); public snapshots remove sensitive_data.","(priority_number, prompt_id, prompt_graph, extra_data, output_ids, sensitive_data); public snapshots remove sensitive_data.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",server.py:post_prompt; execution.py:PromptQueue; main.py:prompt_worker,tests-unit/jobs_cancel_test/jobs_cancel_test.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Prompt queue item.,"Zed shall round-trip deterministic Prompt queue item fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Prompt queue item.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-005,ComfyUI,format/persistence,Prompt history entry,history JSON,active,code-inferred,high,"Maps prompt ID to sanitized prompt tuple, outputs, status {status_str, completed, messages}, and execution UI/result fields; memory-only with bounded retention.","Maps prompt ID to sanitized prompt tuple, outputs, status {status_str, completed, messages}, and execution UI/result fields; memory-only with bounded retention.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",execution.py:PromptQueue.task_done/get_history,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Prompt history entry.,"Zed shall round-trip deterministic Prompt history entry fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Prompt history entry.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-006,ComfyUI,format/persistence,Normalized job entry,job JSON,active,code-inferred,high,Normalizes queue/history into ID/status/workflow/create time/output counts/preview and optional outputs; filters/sorts/paginates.,Normalizes queue/history into ID/status/workflow/create time/output counts/preview and optional outputs; filters/sorts/paginates.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_execution/jobs.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Normalized job entry.,"Zed shall round-trip deterministic Normalized job entry fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Normalized job entry.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-007,ComfyUI,format/persistence,SavedResult/FileLocator,file locator JSON,active,code-inferred,high,"{filename, subfolder, type} where type is input/output/temp; animated/UI wrappers place locators under images/audio/latents/result.","{filename, subfolder, type} where type is input/output/temp; animated/UI wrappers place locators under images/audio/latents/result.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_ui.py; nodes.py:SaveImage/SaveLatent,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for SavedResult/FileLocator.,"Zed shall round-trip deterministic SavedResult/FileLocator fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for SavedResult/FileLocator.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-008,ComfyUI,format/persistence,IMAGE,tensor contract,active,test-backed,high,"Float torch tensor shaped [batch,height,width,channels], generally range 0..1; image load applies EXIF transpose and animation batching.","Float torch tensor shaped [batch,height,width,channels], generally range 0..1; image load applies EXIF transpose and animation batching.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_input/basic_types.py:ImageInput; comfy_api/latest/_io.py:Image; nodes.py:LoadImage,tests-unit/server_test/test_cache_control.py | tests/execution/testing_nodes/testing-pack/async_test_nodes.py | tests/execution/testing_nodes/testing-pack/specific_tests.py | tests/execution/testing_nodes/testing-pack/stubs.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for IMAGE.,"Zed shall round-trip deterministic IMAGE fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for IMAGE.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-009,ComfyUI,format/persistence,MASK,tensor contract,active,test-backed,high,"Float tensor shaped [batch,height,width], with alpha/mask conventions defined by loader and mask nodes.","Float tensor shaped [batch,height,width], with alpha/mask conventions defined by loader and mask nodes.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_input/basic_types.py:MaskInput; comfy_api/latest/_io.py:Mask; nodes.py:LoadImage/LoadImageMask,tests/execution/testing_nodes/testing-pack/specific_tests.py | tests/execution/testing_nodes/testing-pack/stubs.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for MASK.,"Zed shall round-trip deterministic MASK fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for MASK.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-010,ComfyUI,format/persistence,LATENT,tensor contract,active,code-inferred,high,"Dictionary with samples tensor, plus optional noise_mask, batch_index, model-specific spatial/temporal ratios and auxiliary fields.","Dictionary with samples tensor, plus optional noise_mask, batch_index, model-specific spatial/temporal ratios and auxiliary fields.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",nodes.py; comfy/latent_formats.py; comfy_api/latest/_input/basic_types.py:LatentInput; comfy_api/latest/_io.py:Latent,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for LATENT.,"Zed shall round-trip deterministic LATENT fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for LATENT.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
