surface,member,interface,consumer,feature_id,source,contract,trust_boundary,evidence_level,source_signature,signature_confidence,unresolved_schema
window.api,platform,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-174,projects/comfy/Comfy-Desktop/src/types/ipc.ts:946,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:946 (source) => L946: platform: NodeJS.Platform; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.platform does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:946 (source) => L946: platform: NodeJS.Platform,typed-static-signature,"The static declaration for window.api.platform does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getSources,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-001,projects/comfy/Comfy-Desktop/src/types/ipc.ts:949,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:949 (source) => L949: getSources(): Promise<Source[]>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getSources does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:949 (source) => L949: getSources(): Promise<Source[]>,typed-static-signature,"The static declaration for window.api.getSources does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getFieldOptions,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-174,projects/comfy/Comfy-Desktop/src/types/ipc.ts:950,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:950 (source) => L950: getFieldOptions( | L951: sourceId: string, | L952: fieldId: string, | L953: selections: Record<string, FieldOption>, | L954: context?: Record<string, unknown> | L955: ): Promise<FieldOption[]>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getFieldOptions does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,"projects/comfy/Comfy-Desktop/src/types/ipc.ts:950 (source) => L950: getFieldOptions( | L951: sourceId: string, | L952: fieldId: string, | L953: selections: Record<string, FieldOption>, | L954: context?: Record<string, unknown> | L955: ): Promise<FieldOption[]>",typed-static-signature,"The static declaration for window.api.getFieldOptions does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,buildInstallation,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:956,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:956 (source) => L956: buildInstallation( | L957: sourceId: string, | L958: selections: Record<string, FieldOption> | L959: ): Promise<Record<string, unknown>>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.buildInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,"projects/comfy/Comfy-Desktop/src/types/ipc.ts:956 (source) => L956: buildInstallation( | L957: sourceId: string, | L958: selections: Record<string, FieldOption> | L959: ): Promise<Record<string, unknown>>",typed-static-signature,"The static declaration for window.api.buildInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getDefaultInstallDir,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:960,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:960 (source) => L960: getDefaultInstallDir(): Promise<string>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getDefaultInstallDir does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:960 (source) => L960: getDefaultInstallDir(): Promise<string>,typed-static-signature,"The static declaration for window.api.getDefaultInstallDir does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,detectGPU,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-010,projects/comfy/Comfy-Desktop/src/types/ipc.ts:961,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:961 (source) => L961: detectGPU(): Promise<GPUInfo | null>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.detectGPU does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:961 (source) => L961: detectGPU(): Promise<GPUInfo | null>,typed-static-signature,"The static declaration for window.api.detectGPU does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,validateHardware,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-010,projects/comfy/Comfy-Desktop/src/types/ipc.ts:962,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:962 (source) => L962: validateHardware(): Promise<HardwareValidation>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.validateHardware does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:962 (source) => L962: validateHardware(): Promise<HardwareValidation>,typed-static-signature,"The static declaration for window.api.validateHardware does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,checkNvidiaDriver,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-010,projects/comfy/Comfy-Desktop/src/types/ipc.ts:963,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:963 (source) => L963: checkNvidiaDriver(): Promise<NvidiaDriverCheck | null>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.checkNvidiaDriver does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:963 (source) => L963: checkNvidiaDriver(): Promise<NvidiaDriverCheck | null>,typed-static-signature,"The static declaration for window.api.checkNvidiaDriver does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,browseFolder,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-187,projects/comfy/Comfy-Desktop/src/types/ipc.ts:966,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:966 (source) => L966: browseFolder(defaultPath?: string): Promise<string | null>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.browseFolder does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:966 (source) => L966: browseFolder(defaultPath?: string): Promise<string | null>,typed-static-signature,"The static declaration for window.api.browseFolder does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,openPath,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-187,projects/comfy/Comfy-Desktop/src/types/ipc.ts:967,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:967 (source) => L967: openPath(targetPath: string): Promise<void>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.openPath does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:967 (source) => L967: openPath(targetPath: string): Promise<void>,typed-static-signature,"The static declaration for window.api.openPath does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
