kind,name,availability,feature_id,default,behavior,source,evidence_level
environment-variable,APPDATA,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention; projects/comfy/Comfy-Desktop/src/main/lib/desktopDetect.ts,code-inferred
environment-variable,APPIMAGE,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/updater.ts,code-inferred
environment-variable,CI,developer-only,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention,code-inferred
environment-variable,COMFY_FORCE_BOOTSTRAP_GIT,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/index.ts,code-inferred
environment-variable,COMFY_FORCE_PYGIT2,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts; projects/comfy/Comfy-Desktop/src/main/lib/ipc/shared.ts,code-inferred
environment-variable,COMSPEC,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/terminal.ts,code-inferred
environment-variable,DISPLAY,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention,code-inferred
environment-variable,E2E,developer-only,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/host/panelView.ts; projects/comfy/Comfy-Desktop/src/main/index.ts; projects/comfy/Comfy-Desktop/src/main/lib/e2eOverrides.ts; projects/comfy/Comfy-Desktop/src/main/lib/updater.ts; projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts; projects/comfy/Comfy-Desktop/src/main/settings.ts; projects/comfy/Comfy-Desktop/src/renderer/src/panel/PanelApp.vue,code-inferred
environment-variable,E2E_PERIODIC_RECHECK_MS,developer-only,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
environment-variable,E2E_SETTINGS_SEED,developer-only,COMFY-DESKTOP-149,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/settings.ts,code-inferred
environment-variable,ELECTRON_RENDERER_URL,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts; projects/comfy/Comfy-Desktop/src/main/host/panelView.ts; projects/comfy/Comfy-Desktop/src/main/popups/embeddedPopupView.ts,code-inferred
environment-variable,GITHUB_TOKEN,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/fetch.ts,code-inferred
environment-variable,HOME,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention,code-inferred
environment-variable,LOCALAPPDATA,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention; projects/comfy/Comfy-Desktop/src/main/lib/desktopDetect.ts; projects/comfy/Comfy-Desktop/src/main/lib/disk.ts; projects/comfy/Comfy-Desktop/src/main/lib/paths.ts,code-inferred
environment-variable,OneDrive,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/disk.ts,code-inferred
environment-variable,OneDriveCommercial,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/disk.ts,code-inferred
environment-variable,OneDriveConsumer,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/disk.ts,code-inferred
environment-variable,PATH,conditional,COMFY-DESKTOP-187,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention,code-inferred
environment-variable,POSTHOG_API_KEY,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts,code-inferred
environment-variable,POSTHOG_ENABLED,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts,code-inferred
environment-variable,POSTHOG_HOST,conditional,COMFY-DESKTOP-076,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts,code-inferred
environment-variable,PROGRAMDATA,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention,code-inferred
environment-variable,PYTHONFAULTHANDLER,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/shared.ts,code-inferred
