record_id,family,name,legacy_behavior,source_evidence,corroborated_feature_ids,evidence_level,availability,native_rust_wasm_port,production_legacy_execution
COMFY-DOC-EXT-2DEC1FE2E531,Python V1 legacy,custom_nodes discovery,Scan custom_nodes and import modules,custom-nodes/backend/lifecycle.mdx,COMFY-EXT-003; COMFY-EXT-006; COMFY-EXT-009,documented-only,deprecated compatibility,plugin manifest discovery port,prohibited
COMFY-DOC-EXT-9787E3D64F2D,Python V1 legacy,__init__.py,Execute Python package initializer,custom-nodes/backend/lifecycle.mdx,COMFY-EXT-003; COMFY-EXT-006; COMFY-EXT-009,documented-only,deprecated compatibility,never execute; ingest signed compatibility manifest only,prohibited
COMFY-DOC-EXT-A2FA1159364B,Python V1 legacy,__all__,Python export declaration,custom-nodes/backend/lifecycle.mdx,COMFY-EXT-003; COMFY-EXT-006; COMFY-EXT-009,documented-only,deprecated compatibility,legacy manifest import mapping,prohibited
COMFY-DOC-EXT-53AD5A51980F,Python V1 legacy,NODE_CLASS_MAPPINGS,Map globally unique legacy node identifier to Python class,custom-nodes/backend/lifecycle.mdx,COMFY-EXT-003; COMFY-EXT-006; COMFY-EXT-009,documented-only,deprecated compatibility,legacy identifier to native descriptor mapping,prohibited
COMFY-DOC-EXT-3FB1CB273D2A,Python V1 legacy,NODE_DISPLAY_NAME_MAPPINGS,Map legacy identifier to display name,custom-nodes/backend/lifecycle.mdx,COMFY-EXT-003; COMFY-EXT-006; COMFY-EXT-009,documented-only,deprecated compatibility,localized native descriptor field,prohibited
COMFY-DOC-EXT-471F0AE226C6,Python V1 legacy,WEB_DIRECTORY,Serve extension JavaScript and documentation,custom-nodes/backend/lifecycle.mdx,COMFY-EXT-003; COMFY-EXT-006; COMFY-EXT-009,documented-only,deprecated compatibility,static signed assets/docs port; no JavaScript execution,prohibited
COMFY-DOC-EXT-23796A3B0B56,Python V1 legacy,failed import isolation,Continue startup and report failed custom-node import,custom-nodes/backend/lifecycle.mdx,COMFY-EXT-003; COMFY-EXT-006; COMFY-EXT-009,documented-only,deprecated compatibility,plugin quarantine and visible diagnostic state,prohibited
COMFY-DOC-EXT-EE6A49769C60,Python V3 legacy,comfy_api.latest,Moving development API alias,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,version-negotiated Rust/WASM SDK import,prohibited
COMFY-DOC-EXT-B68AA2F5A375,Python V3 legacy,comfy_api.v0_0_2,Pinned versioned Python API,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,versioned Rust/WASM ABI namespace,prohibited
COMFY-DOC-EXT-E9E70D1E52A0,Python V3 legacy,io.ComfyNode,Node base class,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,native node trait,prohibited
