feature_id,path,top_level,hidden,classification,availability,evidence_level,confidence,help,source_file,symbol,line,registration,tests,target_status,parity_decision,notes
COMFY-CLI-CMD-9E2B6163BDC2,comfy _watch _watch-job,_watch,false,reachable CLI leaf,active,code-inferred,high,,comfy_cli/command/job_watcher.py,watch_job,46,decorator,tests/comfy_cli/jobs/test_jobs.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-2942F9AAA11E,comfy agent-review,agent-review,true,reachable CLI leaf,developer-only,code-inferred,high,For agents: submit a short summary of how the session went. Fully consent-gated.,comfy_cli/cmdline.py,agent_review,1486,decorator,tests/comfy_cli/test_cmdline_python_resolution.py | tests/comfy_cli/test_feedback_commands.py | tests/comfy_cli/test_tracking.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-9C49EFCBA129,comfy assets push,assets,false,reachable CLI leaf,active,code-inferred,high,Upload changed files under assets/ to the run target; record them in the lock.,comfy_cli/command/project.py,assets_push_cmd,184,decorator,tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_project.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-F1AC21FF9BEE,comfy auth list,auth,false,reachable CLI leaf,active,code-inferred,high,"List third-party API-key providers (civitai, huggingface).",comfy_cli/auth/command.py,list_cmd,28,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-9AFC11A36497,comfy auth remove,auth,false,reachable CLI leaf,active,code-inferred,high,Remove a stored third-party API token.,comfy_cli/auth/command.py,remove_cmd,95,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-42B79C5307CE,comfy auth set,auth,false,reachable CLI leaf,active,code-inferred,high,Set or replace the API token for a third-party model host.,comfy_cli/auth/command.py,set_cmd,46,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-8E7E3F798F2B,comfy cloud login,cloud,false,reachable CLI leaf,cloud/paid,code-inferred,high,Sign in to Comfy Cloud via your browser (OAuth + PKCE).,comfy_cli/cloud/command.py,login_cmd,44,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-CF789F04E419,comfy cloud logout,cloud,false,reachable CLI leaf,cloud/paid,code-inferred,high,Sign out of Comfy Cloud (clears the local OAuth session).,comfy_cli/cloud/command.py,logout_cmd,134,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-F3634696BF8E,comfy cloud set-base-url,cloud,false,reachable CLI leaf,cloud/paid,code-inferred,high,Persist a custom Comfy Cloud base URL (e.g. a PR-preview env).,comfy_cli/cloud/command.py,set_base_url_cmd,249,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-446049474154,comfy cloud set-key,cloud,true,reachable CLI leaf,cloud/paid,code-inferred,high,Persist a Comfy Cloud API key (testing path; canonical sign-in is `comfy cloud login`).,comfy_cli/cloud/command.py,set_key_cmd,314,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-E55798460994,comfy cloud whoami,cloud,false,reachable CLI leaf,cloud/paid,code-inferred,high,Show the current Comfy Cloud sign-in status.,comfy_cli/cloud/command.py,whoami_cmd,151,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
