feature_id,command_id,command_path,scope,name,kind,flags,annotation,value_type,nullable,value_arity,cardinality,repeatable,choices,constraints,boolean_forms,default,default_source,required,hidden,envvar,help,source_file,line,type_evidence,evidence_level,target_status,parity_decision
COMFY-CLI-PARAM-E953751429A8,COMFY-CLI-ROOT,comfy,global,enable_telemetry,option,--enable-telemetry,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,true,,Enable tracking,comfy_cli/cmdline.py,190,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-C2EB296D56CB,COMFY-CLI-ROOT,comfy,global,help_json,option,--help-json,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Print machine-readable help for the entire CLI and exit.,comfy_cli/cmdline.py,228,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-4923E833DFF8,COMFY-CLI-ROOT,comfy,global,here,option,--here,bool | None,boolean,true,0,0..1 flag occurrences,false,,"{""callback"": ""g_exclusivity.validate""}",,,None,false,false,,Execute from current path,comfy_cli/cmdline.py,175,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-ACFE8997C178,COMFY-CLI-ROOT,comfy,global,json_output,option,--json,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Emit a structured JSON envelope on stdout. Side messages go to stderr.,comfy_cli/cmdline.py,204,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-82EC666D8445,COMFY-CLI-ROOT,comfy,global,json_stream,option,--json-stream,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Emit one NDJSON event per line; final line is the envelope.,comfy_cli/cmdline.py,212,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-5AB9BFCF4518,COMFY-CLI-ROOT,comfy,global,no_json,option,--no-json,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Force pretty output even when auto-detection would pick JSON.,comfy_cli/cmdline.py,220,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-138F9421C08D,COMFY-CLI-ROOT,comfy,global,recent,option,--recent,bool | None,boolean,true,0,0..1 flag occurrences,false,,"{""callback"": ""g_exclusivity.validate""}",,,None,false,false,,Execute from recent path,comfy_cli/cmdline.py,167,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-8085979CFDCB,COMFY-CLI-ROOT,comfy,global,skip_prompt,option,--skip-prompt,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,"Do not prompt user for input, use default options",comfy_cli/cmdline.py,183,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-E452E1D0D706,COMFY-CLI-ROOT,comfy,global,version,option,--version | -v,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Print version and exit,comfy_cli/cmdline.py,198,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-A1305A0E99E7,COMFY-CLI-ROOT,comfy,global,where,option,--where,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,Routing mode for this invocation: 'local' or 'cloud'. Overrides COMFY_WHERE and the persisted default (`comfy set-default --where`). Subcommands inherit this — no need to repeat it on each one.,comfy_cli/cmdline.py,236,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-9DACED4C2411,COMFY-CLI-ROOT,comfy,global,workspace,option,--workspace,str | None,string,true,1,0..1 values,false,,"{""callback"": ""g_exclusivity.validate""}",,,None,false,false,,Path to ComfyUI workspace,comfy_cli/cmdline.py,159,static source annotation,code-inferred,missing,Implement the global option in the native Rust CLI and GPUI settings/action surfaces.
COMFY-CLI-PARAM-89115BF2AD35,COMFY-CLI-CMD-9E2B6163BDC2,comfy _watch _watch-job,command,host,option,--host,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,,comfy_cli/command/job_watcher.py,49,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-13507D249BE8,COMFY-CLI-CMD-9E2B6163BDC2,comfy _watch _watch-job,command,notify,option,--notify/--no-notify,bool,boolean,false,0,0..1 flag occurrences,false,,{},--notify | --no-notify,true,True,false,false,,,comfy_cli/command/job_watcher.py,51,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-91B33FE10387,COMFY-CLI-CMD-9E2B6163BDC2,comfy _watch _watch-job,command,port,option,--port,int | None,integer,true,1,0..1 values,false,,{},,,None,false,false,,,comfy_cli/command/job_watcher.py,50,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-C4B5A78B4BDC,COMFY-CLI-CMD-9E2B6163BDC2,comfy _watch _watch-job,command,prompt_id,argument,,str,string,false,1,1 value,false,,{},,,<required>,true,false,,,comfy_cli/command/job_watcher.py,47,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-BD998C60DE9E,COMFY-CLI-CMD-9E2B6163BDC2,comfy _watch _watch-job,command,where,option,--where,str,string,false,1,1 value,false,,{},,,<required>,true,false,,,comfy_cli/command/job_watcher.py,48,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
