feature_id,key,behavior,classification,source_file,line,evidence_level,tests,target_status,parity_decision
COMFY-CLI-ENV-8EAED5950F52,AI_AGENT,Caller detection; truthy values select agentic JSON-oriented defaults.,input,comfy_cli/caller.py,10,test-backed,tests/comfy_cli/output/test_caller.py | tests/comfy_cli/output/test_envelope_schemas.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-F018523047B9,CIVITAI_API_TOKEN,Civitai model-download credential override.,secret input,comfy_cli/command/models/models.py,254,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-7E2A893E02F1,CLAUDECODE,Caller detection for Claude Code sessions.,input,comfy_cli/caller.py,11,test-backed,tests/comfy_cli/output/test_caller.py | tests/comfy_cli/output/test_envelope_schemas.py | tests/comfy_cli/output/test_renderer.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-E77EB4E80765,COMFYUI_MANAGER_ARIA2_SECRET,aria2 RPC secret.,secret input,comfy_cli/constants.py,56,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-0349CCD441B3,COMFYUI_MANAGER_ARIA2_SERVER,aria2 RPC server URL.,input,comfy_cli/constants.py,55,test-backed,tests/comfy_cli/test_aria2_download.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-A14D282EBF3A,COMFYUI_PATH,Exported to ComfyUI-Manager subprocesses as the selected workspace.,child output,comfy_cli/command/custom_nodes/cm_cli_util.py,132,test-backed,tests/comfy_cli/command/test_cm_cli_util.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-699DA541A749,COMFY_API_BASE_URL,Override the partner/OpenAPI API base URL.,input,comfy_cli/command/generate/client.py,5,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-55D8437DD905,COMFY_API_KEY,Partner-node/API credential and Typer envvar for run.,secret input,comfy_cli/cmdline.py,724,test-backed,tests/comfy_cli/command/generate/test_app.py | tests/comfy_cli/command/generate/test_app_lifecycle.py | tests/comfy_cli/command/generate/test_client.py | tests/comfy_cli/command/generate/test_emit.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/test_credentials.py | tests/comfy_cli/test_run_execution_lifecycle.py | tests/comfy_cli/test_tracking.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-06F3863CF54E,COMFY_CLI_BACKGROUND,Marks the recursively launched background CLI process.,child input/output,comfy_cli/command/launch.py,84,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-4017FD21E231,COMFY_CLOUD_API_KEY,Deprecated/testing cloud API-key credential fallback.,secret input,comfy_cli/comfy_client.py,140,test-backed,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_run.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_credentials.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
