key,default_or_fallback,section,availability,feature_id,persistence,behavior,source,tests,evidence_level
cacheDir,platform cache path,Storage,active,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Cache root; changing it affects subsequent downloads.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
maxCachedDownloads,1,Storage,active,COMFY-DESKTOP-136,settings.json (atomic .tmp/.bak strategy),Maximum retained completed download artifacts.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
onAppClose,quit,General,deprecated/dead,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Legacy tray value is sanitized to quit because tray creation is disabled.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
modelsDirs,shared models path,Models,active,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Ordered model roots; first entry is primary.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
inputDir,shared input path,Shared directories,active,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Default Comfy input root.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
outputDir,shared output path,Shared directories,active,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Default Comfy output root.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
installDir,platform installs path,Installation,active,COMFY-DESKTOP-022,settings.json (atomic .tmp/.bak strategy),Default new-install parent.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
language,OS locale,General,active,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Desktop locale override.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
theme,system,General,active,COMFY-DESKTOP-150,settings.json (atomic .tmp/.bak strategy),light/dark/system theme.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
autoUpdate,legacy,Updates,deprecated/dead,COMFY-DESKTOP-107,settings.json (atomic .tmp/.bak strategy),Retained for migration; no longer gates update checks.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
autoInstallUpdates,true,Updates,active,COMFY-DESKTOP-022,settings.json (atomic .tmp/.bak strategy),Automatically downloads/installs supported app updates.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
autoLaunchOnStartup,none,General,active,COMFY-DESKTOP-054,settings.json (atomic .tmp/.bak strategy),"none, last, or installation ID.",projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
confirmBeforeClosingWindow,false,General,active,COMFY-DESKTOP-076,settings.json (atomic .tmp/.bak strategy),Ask before closing an application window.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
pypiMirror,canonical,Advanced,conditional,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Python package index override.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
useChineseMirrors,false,Advanced,conditional,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Enable regional mirrors.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
chineseMirrorsPrompted,false,Internal,infrastructure-only,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),One-time regional mirror prompt marker.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
telemetryEnabled,unset,Telemetry,active,COMFY-DESKTOP-167,settings.json (atomic .tmp/.bak strategy),Tri-state telemetry consent.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
firstUseCompleted,false,Internal,active,COMFY-DESKTOP-036,settings.json (atomic .tmp/.bak strategy),Onboarding completion marker.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
