record_id,path,title,description,role,domain,availability,document_evidence_level,corroboration_status,corroborated_feature_ids,native_parity_treatment
COMFY-DOC-ABD4DBC7A5A0,.github/scripts/cms/staging/cloud/en/changelog/index.mdx,Changelog (CMS staging),,CMS staging English,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-96FCEED130B5,.github/scripts/cms/staging/cloud/es/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-E5D1CDEF3F86,.github/scripts/cms/staging/cloud/fr/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-11A6D0646C21,.github/scripts/cms/staging/cloud/ja/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-CD5FFE4C5022,.github/scripts/cms/staging/cloud/ko/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-7A893FE4AD0A,.github/scripts/cms/staging/cloud/ru/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-58FC072B86FA,.github/scripts/cms/staging/cloud/zh/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-0269065D3931,.github/scripts/cms/staging/en/changelog/index.mdx,Changelog (CMS staging),,CMS staging English,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-3894D7C980FB,.github/scripts/cms/staging/es/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-28BF9083FFA2,.github/scripts/cms/staging/fr/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-776442AE11B3,.github/scripts/cms/staging/ja/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-171433EE2214,.github/scripts/cms/staging/ko/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-4AA3CBE8AD7B,.github/scripts/cms/staging/ru/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-096A601219DE,.github/scripts/cms/staging/zh/changelog/index.mdx,Changelog (CMS staging),,CMS staging localization,.github,infrastructure-only,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-0A675653613A,account/create-account.mdx,Create a Comfy account,Learn how to create a new Comfy account for ComfyUI to access all features and services.,English product page,account,active,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-99A05641F63E,account/delete-account.mdx,Delete your Comfy account,Learn how to permanently delete your Comfy account for ComfyUI and associated data.,English product page,account,active,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-EA736AEBBF0F,account/login.mdx,Log in to your Comfy account,Access your Comfy account for ComfyUI to use all platform features and services.,English product page,account,active,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-1503811DC0F0,agent-tools/cloud.mdx,Comfy Cloud MCP,"Connect Comfy Cloud MCP from Claude Code, Claude Desktop, Cursor, Codex, or any MCP-compatible agent — generate images, video, audio, and 3D, search models and nodes, and run workflows.",English product page,agent-tools,active,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-1ABF434C80C6,agent-tools/comfy-cli.mdx,Comfy CLI,"Drive Comfy from the terminal: local ComfyUI, partner generate calls, and full workflows on Comfy Cloud. Complements MCP for scripts, CI, and automation.",English product page,agent-tools,active,documented-only,pending-executable-comfy-cli-catalog-reconciliation,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-4EE521D50E50,agent-tools/index.mdx,Agent Tools / MCP,"Connect AI agents to ComfyUI via the Model Context Protocol (MCP) for image, video, audio, and 3D content generation.",English product page,agent-tools,active,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-7E3A1EE2D5E2,agent-tools/local.mdx,Comfy Local MCP,"Drive your own local ComfyUI from AI agents (Claude Code, Claude Desktop, Cursor) with the first-party comfy-local-mcp server — run workflows, collect outputs, and inspect the nodes and models your install actually has.",English product page,agent-tools,active,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-4B7BF612EC3C,agent-tools/partner-mcp.mdx,Comfy Partner MCP,"A local MCP server providing unified generation tools across 30+ partner providers (BFL, Ideogram, Kling, Runway, Veo, Meshy, ElevenLabs, and more).",English product page,agent-tools,active,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-EC9DDD81F89B,api-reference/cloud/overview.mdx,Cloud API Overview,,English product page,api-reference,cloud/paid; experimental,documented-only,documented-only-claim-container,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-D0E80DA7434F,built-in-nodes/APG.mdx,APG - ComfyUI Built-in Node Documentation,"Complete documentation for the APG node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0007,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
