source_record_id,path,disposition,reason,mapped_record_ids,mapped_feature_ids,source_evidence_level
COMFY-DOCSRC-BA6F5DB38E91,.claude/commands/create-pr.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-8ABBCFD92549,.claude/commands/verify-visually.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-D5BCB5706381,.cursor/rules/docs-prose.mdc,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-091E355D6BE9,.cursor/skills/cms-changelog-sync/SKILL.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-3EB727BBBD56,.cursor/skills/docs-i18n-review/SKILL.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-6A637CB32039,.cursor/skills/docs-i18n-translate/SKILL.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-51DB1E926020,.env.local.example,repository/site infrastructure,Repository metadata or site infrastructure.,COMFY-DOC-TOOL-16281F9133EE; COMFY-DOC-TOOL-1DC1B80E12B6; COMFY-DOC-TOOL-22C1DF2A878F; COMFY-DOC-TOOL-331E0A7A90AC; COMFY-DOC-TOOL-606B8E7B17DA; COMFY-DOC-TOOL-62F3977FA99A; COMFY-DOC-TOOL-67D7DF7C4B19; COMFY-DOC-TOOL-72AA3E6485C0; COMFY-DOC-TOOL-79E4AB229F5D; COMFY-DOC-TOOL-882FE5806602; COMFY-DOC-TOOL-9445491CC16B; COMFY-DOC-TOOL-96752A2B3F01; COMFY-DOC-TOOL-9A587FEF6847; COMFY-DOC-TOOL-A68D0925BF81; COMFY-DOC-TOOL-B08202AB3199; COMFY-DOC-TOOL-B6B6029A0CE8; COMFY-DOC-TOOL-C52E2727DEBF; COMFY-DOC-TOOL-D3E16A0F66D6; COMFY-DOC-TOOL-E62DA9400437; COMFY-DOC-TOOL-F5CC7D114ACB,,documented-only
COMFY-DOCSRC-4EBA1322A900,.github/scripts/analytics/README.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-640398AAD6D9,.github/scripts/analytics/analytics-checkpoint.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-E7B41433879D,.github/scripts/analytics/analytics-writers.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-2F36B25CDF6A,.github/scripts/analytics/fetch-assistant-insights.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-32395E2FF775; COMFY-DOC-TOOL-531B8C64F77E; COMFY-DOC-TOOL-5C63AFADD7CD; COMFY-DOC-TOOL-7082E6BBB20F; COMFY-DOC-TOOL-730F34570773; COMFY-DOC-TOOL-759E759EB68C; COMFY-DOC-TOOL-868D5807C6A9; COMFY-DOC-TOOL-93056A94F89C; COMFY-DOC-TOOL-9489901C0527; COMFY-DOC-TOOL-988F7A71C220; COMFY-DOC-TOOL-E4BB539206B6; COMFY-DOC-TOOL-FA4C4C8F1106; COMFY-DOC-TOOL-FF112FA2D9C5,,code-inferred
