surface,action,availability,condition,feature_id,observable_effect,source,evidence_level
title-popup,Open Dashboard,active,normal mode,COMFY-DESKTOP-187,Return/focus dashboard,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,New Instance,active,normal mode,COMFY-DESKTOP-174,Open install wizard,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,Add Existing Instance,active,normal mode,COMFY-DESKTOP-174,Open probe/track modal,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,Load Snapshot,active,normal mode,COMFY-DESKTOP-121,Open snapshot import/new-install flow,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,Desktop Settings,active,normal mode,COMFY-DESKTOP-149,Open global settings,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,Send Beta Feedback,active,normal mode,COMFY-DESKTOP-174,Open support URL,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,Reset Zoom,conditional,non-default zoom,COMFY-DESKTOP-180,Reset host zoom,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,Close Window,active,normal mode,COMFY-DESKTOP-076,Enter close consultation/confirmation,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,Quit Desktop,active,normal mode,COMFY-DESKTOP-070,Enter app quit guards,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
title-popup,Skip Onboarding,conditional,post-consent takeover,COMFY-DESKTOP-174,Mark first use complete,projects/comfy/Comfy-Desktop/src/main/popups/titlePopup.ts,code-inferred
context,Open Link in Browser,conditional,link target,COMFY-DESKTOP-187,Open validated URL externally,projects/comfy/Comfy-Desktop/src/main/lib/contextMenu.ts,code-inferred
context,Copy Link Address,conditional,link target,COMFY-DESKTOP-174,Copy URL,projects/comfy/Comfy-Desktop/src/main/lib/contextMenu.ts,code-inferred
context,Save Image,conditional,image target,COMFY-DESKTOP-174,Save image via download path,projects/comfy/Comfy-Desktop/src/main/lib/contextMenu.ts,code-inferred
context,Copy Image,conditional,image target,COMFY-DESKTOP-174,Copy image,projects/comfy/Comfy-Desktop/src/main/lib/contextMenu.ts,code-inferred
