autograd_id,construct,symbol,production_use_count,test_use_count,support_use_count,production_sites,test_sites,support_sites,method_or_state_sites,forward_contract,reverse_contract,apply_sites,resolution,availability,evidence_level,confidence,native_requirement,state_and_lifetime_requirement,limitations
COMFY-AUTOGRAD-0164A83D79F9,gradient-state,torch.Tensor.requires_grad,19,0,0,comfy/ldm/audio/vae_sa3.py:425:17 (SoftNormBottleneck.__init__) | comfy/ldm/cosmos/cosmos_tokenizer/patching.py:205:13 (UnPatcher.__init__) | comfy/ldm/cosmos/cosmos_tokenizer/patching.py:63:13 (Patcher.__init__) | comfy/ldm/hunyuan3dv2_1/hunyuandit.py:57:33 (AddAuxLoss.forward) | comfy/ldm/lightricks/vocoders/vocoder.py:190:9 (Snake.__init__) | comfy/ldm/lightricks/vocoders/vocoder.py:211:9 (SnakeBeta.__init__) | comfy/ldm/lightricks/vocoders/vocoder.py:217:9 (SnakeBeta.__init__) | comfy/ldm/mmaudio/vae/activations.py:102:9 (SnakeBeta.__init__) | comfy/ldm/mmaudio/vae/activations.py:103:9 (SnakeBeta.__init__) | comfy/ldm/mmaudio/vae/activations.py:44:9 (Snake.__init__) | comfy/ldm/modules/ema.py:17:16 (LitEma.__init__) | comfy/ldm/modules/ema.py:43:20 (LitEma.forward) | comfy/ldm/modules/ema.py:54:16 (LitEma.copy_to) | comfy/ops.py:1251:21 (mixed_precision_ops.MixedPrecisionOps.Linear.forward) | comfy/ops.py:87:113 (materialize_meta_param) | comfy/ops.py:934:32 (QuantLinearFunc.forward) | comfy/ops.py:935:51 (QuantLinearFunc.forward) | comfy/ops.py:947:36 (QuantLinearFunc.forward) | comfy/sd1_clip.py:150:13 (SDClipModel.freeze),,,comfy/ldm/audio/vae_sa3.py:425:17 (SoftNormBottleneck.__init__) | comfy/ldm/cosmos/cosmos_tokenizer/patching.py:205:13 (UnPatcher.__init__) | comfy/ldm/cosmos/cosmos_tokenizer/patching.py:63:13 (Patcher.__init__) | comfy/ldm/hunyuan3dv2_1/hunyuandit.py:57:33 (AddAuxLoss.forward) | comfy/ldm/lightricks/vocoders/vocoder.py:190:9 (Snake.__init__) | comfy/ldm/lightricks/vocoders/vocoder.py:211:9 (SnakeBeta.__init__) | comfy/ldm/lightricks/vocoders/vocoder.py:217:9 (SnakeBeta.__init__) | comfy/ldm/mmaudio/vae/activations.py:102:9 (SnakeBeta.__init__) | comfy/ldm/mmaudio/vae/activations.py:103:9 (SnakeBeta.__init__) | comfy/ldm/mmaudio/vae/activations.py:44:9 (Snake.__init__) | comfy/ldm/modules/ema.py:17:16 (LitEma.__init__) | comfy/ldm/modules/ema.py:43:20 (LitEma.forward) | comfy/ldm/modules/ema.py:54:16 (LitEma.copy_to) | comfy/ops.py:1251:21 (mixed_precision_ops.MixedPrecisionOps.Linear.forward) | comfy/ops.py:87:113 (materialize_meta_param) | comfy/ops.py:934:32 (QuantLinearFunc.forward) | comfy/ops.py:935:51 (QuantLinearFunc.forward) | comfy/ops.py:947:36 (QuantLinearFunc.forward) | comfy/sd1_clip.py:150:13 (SDClipModel.freeze),"Preserve forward values, tensor aliasing, dtype/device, gradient-mode nesting, and source-visible validation at every site.","Provide the exact VJP accumulation, broadcasting reduction, None-gradient, in-place versioning, hook order, and repeated-backward behavior required by reachable sites.",,receiver-unverified,active,code-inferred,low,"The native comfy_tensor autograd engine SHALL expose this construct without Python, preserve source error/cancellation behavior, and pass analytical, finite-difference, graph-lifetime, and conformance-oracle tests.","Gradient state is worker-owned, versioned across in-place mutation, released deterministically, excluded from inference caches unless declared, and discarded atomically on cancellation or recovery.",Generic receiver identity remains unverified and may include a same-named non-tensor method.
COMFY-AUTOGRAD-08DA3A226CB4,custom-autograd-function,vector_quantize,1,0,0,comfy/ldm/cascade/stage_a.py:27,,,"comfy/ldm/cascade/stage_a.py:29 (forward(ctx, x, codebook)) | comfy/ldm/cascade/stage_a.py:44 (backward(ctx, grad_output, grad_indices))","forward(ctx, x, codebook)","backward(ctx, grad_output, grad_indices)",,static subclass of torch.autograd.Function,active,code-inferred,high,"Implement the exact saved-tensor/context lifecycle, forward result structure, backward arity, None-gradient behavior, higher-order-gradient policy, device/dtype propagation, and error behavior; add finite-difference and source-oracle VJP fixtures.",Saved tensors and metadata remain owned until the graph releases them; cancellation or worker failure drops the graph without publishing partial parameter gradients.,Static definitions and same-file apply sites do not prove every dynamic invocation or higher-order differentiation path.
COMFY-AUTOGRAD-0BDFE52B87F3,optimizer-or-gradient-scaler,torch.training.step,2,0,0,comfy_extras/nodes_train.py:375:21 (TrainSampler.sample) | comfy_extras/nodes_train.py:378:21 (TrainSampler.sample),,,comfy_extras/nodes_train.py:375:21 (TrainSampler.sample) | comfy_extras/nodes_train.py:378:21 (TrainSampler.sample),"Preserve forward values, tensor aliasing, dtype/device, gradient-mode nesting, and source-visible validation at every site.","Provide the exact VJP accumulation, broadcasting reduction, None-gradient, in-place versioning, hook order, and repeated-backward behavior required by reachable sites.",,receiver-name-inferred,conditional,code-inferred,medium,"The native comfy_tensor autograd engine SHALL expose this construct without Python, preserve source error/cancellation behavior, and pass analytical, finite-difference, graph-lifetime, and conformance-oracle tests.","Gradient state is worker-owned, versioned across in-place mutation, released deterministically, excluded from inference caches unless declared, and discarded atomically on cancellation or recovery.",Static evidence does not prove branch reachability or numerical gradient correctness.
COMFY-AUTOGRAD-0C5FA58D517B,optimizer-or-gradient-scaler,torch.optim.Adam,1,0,0,comfy_extras/nodes_train.py:879:16 (_create_optimizer),,,comfy_extras/nodes_train.py:879:16 (_create_optimizer),"Preserve forward values, tensor aliasing, dtype/device, gradient-mode nesting, and source-visible validation at every site.","Provide the exact VJP accumulation, broadcasting reduction, None-gradient, in-place versioning, hook order, and repeated-backward behavior required by reachable sites.",,static-import-resolution,conditional,code-inferred,high,"The native comfy_tensor autograd engine SHALL expose this construct without Python, preserve source error/cancellation behavior, and pass analytical, finite-difference, graph-lifetime, and conformance-oracle tests.","Gradient state is worker-owned, versioned across in-place mutation, released deterministically, excluded from inference caches unless declared, and discarded atomically on cancellation or recovery.",Static evidence does not prove branch reachability or numerical gradient correctness.
COMFY-AUTOGRAD-104D91298DF9,custom-autograd-function,CheckpointFunction,1,0,0,comfy/ldm/modules/diffusionmodules/util.py:194,,,"comfy/ldm/modules/diffusionmodules/util.py:196 (forward(ctx, run_function, length, *args)) | comfy/ldm/modules/diffusionmodules/util.py:208 (backward(ctx, *output_grads))","forward(ctx, run_function, length, *args)","backward(ctx, *output_grads)",comfy/ldm/modules/diffusionmodules/util.py:189:16,static subclass of torch.autograd.Function,active,code-inferred,high,"Implement the exact saved-tensor/context lifecycle, forward result structure, backward arity, None-gradient behavior, higher-order-gradient policy, device/dtype propagation, and error behavior; add finite-difference and source-oracle VJP fixtures.",Saved tensors and metadata remain owned until the graph releases them; cancellation or worker failure drops the graph without publishing partial parameter gradients.,Static definitions and same-file apply sites do not prove every dynamic invocation or higher-order differentiation path.
COMFY-AUTOGRAD-1691472B873D,custom-function-context,torch.autograd.FunctionCtx.needs_input_grad,2,0,0,comfy/ldm/cascade/stage_a.py:47:12 (vector_quantize.backward) | comfy/ldm/cascade/stage_a.py:49:12 (vector_quantize.backward),,,comfy/ldm/cascade/stage_a.py:47:12 (vector_quantize.backward) | comfy/ldm/cascade/stage_a.py:49:12 (vector_quantize.backward),"Preserve forward values, tensor aliasing, dtype/device, gradient-mode nesting, and source-visible validation at every site.","Provide the exact VJP accumulation, broadcasting reduction, None-gradient, in-place versioning, hook order, and repeated-backward behavior required by reachable sites.",,custom-function-context,active,code-inferred,high,"The native comfy_tensor autograd engine SHALL expose this construct without Python, preserve source error/cancellation behavior, and pass analytical, finite-difference, graph-lifetime, and conformance-oracle tests.","Gradient state is worker-owned, versioned across in-place mutation, released deterministically, excluded from inference caches unless declared, and discarded atomically on cancellation or recovery.",Static evidence does not prove branch reachability or numerical gradient correctness.
COMFY-AUTOGRAD-2682346109CE,gradient-mode,torch.enable_grad,5,0,0,comfy/extra_samplers/uni_pc.py:317:14 (model_wrapper.cond_grad_fn) | comfy/k_diffusion/deis.py:43:14 (cal_intergrand) | comfy/ldm/modules/diffusionmodules/util.py:210:14 (CheckpointFunction.backward) | comfy/ldm/util.py:128:18 (AdamWwithEMAandWings.step) | comfy_extras/nodes_train.py:500:14 (OffloadCheckpointFunction.backward),,,comfy/extra_samplers/uni_pc.py:317:14 (model_wrapper.cond_grad_fn) | comfy/k_diffusion/deis.py:43:14 (cal_intergrand) | comfy/ldm/modules/diffusionmodules/util.py:210:14 (CheckpointFunction.backward) | comfy/ldm/util.py:128:18 (AdamWwithEMAandWings.step) | comfy_extras/nodes_train.py:500:14 (OffloadCheckpointFunction.backward),"Preserve forward values, tensor aliasing, dtype/device, gradient-mode nesting, and source-visible validation at every site.","Provide the exact VJP accumulation, broadcasting reduction, None-gradient, in-place versioning, hook order, and repeated-backward behavior required by reachable sites.",,static-import-resolution,active,code-inferred,high,"The native comfy_tensor autograd engine SHALL expose this construct without Python, preserve source error/cancellation behavior, and pass analytical, finite-difference, graph-lifetime, and conformance-oracle tests.","Gradient state is worker-owned, versioned across in-place mutation, released deterministically, excluded from inference caches unless declared, and discarded atomically on cancellation or recovery.",Static evidence does not prove branch reachability or numerical gradient correctness.
COMFY-AUTOGRAD-285F07173F3E,mixed-precision-autograd,torch.amp.GradScaler,1,0,0,comfy_extras/nodes_train.py:164:28 (TrainSampler.__init__),,,comfy_extras/nodes_train.py:164:28 (TrainSampler.__init__),"Preserve forward values, tensor aliasing, dtype/device, gradient-mode nesting, and source-visible validation at every site.","Provide the exact VJP accumulation, broadcasting reduction, None-gradient, in-place versioning, hook order, and repeated-backward behavior required by reachable sites.",,static-import-resolution,conditional,code-inferred,high,"The native comfy_tensor autograd engine SHALL expose this construct without Python, preserve source error/cancellation behavior, and pass analytical, finite-difference, graph-lifetime, and conformance-oracle tests.","Gradient state is worker-owned, versioned across in-place mutation, released deterministically, excluded from inference caches unless declared, and discarded atomically on cancellation or recovery.",Static evidence does not prove branch reachability or numerical gradient correctness.
COMFY-AUTOGRAD-30043B9C2264,custom-autograd-function,QuantLinearFunc,1,0,0,comfy/ops.py:910,,,"comfy/ops.py:924 (forward(ctx, input_float, weight, bias, layout_type, input_scale, compute_dtype)) | comfy/ops.py:966 (backward(ctx, grad_output))","forward(ctx, input_float, weight, bias, layout_type, input_scale, compute_dtype)","backward(ctx, grad_output)",comfy/ops.py:1265:30,static subclass of torch.autograd.Function,active,code-inferred,high,"Implement the exact saved-tensor/context lifecycle, forward result structure, backward arity, None-gradient behavior, higher-order-gradient policy, device/dtype propagation, and error behavior; add finite-difference and source-oracle VJP fixtures.",Saved tensors and metadata remain owned until the graph releases them; cancellation or worker failure drops the graph without publishing partial parameter gradients.,Static definitions and same-file apply sites do not prove every dynamic invocation or higher-order differentiation path.
COMFY-AUTOGRAD-304CC342AC2A,custom-autograd-function,HadaWeightTucker,1,0,0,comfy/weight_adapter/loha.py:43,,,"comfy/weight_adapter/loha.py:45 (forward(ctx, t1, w1u, w1d, t2, w2u, w2d, scale)) | comfy/weight_adapter/loha.py:54 (backward(ctx, grad_out))","forward(ctx, t1, w1u, w1d, t2, w2u, w2d, scale)","backward(ctx, grad_out)",comfy/weight_adapter/loha.py:119:27,static subclass of torch.autograd.Function,active,code-inferred,high,"Implement the exact saved-tensor/context lifecycle, forward result structure, backward arity, None-gradient behavior, higher-order-gradient policy, device/dtype propagation, and error behavior; add finite-difference and source-oracle VJP fixtures.",Saved tensors and metadata remain owned until the graph releases them; cancellation or worker failure drops the graph without publishing partial parameter gradients.,Static definitions and same-file apply sites do not prove every dynamic invocation or higher-order differentiation path.
