feature_id,name,behavior,source_file,evidence_level,tests,target_status,parity_decision
COMFY-CLI-FORMAT-4591022377D9,envelope/1 JSON,Versioned final machine-output envelope with ok/error and exit-code correspondence.,comfy_cli/schemas/envelope.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py | tests/comfy_cli/output/test_renderer.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-BF4CB4BD10A3,event/1 NDJSON,One event per line with a final envelope line.,comfy_cli/schemas/run_event.json,test-backed,tests/comfy_cli/command/test_run_json.py | tests/comfy_cli/command/generate/test_emit.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-9DDA1A1FF953,help/discovery JSON,"Self-describing command, schema, error, and capability surface.",comfy_cli/discovery.py,test-backed,tests/comfy_cli/output/test_discovery.py | tests/comfy_cli/output/test_help_json.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-C618DFCAB63E,frontend workflow JSON,LiteGraph nodes/links/definitions shape accepted for conversion and slot editing.,comfy_cli/workflow_to_api.py,test-backed,tests/comfy_cli/test_workflow_to_api.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-DA54199E1462,API prompt JSON,Node-id keyed class_type/inputs/_meta graph submitted to execution.,comfy_cli/command/run/loader.py,test-backed,tests/comfy_cli/command/test_run.py | tests/comfy_cli/command/test_run_json.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-AE586C0988D1,object_info JSON,"Node schema registry accepted from file, local server, cloud, or stale cache.",comfy_cli/cql/loader.py,test-backed,tests/comfy_cli/cql/test_loader.py | tests/comfy_cli/cql/test_loader_resilient.py | tests/comfy_cli/command/test_nodes_introspect.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-BA163BD29475,fragment/1 JSON,Reusable graph fragment with explicit named input/output/parameter ports and legacy identifiers.,comfy_cli/fragments.py,test-backed,tests/comfy_cli/command/test_workflow_fragments.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-E452DC442D08,blueprint YAML,"Fragment composition, aliases, foreach, save, $asset, and $var references.",comfy_cli/fragments.py,test-backed,tests/comfy_cli/command/test_workflow_fragments.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-901E54FEE54E,compose/1 metadata,Provenance block embedded in compiled workflow and stripped before submit.,comfy_cli/command/workflow_fragments.py,test-backed,tests/comfy_cli/command/test_workflow_fragments.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-64E706B524A9,project/1 comfy.yaml,"Project marker, default routing, variables, and conventional directory layout.",comfy_cli/project.py,test-backed,tests/comfy_cli/test_project.py | tests/comfy_cli/command/test_project_command.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-E67D10EDF9A7,assets-lock/1 JSON,SHA-256 keyed project asset upload lock.,comfy_cli/project.py,test-backed,tests/comfy_cli/test_project.py | tests/comfy_cli/command/test_assets_push.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-A91434E1B9B1,job-state JSON,Atomic per-prompt local/cloud lifecycle record tolerant of unknown/missing fields.,comfy_cli/jobs_state.py,test-backed,tests/comfy_cli/test_jobs_state.py | tests/comfy_cli/jobs/test_jobs.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-9E5635778A93,config.ini,Per-OS DEFAULT-section configuration store.,comfy_cli/config_manager.py,test-backed,tests/comfy_cli/test_config_manager.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-0964E2041322,secrets.json,0600 atomic provider-key and OAuth-session store with stable sidecar lock.,comfy_cli/auth/store.py,test-backed,tests/comfy_cli/auth/test_store.py | tests/comfy_cli/test_credentials.py,missing,Implement natively in Rust and preserve the observable contract.
