surface,action,availability,condition,feature_id,observable_effect,source,evidence_level
title-bar,Open file menu,active,Always,COMFY-DESKTOP-178,Open the reused title popup with state-dependent file actions,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
title-bar,Refresh instance,conditional,Install-backed remote/cloud or refreshable view,COMFY-DESKTOP-103,Reload or reconnect the active hosted instance,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
title-bar,Open instance picker,active,Central installation pill,COMFY-DESKTOP-086,Open the live picker seeded with the active installation,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
title-bar,Open installation update,conditional,Update tag visible,COMFY-DESKTOP-116,Open Update tab and initiate the installation update action,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
title-bar,Open app update,conditional,App update available/downloading/ready,COMFY-DESKTOP-114,Open or invoke the action appropriate to the updater state,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
title-bar,Reset zoom,conditional,Zoom differs from 100 percent,COMFY-DESKTOP-184,Reset active hosted-view zoom,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
title-bar,Send feedback,active,Feedback button enabled,COMFY-DESKTOP-106,Record source and open the support URL externally,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
title-bar,Open downloads tray,active,Always; status changes with downloads,COMFY-DESKTOP-140,Open active/recent downloads popup,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
chooser,Search installations,active,Chooser visible,COMFY-DESKTOP-022,Filter tiles by fuzzy name/source/status text while preserving empty-state behavior,projects/comfy/Comfy-Desktop/src/renderer/src/views/ChooserView.vue,code-inferred
chooser,Create new installation,active,Chooser CTA,COMFY-DESKTOP-018,Open the install takeover/wizard,projects/comfy/Comfy-Desktop/src/renderer/src/views/ChooserView.vue,code-inferred
chooser,Pick installation,active,Tile click/keyboard activation,COMFY-DESKTOP-077,Focus a running host or begin launch with guarded handoff,projects/comfy/Comfy-Desktop/src/renderer/src/views/ChooserView.vue,code-inferred
chooser,View retained error,conditional,Tile has crash/launch error,COMFY-DESKTOP-099,Open the retained error detail surface,projects/comfy/Comfy-Desktop/src/renderer/src/views/chooser/ChooserInstallTile.vue,code-inferred
chooser,View danger/status detail,conditional,Tile exposes a danger status,COMFY-DESKTOP-024,Open the source-defined warning/detail surface,projects/comfy/Comfy-Desktop/src/renderer/src/views/chooser/ChooserInstallTile.vue,code-inferred
chooser-menu,Manage,conditional,Manage callback available,COMFY-DESKTOP-024,Open per-install configuration,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Update,conditional,Installed update tag and stopped/no operation,COMFY-DESKTOP-116,Open Update tab and run update-comfyui,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Migrate,conditional,Migratable status and stopped/no operation,COMFY-DESKTOP-047,Run migrate-to-standalone through managed progress,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Restore snapshot,conditional,Installed local path and stopped/no operation,COMFY-DESKTOP-125,Open snapshot management tab,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Stop,conditional,Local-like installation running,COMFY-DESKTOP-068,Confirm and stop the Python backend while retaining the host,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Reveal in folder,conditional,Local-like installation has a path,COMFY-DESKTOP-187,Open/reveal the installation path with platform-specific label,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Share,conditional,Installed local snapshot-capable installation,COMFY-DESKTOP-127,Export the latest snapshot; cancellation is silent and genuine failure alerts,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Copy installation,conditional,Installed standalone and stopped/no operation,COMFY-DESKTOP-026,Prompt for copy destination/name and run cancellable copy,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Untrack,conditional,Installed non-adopted local-like installation,COMFY-DESKTOP-020,Confirm and remove the registry record without deleting files,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Delete,conditional,Installed local-like and stopped/no operation,COMFY-DESKTOP-025,Danger-confirm and cancellably remove the installation files/record,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Dismiss error,conditional,Retained error exists,COMFY-DESKTOP-099,Clear the tile's retained error marker,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Open by right-click,active,Applicable tile has actions,COMFY-DESKTOP-179,Anchor the same action set at pointer coordinates,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
chooser-menu,Open by kebab,active,Applicable tile has actions,COMFY-DESKTOP-179,Anchor the same action set below the More Actions button,projects/comfy/Comfy-Desktop/src/renderer/src/composables/useInstallContextMenu.ts,code-inferred
