record_id,method,path,operation_id,summary,tags,openapi_version,api_info_version,availability,document_evidence_level,route_shape_reconciliation,corroborated_feature_ids,native_parity_treatment
COMFY-DOC-OPENAPI-37BD21B2F135,POST,/api/prompt,executePrompt,Submit a workflow for execution,workflow,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0051; COMFY-API-0118; COMFY-QUEUE-006,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-002F3F588D4F,GET,/api/prompt,getPromptInfo,Get information about current prompt executions,workflow,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0050; COMFY-API-0117; COMFY-QUEUE-005,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-6676DF152F09,GET,/api/object_info,getNodeInfo,Get all node information,node,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0048; COMFY-API-0115; COMFY-UI-030,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-56A925886DB4,GET,/api/features,getFeatures,Get server feature flags,node,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0027; COMFY-API-0097; COMFY-UI-013; COMFY-UI-014,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-5848E484CB8A,GET,/api/workflow_templates,getWorkflowTemplates,Get available workflow templates,workflow,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0078; COMFY-API-0139; COMFY-WORKFLOW-054,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-4AD992DB2E63,GET,/api/global_subgraphs,getGlobalSubgraphs,Get available subgraph blueprints,workflow,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0031; COMFY-API-0099; COMFY-GRAPH-021,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-ED6BBE848504,GET,/api/global_subgraphs/{id},getGlobalSubgraph,Get a specific subgraph blueprint,workflow,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0032; COMFY-API-0100,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-BFCE613E2A43,GET,/api/experiment/models,getModelFolders,Get available model folders,model,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0023; COMFY-API-0092; COMFY-UI-011,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-586A330DA330,GET,/api/experiment/models/{folder},getModelsInFolder,Get models in a specific folder,model,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0025; COMFY-API-0094; COMFY-UI-010,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-CC12D3F7BF98,GET,/api/experiment/models/preview/{folder}/{path_index}/{filename},getModelPreview,Get model preview image,model,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0024; COMFY-API-0093,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-D51778E97147,POST,/api/history,manageHistory,Manage execution history,job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0034; COMFY-API-0103,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
