feature_id,storage,key_or_pattern,purpose,availability,evidence_level,value_shape,security_classification,recovery_behavior,source_evidence
COMFY-WORKFLOW-010,localStorage,Comfy.ActiveWorkflowIndex,legacy V1 active tab index,deprecated/dead,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-SETTING-004,localStorage,Comfy.Assets.Sidebar.ViewMode,VueUse storage in src/components/sidebar/tabs/AssetsSidebarTab.vue,active,code-inferred,`grid` or `list` string,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,VueUse storage in src/components/sidebar/tabs/AssetsSidebarTab.vue
COMFY-SETTING-005,localStorage,Comfy.MenuPosition,literal use in src/scripts/ui.ts,active,code-inferred,source-defined string or JSON value,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/scripts/ui.ts
COMFY-SETTING-006,localStorage,Comfy.MenuPosition.Docked,literal use in src/platform/telemetry/utils/getActionbarDockState.ts,active,code-inferred,boolean or serialized boolean,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/platform/telemetry/utils/getActionbarDockState.ts
COMFY-WORKFLOW-011,localStorage,Comfy.OpenWorkflowsPaths,legacy V1 open workflow paths,deprecated/dead,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-WORKFLOW-012,localStorage,Comfy.PreviousWorkflow,literal use in src/services/useNewUserService.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/services/useNewUserService.ts
COMFY-CLOUD-061,localStorage,Comfy.Workflow.Draft.v2:{workspaceId}:{hash(path)},V2 per-workflow draft payload,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-WORKFLOW-013,localStorage,Comfy.Workflow.DraftIndex.v2:personal,literal use in src/services/useNewUserService.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/services/useNewUserService.ts
COMFY-CLOUD-062,localStorage,Comfy.Workflow.DraftIndex.v2:{workspaceId},V2 draft LRU index,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-WORKFLOW-014,localStorage,Comfy.Workflow.DraftOrder,literal use in src/services/useNewUserService.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/services/useNewUserService.ts
COMFY-CLOUD-063,localStorage,Comfy.Workflow.DraftOrder:{workspaceId},legacy V1 draft LRU order,deprecated/dead,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-WORKFLOW-015,localStorage,Comfy.Workflow.Drafts,literal use in src/services/useNewUserService.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/services/useNewUserService.ts
COMFY-CLOUD-064,localStorage,Comfy.Workflow.Drafts:{workspaceId},legacy V1 draft blob retained for rollback,deprecated/dead,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-CLOUD-065,localStorage,Comfy.Workflow.LastActivePath:{workspaceId},cross-session active workflow fallback,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-CLOUD-066,localStorage,Comfy.Workflow.LastOpenPaths:{workspaceId},cross-session open workflows fallback,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-CLOUD-067,localStorage,Comfy.Workspace.LastWorkspaceId,literal use in browser_tests/fixtures/helpers/CloudWorkspaceMockHelper.ts,active,code-inferred,source-defined string or JSON value,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in browser_tests/fixtures/helpers/CloudWorkspaceMockHelper.ts
COMFY-SETTING-007,localStorage,Comfy.userId,literal use in browser_tests/fixtures/ComfyPage.ts,active,code-inferred,string identifier,sensitive user identity metadata,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in browser_tests/fixtures/ComfyPage.ts
COMFY-CLOUD-068,localStorage,Comfy.userId,literal use in browser_tests/fixtures/helpers/CloudWorkspaceMockHelper.ts,active,code-inferred,string identifier,sensitive user identity metadata,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in browser_tests/fixtures/helpers/CloudWorkspaceMockHelper.ts
COMFY-CLOUD-069,localStorage,Comfy.userId,literal use in browser_tests/fixtures/utils/cloudBootMocks.ts,active,code-inferred,string identifier,sensitive user identity metadata,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in browser_tests/fixtures/utils/cloudBootMocks.ts
COMFY-GRAPH-012,localStorage,Comfy.userId,literal use in src/components/graph/GraphCanvas.vue,active,code-inferred,string identifier,sensitive user identity metadata,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/components/graph/GraphCanvas.vue
COMFY-GRAPH-013,localStorage,Comfy.userName,literal use in src/components/graph/GraphCanvas.vue,active,code-inferred,string identifier,sensitive user identity metadata,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/components/graph/GraphCanvas.vue
COMFY-SETTING-008,localStorage,comfy-splash-bg,literal use in src/services/colorPaletteService.ts,active,code-inferred,CSS color string,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/services/colorPaletteService.ts
COMFY-SETTING-009,localStorage,comfy-splash-fg,literal use in src/services/colorPaletteService.ts,active,code-inferred,CSS color string,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/services/colorPaletteService.ts
COMFY-SETTING-010,localStorage,comfy.versionMismatch.dismissals,VueUse storage in src/platform/updates/common/versionCompatibilityStore.ts,active,code-inferred,source-defined string or JSON value,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,VueUse storage in src/platform/updates/common/versionCompatibilityStore.ts
COMFY-CLOUD-070,localStorage,consolidated_billing_enabled,VueUse storage in src/platform/remoteConfig/remoteConfig.ts,active,code-inferred,boolean or serialized boolean,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,VueUse storage in src/platform/remoteConfig/remoteConfig.ts
COMFY-CLOUD-071,localStorage,consolidated_billing_enabled,cached authenticated billing gate,active,code-inferred,boolean or serialized boolean,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,Static browser-storage scan retained by COMFY-CLOUD-071; cached authenticated billing gate
COMFY-CLOUD-072,localStorage,ff:team_workspaces_enabled,literal use in src/utils/devFeatureFlagOverride.ts,active,code-inferred,boolean or serialized boolean,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/utils/devFeatureFlagOverride.ts
COMFY-SETTING-011,localStorage,iso_snake_best,literal use in apps/website/src/scripts/snakeGame.ts,active,code-inferred,numeric score string,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in apps/website/src/scripts/snakeGame.ts
COMFY-WORKFLOW-016,localStorage,litegrapheditor_clipboard,literal use in src/extensions/core/nodeTemplates.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/extensions/core/nodeTemplates.ts
