feature_id,command_id,placement,owner_task_id,disposition,native_action,input_requirement
COMFY-UI-056,Comfy-Desktop.CheckForUpdates,DesktopIntegration,comfy-parity-updates-snapshots,gated,,
COMFY-FRONTEXT-EXT-086,Comfy-Desktop.Folders.OpenCustomNodesFolder,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-057,Comfy-Desktop.Folders.OpenInputsFolder,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-058,Comfy-Desktop.Folders.OpenLogsFolder,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-059,Comfy-Desktop.Folders.OpenModelConfig,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-060,Comfy-Desktop.Folders.OpenModelsFolder,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-061,Comfy-Desktop.Folders.OpenOutputsFolder,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-062,Comfy-Desktop.OpenDevTools,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-063,Comfy-Desktop.OpenUserGuide,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-064,Comfy-Desktop.Quit,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-UI-065,Comfy-Desktop.Reinstall,DesktopIntegration,comfy-parity-updates-snapshots,gated,,
COMFY-UI-066,Comfy-Desktop.Restart,DesktopIntegration,comfy-parity-desktop-native-ui,gated,,
COMFY-ASSET-053,Comfy.3DViewer.Open3DViewer,MediaEditor,comfy-parity-three-d-latent-content,gated,,
COMFY-ASSET-054,Comfy.BrowseModelAssets,AssetBrowser,comfy-parity-assets-editors-viewers,gated,,
COMFY-WORKFLOW-074,Comfy.BrowseTemplates,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-GRAPH-087,Comfy.Canvas.CopySelected,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphCopy,
COMFY-GRAPH-088,Comfy.Canvas.DeleteSelectedItems,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphDelete,
COMFY-GRAPH-089,Comfy.Canvas.FitView,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphFitView,
COMFY-GRAPH-090,Comfy.Canvas.Lock,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,LockCanvas,
COMFY-GRAPH-091,Comfy.Canvas.MoveSelectedNodes.Down,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,MoveSelectedDown,
COMFY-GRAPH-092,Comfy.Canvas.MoveSelectedNodes.Left,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,MoveSelectedLeft,
COMFY-GRAPH-093,Comfy.Canvas.MoveSelectedNodes.Right,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,MoveSelectedRight,
COMFY-GRAPH-094,Comfy.Canvas.MoveSelectedNodes.Up,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,MoveSelectedUp,
COMFY-GRAPH-095,Comfy.Canvas.PasteFromClipboard,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphPaste,
COMFY-GRAPH-096,Comfy.Canvas.PasteFromClipboardWithConnect,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,PasteWithConnect,
COMFY-GRAPH-097,Comfy.Canvas.ResetView,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ResetView,
COMFY-GRAPH-098,Comfy.Canvas.Resize,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ResizeSelectedNodes,
COMFY-GRAPH-099,Comfy.Canvas.SelectAll,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphSelectAll,
COMFY-GRAPH-100,Comfy.Canvas.ToggleLinkVisibility,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ToggleLinkVisibility,
COMFY-GRAPH-101,Comfy.Canvas.ToggleLock,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ToggleCanvasLock,
COMFY-GRAPH-102,Comfy.Canvas.ToggleMinimap,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ToggleMinimap,
COMFY-GRAPH-104,Comfy.Canvas.ToggleSelectedNodes.Bypass,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ToggleSelectedBypass,
COMFY-GRAPH-105,Comfy.Canvas.ToggleSelectedNodes.Collapse,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ToggleSelectedCollapse,
COMFY-GRAPH-106,Comfy.Canvas.ToggleSelectedNodes.Mute,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ToggleSelectedMute,
COMFY-GRAPH-107,Comfy.Canvas.ToggleSelectedNodes.Pin,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ToggleSelectedNodesPin,
COMFY-GRAPH-103,Comfy.Canvas.ToggleSelected.Pin,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ToggleSelectedItemsPin,
COMFY-GRAPH-108,Comfy.Canvas.Unlock,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,UnlockCanvas,
COMFY-GRAPH-109,Comfy.Canvas.ZoomIn,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphZoomIn,
COMFY-GRAPH-110,Comfy.Canvas.ZoomOut,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphZoomOut,
COMFY-UI-067,Comfy.ClearPendingTasks,ExecutionDock,comfy-parity-execution-ui,executable,ClearPendingTasks,
COMFY-WORKFLOW-075,Comfy.ClearWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
