feature_id,name,behavior,source_file,evidence_level,tests,availability,target_status,parity_decision
COMFY-CLI-LIFECYCLE-B188C1E12CE4,first-run nudge,"Interactive pretty-only, unsigned-in users see one best-effort setup nudge; marker prevents repeats.",comfy_cli/onboarding.py,test-backed,tests/comfy_cli/test_onboarding.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-BBB9B458FCD4,setup wizard,"Interactive/noninteractive routing, authentication, project directory, skills, and telemetry consent.",comfy_cli/command/setup.py,test-backed,tests/comfy_cli/command/test_setup_consent.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-8670E3F14E73,core installation,"Clone/release/PR source selection, GPU backend, Python resolution, Manager install, requirements, and restoration.",comfy_cli/command/install.py,test-backed,tests/comfy_cli/command/github/test_pr.py | tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/output/test_cancellation.py | tests/comfy_cli/registry/test_api.py | tests/comfy_cli/skills/test_installer.py | tests/comfy_cli/test_custom_nodes_python_resolution.py | tests/comfy_cli/test_global_python_install.py | tests/comfy_cli/test_install.py | tests/comfy_cli/test_install_python_resolution.py | tests/comfy_cli/test_tracking.py | tests/e2e/test_e2e.py,conditional,conflicting,Recreate lifecycle semantics with native Rust services and child-free recovery; Python process ownership is forbidden.
COMFY-CLI-LIFECYCLE-BC27D1B5C90B,update routing,"Update core, CLI, or all; core performs git pull and requirement installation.",comfy_cli/cmdline.py,test-backed,tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/test_aria2_download.py | tests/comfy_cli/test_cmdline_python_resolution.py | tests/comfy_cli/test_update.py,conditional,conflicting,Recreate lifecycle semantics with native Rust services and child-free recovery; Python process ownership is forbidden.
COMFY-CLI-LIFECYCLE-30E4F7A3526C,foreground launch,Run workspace main.py with selected Python; honor reboot marker until normal exit.,comfy_cli/command/launch.py,test-backed,tests/comfy_cli/command/test_launch_background.py | tests/comfy_cli/command/test_launch_frontend_pr.py | tests/comfy_cli/command/test_logs.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/test_config_manager.py | tests/comfy_cli/test_launch_python_resolution.py,conditional,conflicting,Recreate lifecycle semantics with native Rust services and child-free recovery; Python process ownership is forbidden.
COMFY-CLI-LIFECYCLE-EC21C3AA7081,background launch,"Reject a live existing owner, validate port, capture owner-only logs, and wait for a readiness line.",comfy_cli/command/launch.py,test-backed,tests/comfy_cli/command/test_launch_background.py,conditional,conflicting,Recreate lifecycle semantics with native Rust services and child-free recovery; Python process ownership is forbidden.
COMFY-CLI-LIFECYCLE-AB52CBC9FEAB,background recovery,Config load removes stale PID state and its log pointer; failed startup keeps the crash log path.,comfy_cli/config_manager.py,test-backed,tests/comfy_cli/test_config_manager.py,conditional,conflicting,Recreate lifecycle semantics with native Rust services and child-free recovery; Python process ownership is forbidden.
COMFY-CLI-LIFECYCLE-2534A93B1891,background stop,"Kill the process tree, report failure/success, and clear persisted ownership state.",comfy_cli/cmdline.py,test-backed,tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py,conditional,conflicting,Recreate lifecycle semantics with native Rust services and child-free recovery; Python process ownership is forbidden.
COMFY-CLI-LIFECYCLE-5F44B79F5466,background logs,Local-only bounded tail with missing/read/TOCTOU errors and raw pretty output.,comfy_cli/command/launch.py,test-backed,tests/comfy_cli/command/test_logs.py,conditional,conflicting,Recreate lifecycle semantics with native Rust services and child-free recovery; Python process ownership is forbidden.
COMFY-CLI-LIFECYCLE-589EB309F046,native-oracle submission lifecycle,"Load/convert/validate/preview prompt, submit, stream progress, collect outputs, and classify terminal errors.",comfy_cli/command/run/__init__.py,test-backed,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/auth/test_oauth.py | tests/comfy_cli/command/generate/test_video_poll.py | tests/comfy_cli/command/test_run.py | tests/comfy_cli/command/test_run_cli.py | tests/comfy_cli/command/test_run_json.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/output/test_envelope_schemas.py | tests/comfy_cli/test_host_port.py | tests/comfy_cli/test_jobs_state.py | tests/comfy_cli/test_run_execution_lifecycle.py | tests/comfy_cli/test_update.py | tests/e2e/test_e2e.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-EA278D52DF0F,asynchronous submit,"Default run returns after submit, atomically writes job state, and detaches a watcher.",comfy_cli/command/run/watcher.py,test-backed,tests/comfy_cli/test_run_execution_lifecycle.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-9778AAF354AC,detached watcher,"Poll every two seconds, persist state, never clear shared auth, and optionally notify.",comfy_cli/command/job_watcher.py,test-backed,tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-2F52A62678B3,watcher ceilings,Terminate after six hours or after an unknown status stalls for 300 seconds.,comfy_cli/command/job_watcher.py,test-backed,tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-3CE68F9C8D5B,multi-job wait,"Deduplicate IDs, poll until all terminal, emit settled events, and distinguish failed/cancelled/timed-out exits.",comfy_cli/command/jobs.py,test-backed,tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-570E4342D6D3,SIGINT cancellation,"Process-wide idempotent token closes registered resources, emits cancelled, and exits 130.",comfy_cli/cancellation.py,test-backed,tests/comfy_cli/output/test_cancellation.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-228CF926B099,local job cancel,Delete only the named pending prompt and call global interrupt only when that prompt is currently running.,comfy_cli/command/jobs.py,test-backed,tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-F70343CDC5A2,cloud job cancel,POST an encoded job id to the idempotent cloud cancellation endpoint.,comfy_cli/command/jobs.py,test-backed,tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-9D5662834F4C,HTTP transient retry,"Retry 429 for all methods, retry selected 5xx for GET only, honor Retry-After, then apply poll-level backoff.",comfy_cli/comfy_client.py,test-backed,tests/comfy_cli/cloud/test_client.py | tests/comfy_cli/command/generate/test_client.py | tests/comfy_cli/command/test_transfer_download.py | tests/comfy_cli/jobs/test_jobs.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-5FB1704AA964,OAuth refresh recovery,"Proactive/reactive refresh uses a cross-process lock, rotated-token persistence, replay guard, and fatal-family handling.",comfy_cli/cloud/oauth.py,test-backed,tests/comfy_cli/auth/test_oauth.py | tests/comfy_cli/cloud/test_client.py,active,missing,Implement directly in the native execution/service state machine.
COMFY-CLI-LIFECYCLE-59E1E6B68D42,object_info recovery,"Cache successful fetches, force-refresh and retry once, then warn and serve stale cache or fail.",comfy_cli/cql/loader.py,test-backed,tests/comfy_cli/cql/test_loader_resilient.py,active,missing,Implement directly in the native execution/service state machine.
