feature_id,placement,owner_task_id,command_id,disposition,native_action,context_action,context_infrastructure,context_surface,rationale
COMFY-UI-081,WorkspaceShell,comfy-parity-workflow-experience,Comfy.NewBlankWorkflow,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-UI-082,WorkspaceShell,comfy-parity-workflow-experience,Comfy.OpenWorkflow,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-UI-083,WorkspaceShell,comfy-parity-workflow-experience,Comfy.SaveWorkflow,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-UI-084,WorkspaceShell,comfy-parity-workflow-experience,Comfy.SaveWorkflowAs,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-UI-085,WorkspaceShell,comfy-parity-workflow-experience,Comfy.ExportWorkflow,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-UI-086,WorkspaceShell,comfy-parity-workflow-experience,Comfy.ExportWorkflowAPI,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-UI-087,GraphWorkspace,comfy-parity-graph-shell-accessibility,Comfy.Undo,canonical-command,,,,,registered command-backed graph shell action
COMFY-UI-088,GraphWorkspace,comfy-parity-graph-shell-accessibility,Comfy.Redo,canonical-command,,,,,registered command-backed graph shell action
COMFY-UI-089,GraphWorkspace,comfy-parity-graph-shell-accessibility,Comfy.Canvas.CopySelected,canonical-command,,,,,registered command-backed graph shell action
COMFY-UI-090,GraphWorkspace,comfy-parity-graph-shell-accessibility,Comfy.Canvas.PasteFromClipboard,canonical-command,,,,,registered command-backed graph shell action
COMFY-UI-091,GraphWorkspace,comfy-parity-graph-shell-accessibility,Comfy.Canvas.SelectAll,canonical-command,,,,,registered command-backed graph shell action
COMFY-UI-092,WorkspaceShell,comfy-parity-workflow-experience,Comfy.ClearWorkflow,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-UI-093,MediaEditor,comfy-parity-image-mask-content,Comfy.OpenClipspace,deferred,,,,,"image, mask, crop, and clipspace surface"
COMFY-UI-094,GraphWorkspace,comfy-parity-native-registry-integration,Comfy.RefreshNodeDefinitions,deferred,,,,,native node-definition registry refresh surface
COMFY-UI-095,ExecutionDock,comfy-parity-native-memory-planner,Comfy.Memory.UnloadModels,gated-or-deferred,,,,,native model and execution-cache memory action
COMFY-UI-096,ExecutionDock,comfy-parity-native-memory-planner,Comfy.Memory.UnloadModelsAndExecutionCache,gated-or-deferred,,,,,native model and execution-cache memory action
COMFY-UI-097,HelpCenter,comfy-parity-settings-localization-ui,Comfy.Help.OpenComfyUIIssues,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-UI-098,HelpCenter,comfy-parity-settings-localization-ui,Comfy.Help.OpenComfyUIDocs,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-UI-099,HelpCenter,comfy-parity-settings-localization-ui,Comfy.Help.OpenComfyOrgDiscord,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-UI-100,HelpCenter,comfy-parity-settings-localization-ui,Comfy.Help.OpenComfyUIForum,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-UI-101,HelpCenter,comfy-parity-settings-localization-ui,Comfy.Help.AboutComfyUI,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-UI-102,HelpCenter,comfy-parity-process-diagnostics,Comfy.ContactSupport,deferred,,,,,"support, feedback, and diagnostic surface"
COMFY-WORKFLOW-086,WorkspaceShell,comfy-parity-workflow-experience,,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-087,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-088,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-089,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-090,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-091,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-QUEUE-040,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-092,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-093,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-094,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-095,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-096,WorkspaceShell,comfy-parity-workflow-experience,,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-097,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-WORKFLOW-098,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-GRAPH-124,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,AdjustNodeSize,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-125,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ToggleNodeCollapse,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-126,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ChooseNodeShape,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-127,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ChooseNodeColor,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-128,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ToggleNodePin,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-129,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ToggleNodeBypass,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-130,GraphWorkspace,comfy-parity-execution-ui,,gated-or-deferred,,,,,selected graph branch execution action
COMFY-GRAPH-131,GraphWorkspace,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"node creation, node information, and node-template surface"
COMFY-GRAPH-132,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,RenameSelection,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-133,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,CopySelection,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-134,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,DuplicateSelection,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-135,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ConvertToSubgraph,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-136,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,PublishSubgraph,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-137,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,UnpackSubgraph,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-138,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,FrameSelection,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-139,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,AlignSelection,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-140,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,DistributeSelection,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-141,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,DeleteSelection,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-142,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,FitGroup,,Group,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-143,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ChooseGroupNodeShape,,Group,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-144,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ChooseGroupColor,,Group,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-GRAPH-145,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ChooseGroupMode,,Group,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-ASSET-064,MediaEditor,comfy-parity-image-mask-content,,gated-or-deferred,,,,,"image, mask, crop, and clipspace surface"
COMFY-ASSET-065,MediaEditor,comfy-parity-image-mask-content,,gated-or-deferred,,,,,"image, mask, crop, and clipspace surface"
COMFY-ASSET-066,MediaEditor,comfy-parity-image-mask-content,,gated-or-deferred,,,,,"image, mask, crop, and clipspace surface"
COMFY-ASSET-067,MediaEditor,comfy-parity-image-mask-content,,gated-or-deferred,,,,,"image, mask, crop, and clipspace surface"
COMFY-ASSET-068,MediaEditor,comfy-parity-image-mask-content,,gated-or-deferred,,,,,"image, mask, crop, and clipspace surface"
COMFY-MENU-001,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-002,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-003,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-004,WorkspaceShell,comfy-parity-workflow-experience,,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-MENU-005,WorkspaceShell,comfy-parity-workflow-experience,,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-MENU-006,ExecutionDock,comfy-parity-execution-ui,,native,CopySelectedExecutionId,,,,"native job, run-mode, and history action"
COMFY-MENU-007,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-008,ExecutionDock,comfy-parity-execution-ui,,native,CopySelectedExecutionError,,,,"native job, run-mode, and history action"
COMFY-MENU-009,WorkspaceShell,comfy-parity-process-diagnostics,,deferred,,,,,logs and terminal surface
COMFY-MENU-010,ExecutionDock,comfy-parity-execution-ui,,native,RemoveSelectedExecution,,,,"native job, run-mode, and history action"
COMFY-MENU-011,ExecutionDock,comfy-parity-execution-ui,,native,CancelSelectedExecution,,,,"native job, run-mode, and history action"
COMFY-MENU-012,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-013,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-014,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-015,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-016,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-017,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-018,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-019,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-020,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-021,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-022,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-023,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-024,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-025,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-026,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-027,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-028,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-029,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-030,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-031,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-032,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-033,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-034,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-035,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-036,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-037,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-038,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-039,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-040,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-041,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-042,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-MENU-043,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-MENU-044,WorkspaceShell,comfy-parity-workflow-experience,,gated-or-deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-MENU-045,HelpCenter,comfy-parity-process-diagnostics,,deferred,,,,,"support, feedback, and diagnostic surface"
COMFY-MENU-046,HelpCenter,comfy-parity-process-diagnostics,,deferred,,,,,"support, feedback, and diagnostic surface"
COMFY-MENU-047,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-048,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-049,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-050,ExtensionHost,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,extension manager and custom-node discovery surface
COMFY-MENU-051,ExtensionHost,comfy-parity-updates-snapshots,,gated-or-deferred,,,,,extension update surface
COMFY-MENU-052,HelpCenter,comfy-parity-desktop-native-ui,,gated-or-deferred,,,,,desktop troubleshooting navigation surface
COMFY-MENU-053,HelpCenter,comfy-parity-settings-localization-ui,,gated-or-deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-054,DesktopIntegration,comfy-parity-desktop-native-ui,,gated-or-deferred,,,,,desktop menu and platform coverage surface
COMFY-MENU-055,DesktopIntegration,comfy-parity-updates-snapshots,,gated-or-deferred,,,,,desktop application update surface
COMFY-MENU-056,HelpCenter,comfy-parity-updates-snapshots,,deferred,,,,,release and update information surface
COMFY-MENU-057,ExecutionDock,comfy-parity-execution-ui,,native,ToggleDockedExecutionHistory,,,,"native job, run-mode, and history action"
COMFY-MENU-058,ExecutionDock,comfy-parity-execution-ui,,native,ToggleExecutionProgress,,,,"native job, run-mode, and history action"
COMFY-MENU-059,ExecutionDock,comfy-parity-execution-ui,,native,ClearExecutionHistory,,,,"native job, run-mode, and history action"
COMFY-MENU-060,ExecutionDock,comfy-parity-execution-ui,,native,ExecutionRunManual,,,,"native job, run-mode, and history action"
COMFY-MENU-061,ExecutionDock,comfy-parity-execution-ui,,native,ExecutionRunOnChange,,,,"native job, run-mode, and history action"
COMFY-MENU-062,ExecutionDock,comfy-parity-execution-ui,,gated-or-deferred,,,,,"native job, run-mode, and history action"
COMFY-MENU-063,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,CanvasSelectMode,,CanvasMode,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-064,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,CanvasHandMode,,CanvasMode,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-065,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-066,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-067,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-068,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-069,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-070,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-071,AssetBrowser,comfy-parity-assets-editors-viewers,,deferred,,,,,"asset browsing, filtering, settings, and media context surface"
