artifact,purpose,format_schema,feature_id,availability,source,write_read_migration_recovery,compatibility_contract,evidence_level
settings.json,Global settings,JSON plus .tmp/.bak,COMFY-DESKTOP-149,active,projects/comfy/Comfy-Desktop/src/main/settings.ts,"Atomic write, backup recovery, legacy key/value migration.",Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
installations.json,Installation inventory,JSON plus .tmp/.bak,COMFY-DESKTOP-022,active,projects/comfy/Comfy-Desktop/src/main/installations.ts,Atomic write; migrates useSharedPaths and seeds cloud entry.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
window-state.json,Window bounds,JSON,COMFY-DESKTOP-076,active,projects/comfy/Comfy-Desktop/src/main/lib/windowState.ts,Per-install/chooser bounds restored and clamped to displays.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
last-session.json,Last window/install session,JSON,COMFY-DESKTOP-022,active,projects/comfy/Comfy-Desktop/src/main/lib/lastSession.ts,Used by startup restore; malformed/unknown installs ignored.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
data-location.json,Windows data-root choice,JSON,COMFY-DESKTOP-076,active,projects/comfy/Comfy-Desktop/src/main/lib/paths.ts,Pins system-drive/local or colocated data mode.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
release-cache.json,ComfyUI release metadata,schemaVersion 1 JSON,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/lib/release-cache.ts,One-hour freshness and periodic refresh.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
fetch-cache.json,HTTP metadata cache,JSON,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/lib/cache.ts,Offline/freshness cache for bounded remote reads.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
experiment-flags.json,Experiment variants,JSON,COMFY-DESKTOP-170,active,projects/comfy/Comfy-Desktop/src/main/lib/experiments.ts,Cached flag values and exposure context.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
cloud-user-tier.json,Cloud tier,JSON,COMFY-DESKTOP-166,active,projects/comfy/Comfy-Desktop/src/main/lib/userTier.ts,free/paid/unknown cache.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
device-id.txt,Anonymous device identifier,text,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/lib/deviceId.ts,Generated once; migration/alias guards prevent identity churn.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
identity-migration-completed,Identity migration completion guard,ISO-8601 timestamp marker,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/lib/deviceId.ts,Written only after the legacy PostHog alias callback succeeds; suppresses future alias attempts. Best-effort write failure can retry the migration on a later boot.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
first-launch-completed,First-launch telemetry guard,ISO-8601 timestamp marker,COMFY-DESKTOP-167,active,projects/comfy/Comfy-Desktop/src/main/lib/deviceId.ts,consumeFirstLaunch returns true when absent and writes the marker. Best-effort write failure may over-count a later launch rather than lose the first-launch anchor.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
pending-identity-alias.txt,Telemetry identity migration,text,COMFY-DESKTOP-167,active,projects/comfy/Comfy-Desktop/src/main/lib/deviceId.ts,Deferred alias survives offline startup.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
pending-download-token.txt,Download attribution,text,COMFY-DESKTOP-136,active,projects/comfy/Comfy-Desktop/src/main/lib/downloadAttribution.ts,Secret is consumed without renderer broadcast.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
download-token-attributed,Attribution completion marker,marker,COMFY-DESKTOP-136,active,projects/comfy/Comfy-Desktop/src/main/lib/downloadAttribution.ts,Prevents repeated attribution.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
shared_model_paths.yaml,Shared model paths,YAML,COMFY-DESKTOP-187,active,projects/comfy/Comfy-Desktop/src/main/lib/models.ts,Desktop-owned model path source.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
extra_model_paths.yaml,Per-install Comfy model paths,YAML,COMFY-DESKTOP-022,active,projects/comfy/Comfy-Desktop/src/main/lib/models.ts,Comfy-compatible generated path mapping.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
instance-model-paths/<installation-id>.yaml,Isolated per-install model paths,Comfy extra_model_paths YAML,COMFY-DESKTOP-022,active,projects/comfy/Comfy-Desktop/src/main/lib/models.ts,Generated with safe-file replacement when an installation opts out of shared models; passed to ComfyUI at launch and removed best-effort when the installation is deleted.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
port-locks/port-<port>.json,Port reservations,"JSON { pid, installationName, timestamp }",COMFY-DESKTOP-054,active,projects/comfy/Comfy-Desktop/src/main/lib/process.ts,Written best-effort when ComfyUI is spawned; a missing/dead PID makes reads remove the stale lock; explicit process teardown removes it best-effort.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
cloud-entered-completed,First cloud-entry guard,ISO-8601 timestamp marker,COMFY-DESKTOP-006,active,projects/comfy/Comfy-Desktop/src/main/lib/cloudEntry.ts,Written on the first cloud dom-ready entry and drives first_time plus has_launched_cloud. Best-effort write failure may over-count a later launch.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
.comfyui-desktop-2,Installation marker,marker,COMFY-DESKTOP-022,active,projects/comfy/Comfy-Desktop/src/main/sources/standalone/install.ts,Identifies managed/adopted roots.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
.comfyui-op-in-progress.json,Interrupted operation,JSON,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/lib/opMarker.ts,Recovery/rollback prompt at next startup.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
.launcher/snapshots/*.json,Installation snapshots,Snapshot schema version 1,COMFY-DESKTOP-121,active,projects/comfy/Comfy-Desktop/src/main/lib/snapshots/types.ts,manual/boot/restart/pre-update/post-update/post-restore state.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
.launcher/snapshots/manifest.json,Snapshot index,JSON,COMFY-DESKTOP-121,active,projects/comfy/Comfy-Desktop/src/main/lib/snapshots/store.ts,Ordering/retention metadata.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
snapshot export,Portable snapshot envelope,type comfyui-desktop-2-snapshot; version 1 JSON,COMFY-DESKTOP-121,active,projects/comfy/Comfy-Desktop/src/main/lib/snapshots/exportImport.ts,Single or multi-snapshot import/export contract.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
manifest.json,Managed install manifest,JSON,COMFY-DESKTOP-022,active,projects/comfy/Comfy-Desktop/src/main/sources/standalone/install.ts,"Release, variant, component, and layout metadata.",Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
.comfy_environment,Environment marker,text/marker,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/sources/standalone/install.ts,Identifies managed Python environment.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
*.dl-meta,Partial download metadata,JSON sidecar,COMFY-DESKTOP-136,active,projects/comfy/Comfy-Desktop/src/main/lib/download.ts,Resume validation and interrupted download cleanup.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
comfyui.log,Per-install runtime log,rotating text,COMFY-DESKTOP-022,active,projects/comfy/Comfy-Desktop/src/main/lib/logRotation.ts,Bounded retained process diagnostics.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
app.log,Desktop runtime log,rotating text,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/lib/appLog.ts,Bounded application diagnostics.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
OEM/manifest.json,OEM policy,version 1 JSON,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/lib/oem.ts,ProgramData-managed directories/workflow import on Windows.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
localStorage:lastCheckedAt,Update UI timestamp,renderer localStorage,COMFY-DESKTOP-107,active,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/GlobalSettingsView.vue,Mirrored to main popup snapshot for display.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
persist:shared,Shared browser session,Electron partition,COMFY-DESKTOP-187,active,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,Carries shared auth/cookies across compatible installs.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
persist:<installation-id>,Unique browser session,Electron partition,COMFY-DESKTOP-022,active,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,Isolates sources that request unique browser state.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
firebaseLocalStorageDb/firebaseLocalStorage,Firebase auth,IndexedDB,COMFY-DESKTOP-162,active,projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/inject.ts,Validated auth state injected into shared partition.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
sessionStorage:__comfyDesktopPostSignin,Post-sign-in handoff,sessionStorage,COMFY-DESKTOP-174,active,projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/inject.ts,One-navigation auth completion marker.,Preserve filename/location semantics where external Comfy or upgrade compatibility depends on them; otherwise migrate atomically.,code-inferred
