surface_id,surface_type,name,source_paths,dependencies,capability_ids,status,final_disposition,summary
TAURI-APP-MENU,tauri_module,app_menu,projects/buzz/desktop/src-tauri/src/app_menu.rs,Tauri;desktop shell,CAP-036,mapped,Port native actions into Sim menus and retire Tauri host,Owns native application menu actions.
TAURI-APP-STATE,tauri_module,app_state,projects/buzz/desktop/src-tauri/src/app_state.rs;projects/buzz/desktop/src-tauri/src/app_state_keyring.rs,Tauri;Nostr;OS keyring,CAP-007;CAP-009;CAP-036;CAP-045,mapped,Split identity and settings state into canonical Sim owners,Owns desktop process state identity resolution and keyring migration coordination.
TAURI-ARCHIVE,tauri_module,archive,projects/buzz/desktop/src-tauri/src/archive,Tauri;SQLite;relay query,CAP-024;CAP-036;CAP-045,mapped,Port user-owned archive behavior into Sim persistence,Owns local event archive subscriptions access verification and metric projections.
TAURI-BUILDERLAB,tauri_module,builderlab,projects/buzz/desktop/src-tauri/src/builderlab.rs,Tauri;filesystem,CAP-023;CAP-036,mapped,Port relevant agent-builder behavior into native agent UI,Exposes local builder and agent-development operations.
TAURI-COMMANDS,tauri_module,commands,projects/buzz/desktop/src-tauri/src/commands,Tauri;application services,CAP-003;CAP-007;CAP-008;CAP-023;CAP-026;CAP-036;CAP-045,mapped,Replace invoke handlers with direct Sim domain actions,Provides the broad desktop command boundary for communities identity agents and migration.
TAURI-DEEP-LINK,tauri_module,deep_link,projects/buzz/desktop/src-tauri/src/deep_link.rs,Tauri;OS URL handlers,CAP-008;CAP-036;CAP-040,mapped,Map supported links into canonical Sim navigation and preserve client compatibility,Owns desktop deep-link registration parsing and dispatch.
TAURI-EGRESS-GUARD,tauri_module,egress_guard,projects/buzz/desktop/src-tauri/src/egress_guard.rs,Tauri;HTTP policy,CAP-009;CAP-023;CAP-031;CAP-036,mapped,Port fail-closed outbound network policy into Sim services,Restricts desktop and agent network egress to approved destinations.
TAURI-EVENT-SYNC,tauri_module,event_sync,projects/buzz/desktop/src-tauri/src/event_sync.rs,Tauri;SQLite;Nostr,CAP-023;CAP-024;CAP-026;CAP-045,mapped,Retain as a temporary importer then remove after reconciliation,Converts local persona team and agent state into signed relay events.
TAURI-EVENTS,tauri_module,events,projects/buzz/desktop/src-tauri/src/events.rs;projects/buzz/desktop/src-tauri/src/events,Tauri event bus,CAP-036,mapped,Replace with typed GPUI entity events and domain notifications,Defines host-to-webview event names and payload dispatch.
TAURI-HUDDLE,tauri_module,huddle,projects/buzz/desktop/src-tauri/src/huddle,Tauri;audio devices;speech services,CAP-032,mapped,Port behind the ADR-004 native media boundary,Owns audio capture playout speech-to-text text-to-speech and huddle commands.
TAURI-IDENTITY-STORAGE,tauri_module,identity_storage,projects/buzz/desktop/src-tauri/src/identity_storage.rs,Nostr;desktop state,CAP-007;CAP-009,mapped,Consolidate with Sim credentials and identity custody,Tracks active identity persistence and recovery source.
TAURI-INITIAL-WINDOW,tauri_module,initial_window,projects/buzz/desktop/src-tauri/src/initial_window.rs,Tauri windowing,CAP-036;CAP-037,mapped,Express startup geometry through native Sim window state,Controls initial visibility sizing and splash transitions.
TAURI-KEY-BACKUP,tauri_module,key_backup,projects/buzz/desktop/src-tauri/src/key_backup.rs,NIP-49;native file dialogs,CAP-007;CAP-009;CAP-045,mapped,Port compatible encrypted backup and recovery into Sim identity UI,Owns NIP-49 key backup export import and verification.
TAURI-LINK-PREVIEW-TAGS,tauri_module,link_preview_tags,projects/buzz/desktop/src-tauri/src/link_preview_tags.rs,HTTP;HTML parser,CAP-011;CAP-031,mapped,Move guarded metadata fetch into the canonical media service,Fetches and sanitizes link preview metadata.
TAURI-LINUX-MEDIA,tauri_module,linux_media,projects/buzz/desktop/src-tauri/src/linux_media.rs,Linux media stack,CAP-031;CAP-032;CAP-040,mapped,Port only where Sim lacks equivalent platform support,Provides Linux-specific media integration.
TAURI-MACOS-NOTIFICATIONS,tauri_module,macos_notifications,projects/buzz/desktop/src-tauri/src/macos_notifications.rs,macOS notifications,CAP-016;CAP-036,mapped,Extend Sim notification delivery with Buzz target semantics,Owns actionable macOS notification delivery.
TAURI-MANAGED-AGENTS,tauri_module,managed_agents,projects/buzz/desktop/src-tauri/src/managed_agents,Tauri;ACP;MCP;filesystem;process runtime,CAP-021;CAP-022;CAP-023;CAP-024;CAP-025;CAP-026;CAP-034;CAP-035;CAP-045,mapped,Merge missing semantics into Sim agent and ACP owners,Owns agent definitions personas teams lifecycle snapshots jobs configuration and local runtimes.
