package_id,member_path,manifest_path,package_name,package_version,targets,feature_flags,capability_ids,final_disposition
PKG-001,crates/buzz-relay,projects/buzz/crates/buzz-relay/Cargo.toml,buzz-relay,0.2.1,lib:buzz_relay;bin:buzz-relay,dev,CAP-002;CAP-003;CAP-004;CAP-005;CAP-006;CAP-008;CAP-009;CAP-010;CAP-011;CAP-012;CAP-013;CAP-014;CAP-015;CAP-016;CAP-017;CAP-018;CAP-019;CAP-020;CAP-027;CAP-028;CAP-029;CAP-030;CAP-031;CAP-032;CAP-041;CAP-043,Temporary service boundary; consolidate into the Zed collaboration deployment after ADR-001
PKG-002,crates/buzz-core,projects/buzz/crates/buzz-core/Cargo.toml,buzz-core,workspace:0.1.0,lib:buzz_core,test-utils,CAP-001;CAP-002;CAP-003;CAP-004;CAP-007;CAP-010;CAP-011;CAP-012;CAP-013;CAP-014;CAP-018;CAP-019;CAP-020;CAP-023;CAP-024;CAP-025;CAP-026;CAP-027;CAP-028;CAP-029;CAP-030;CAP-033,Split into Zed-owned domain and protocol modules; retire package name after parity
PKG-003,crates/buzz-conformance,projects/buzz/crates/buzz-conformance/Cargo.toml,buzz-conformance,workspace:0.1.0,lib:buzz_conformance,,CAP-003;CAP-044,Retain independent from production dependencies
PKG-004,crates/buzz-push-gateway,projects/buzz/crates/buzz-push-gateway/Cargo.toml,buzz-push-gateway,workspace:0.1.0,lib:buzz_push_gateway;bin:buzz-push-gateway,,CAP-016;CAP-043,Retain as a Zed-owned compatibility service
PKG-005,crates/buzz-db,projects/buzz/crates/buzz-db/Cargo.toml,buzz-db,workspace:0.1.0,lib:buzz_db,,CAP-003;CAP-005;CAP-010;CAP-011;CAP-012;CAP-013;CAP-014;CAP-015;CAP-016;CAP-017;CAP-018;CAP-019;CAP-020;CAP-024;CAP-027;CAP-028;CAP-029;CAP-030,Port migrations and projections by canonical aggregate
PKG-006,crates/buzz-pubsub,projects/buzz/crates/buzz-pubsub/Cargo.toml,buzz-pubsub,workspace:0.1.0,lib:buzz_pubsub,,CAP-006;CAP-014,Port missing semantics into collaboration service and retire duplicate registry
PKG-007,crates/buzz-auth,projects/buzz/crates/buzz-auth/Cargo.toml,buzz-auth,workspace:0.1.0,lib:buzz_auth,dev;test-utils,CAP-007;CAP-008,Merge with Zed service authorization behind the Nostr adapter
PKG-008,crates/buzz-search,projects/buzz/crates/buzz-search/Cargo.toml,buzz-search,workspace:0.1.0,lib:buzz_search,,CAP-015,Port server search projections and compose native results
PKG-009,crates/buzz-audit,projects/buzz/crates/buzz-audit/Cargo.toml,buzz-audit,workspace:0.1.0,lib:buzz_audit,,CAP-028,Port as a lower-level collaboration service module
PKG-010,crates/buzz-acp,projects/buzz/crates/buzz-acp/Cargo.toml,buzz-acp,workspace:0.1.0,lib:buzz_acp;bin:buzz-acp,,CAP-021;CAP-025;CAP-026;CAP-034,Adapt to Zed ACP runtime and retain remote launcher compatibility temporarily
PKG-011,crates/buzz-agent,projects/buzz/crates/buzz-agent/Cargo.toml,buzz-agent,workspace:0.1.0,lib:buzz_agent;bin:buzz-agent;bin:fake-mcp,,CAP-022,Reuse Zed agent and retain external ACP conformance profile
PKG-012,crates/sprig,projects/buzz/crates/sprig/Cargo.toml,sprig,0.1.0,bin:sprig,,CAP-021;CAP-022;CAP-034,Retain remote compatibility image then rebuild from Zed-owned binaries
PKG-013,crates/buzz-test-client,projects/buzz/crates/buzz-test-client/Cargo.toml,buzz-test-client,workspace:0.1.0,lib:buzz_test_client;bin:buzz-test-cli;bin:mention;bin:wamp_bench,,CAP-044,Retain as a black-box compatibility suite until final parity
PKG-014,crates/buzz-ws-client,projects/buzz/crates/buzz-ws-client/Cargo.toml,buzz-ws-client,workspace:0.1.0,lib:buzz_ws_client,,CAP-002;CAP-004,Merge into the client transport adapter
PKG-015,crates/buzz-admin,projects/buzz/crates/buzz-admin/Cargo.toml,buzz-admin,workspace:0.1.0,bin:buzz-admin,,CAP-030;CAP-041,Merge into canonical Zed operator surface with a transition shim
PKG-016,crates/buzz-deletion,projects/buzz/crates/buzz-deletion/Cargo.toml,buzz-deletion,workspace:0.1.0,lib:buzz_deletion,,CAP-030;CAP-041,Port state-machine semantics and adapt storage interfaces
PKG-017,crates/buzz-workflow,projects/buzz/crates/buzz-workflow/Cargo.toml,buzz-workflow,workspace:0.1.0,lib:buzz_workflow,reqwest,CAP-027,Port under a Zed-owned workflow domain and service
PKG-018,crates/buzz-media,projects/buzz/crates/buzz-media/Cargo.toml,buzz-media,workspace:0.1.0,lib:buzz_media,,CAP-031,Retain wire adapter and merge media ownership with Zed
PKG-019,crates/buzz-cli,projects/buzz/crates/buzz-cli/Cargo.toml,buzz-cli,workspace:0.1.0,lib:buzz_cli;bin:buzz,,CAP-038;CAP-042,Merge into Zed CLI and retain a versioned buzz shim
PKG-020,crates/buzz-pairing-cli,projects/buzz/crates/buzz-pairing-cli/Cargo.toml,buzz-pairing-cli,workspace:0.1.0,bin:buzz-pair,,CAP-033;CAP-038,Retain as conformance utility or Zed CLI subcommand
PKG-021,crates/buzz-sdk,projects/buzz/crates/buzz-sdk/Cargo.toml,buzz-sdk,workspace:0.1.0,lib:buzz_sdk,,CAP-001;CAP-002;CAP-007;CAP-008;CAP-009;CAP-010;CAP-011;CAP-012;CAP-013;CAP-014;CAP-015;CAP-016;CAP-017;CAP-018;CAP-019;CAP-020;CAP-023;CAP-024;CAP-025;CAP-026;CAP-027;CAP-028;CAP-029;CAP-030,Retain as Nostr compatibility adapter and rename under Zed ownership
PKG-022,crates/buzz-persona,projects/buzz/crates/buzz-persona/Cargo.toml,buzz-persona,0.1.0,lib:buzz_persona,,CAP-023;CAP-024,Port parser into Zed agent configuration owner
PKG-023,crates/git-credential-nostr,projects/buzz/crates/git-credential-nostr/Cargo.toml,git-credential-nostr,workspace:0.1.0,lib:git_credential_nostr;bin:git-credential-nostr,,CAP-019,Retain compatibility binary backed by Zed credentials
PKG-024,crates/git-sign-nostr,projects/buzz/crates/git-sign-nostr/Cargo.toml,git-sign-nostr,workspace:0.1.0,lib:git_sign_nostr;bin:git-sign-nostr,,CAP-019,Retain compatibility binary integrated with Zed Git settings
PKG-025,crates/buzz-pair-relay,projects/buzz/crates/buzz-pair-relay/Cargo.toml,buzz-pair-relay,workspace:0.1.0,lib:buzz_pair_relay;bin:buzz-pair-relay,,CAP-033,Retain compatibility service under Zed release ownership
PKG-026,crates/buzz-relay-mesh,projects/buzz/crates/buzz-relay-mesh/Cargo.toml,buzz-relay-mesh,workspace:0.1.0,lib:buzz_relay_mesh,,CAP-035,Port unique transport behind Zed remote-agent scheduling
PKG-027,crates/buzz-dev-mcp,projects/buzz/crates/buzz-dev-mcp/Cargo.toml,buzz-dev-mcp,workspace:0.1.0,lib:buzz_dev_mcp;bin:buzz-dev-mcp,,CAP-022,Map tools to Zed and retain only compatibility shims
PKG-028,crates/buzz-voice,projects/buzz/crates/buzz-voice/Cargo.toml,buzz-voice,workspace:0.1.0,lib:buzz_voice,,CAP-032,Merge with Zed audio and voice owners after ADR-004
