feature_id,name,schema_id,title,draft,type,required,top_level_properties,source_file,evidence_level,tests,target_status,parity_decision
COMFY-CLI-SCHEMA-8BF729FFE074,assets,https://comfy.org/schemas/assets.json,comfy assets push --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""pushed"", ""skipped"", ""lock"", ""where""]",5,comfy_cli/schemas/assets.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-BDF49C3C3882,auth,https://comfy.org/schemas/auth.json,comfy auth --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""providers"", ""supported"", ""path""]",4,comfy_cli/schemas/auth.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-5B90071AEA26,discover,https://comfy.org/schemas/discover.json,comfy discover --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""prog"", ""version"", ""commands"", ""schemas"", ""capabilities""]",8,comfy_cli/schemas/discover.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-B77349BF1FA9,env,https://comfy.org/schemas/env.json,comfy env --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""python"", ""config"", ""workspace"", ""server""]",5,comfy_cli/schemas/env.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-4C503CA67761,envelope,https://comfy.org/schemas/envelope.json,comfy-cli output envelope,https://json-schema.org/draft/2020-12/schema,object,"[""ok"", ""command"", ""version"", ""where"", ""data"", ""error""]",9,comfy_cli/schemas/envelope.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-CA00FCCFB408,error,https://comfy.org/schemas/error.json,comfy-cli error block,https://json-schema.org/draft/2020-12/schema,object,"[""code"", ""message""]",4,comfy_cli/schemas/error.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-106A5842FC5F,help,https://comfy.org/schemas/help.json,comfy --help-json output,https://json-schema.org/draft/2020-12/schema,object,"[""prog"", ""commands"", ""root""]",3,comfy_cli/schemas/help.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-5D9A17CB70B9,jobs,https://comfy.org/schemas/jobs.json,comfy jobs --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""host"", ""port""]",13,comfy_cli/schemas/jobs.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-CCD9628CF2FE,jobs_wait,https://comfy.org/schemas/jobs_wait.json,comfy jobs wait --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""total"", ""completed"", ""failed"", ""cancelled"", ""timed_out"", ""elapsed_seconds"", ""jobs""]",7,comfy_cli/schemas/jobs_wait.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-98F38F12DB22,logs,https://comfy.org/schemas/logs.json,comfy logs --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""lines"", ""path"", ""truncated""]",3,comfy_cli/schemas/logs.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-8EDCC26C0F6C,models,,comfy models *,https://json-schema.org/draft/2020-12/schema,object,[],12,comfy_cli/schemas/models.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-45978ECB2996,nodes,,comfy nodes *,https://json-schema.org/draft/2020-12/schema,object,[],7,comfy_cli/schemas/nodes.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-5975CF1BBA43,preview,https://comfy.org/schemas/preview.json,comfy preview --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""input"", ""kind"", ""preview""]",9,comfy_cli/schemas/preview.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-244210E48437,project,https://comfy.org/schemas/project.json,comfy project --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""root""]",10,comfy_cli/schemas/project.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-ACBA25512100,run,https://comfy.org/schemas/run.json,comfy run --json data payload,https://json-schema.org/draft/2020-12/schema,object,"[""workflow"", ""status""]",11,comfy_cli/schemas/run.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-5AB0534C225A,run_event,https://comfy.org/schemas/run_event.json,comfy run --json-stream NDJSON event,https://json-schema.org/draft/2020-12/schema,object,"[""type""]",9,comfy_cli/schemas/run_event.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-6BC14CA4ED82,set_default,,comfy set-default,https://json-schema.org/draft/2020-12/schema,object,[],3,comfy_cli/schemas/set_default.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-9C53C074D7AC,skill,,comfy skills *,https://json-schema.org/draft/2020-12/schema,object,[],10,comfy_cli/schemas/skill.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
COMFY-CLI-SCHEMA-9C6641C1F9CF,templates,,comfy templates *,https://json-schema.org/draft/2020-12/schema,object,[],12,comfy_cli/schemas/templates.json,test-backed,tests/comfy_cli/output/test_envelope_schemas.py,missing,Implement the schema and version negotiation natively; preserve compatible JSON/NDJSON at the CLI/protocol boundary.
