node_identifier,class_name,display_name,category,classification,availability,evidence_level,confidence,reason,inputs,outputs,source_file,source_symbol,source_line,test_evidence,sim_status,parity_gap,feature_id
AutogrowNamesTestNode,AutogrowNamesTestNode,AutogrowNamesTest,utilities/logic,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,_io.Autogrow.Input:autogrow,io.String.Output:,comfy_extras/nodes_logic.py,AutogrowNamesTestNode,246,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for AutogrowNamesTestNode.,COMFY-NODE-INACTIVE-0001
AutogrowPrefixTestNode,AutogrowPrefixTestNode,AutogrowPrefixTest,utilities/logic,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,_io.Autogrow.Input:autogrow,io.String.Output:,comfy_extras/nodes_logic.py,AutogrowPrefixTestNode,266,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for AutogrowPrefixTestNode.,COMFY-NODE-INACTIVE-0002
BatchImagesMasksLatentsNode,BatchImagesMasksLatentsNode,Batch Images/Masks/Latents,util,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,io.Autogrow.Input:inputs,io.MatchType.Output:,comfy_extras/nodes_post_processing.py,BatchImagesMasksLatentsNode,632,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for BatchImagesMasksLatentsNode.,COMFY-NODE-INACTIVE-0003
ComboOptionTestNode,ComboOutputTestNode,ComboOptionTest,utilities/logic,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,"io.Combo.Input:combo(options=['option1', 'option2', 'option3']) | io.Combo.Input:combo2(options=['option4', 'option5', 'option6'])",io.Combo.Output: | io.Combo.Output:,comfy_extras/nodes_logic.py,ComboOutputTestNode,286,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for ComboOptionTestNode.,COMFY-NODE-INACTIVE-0004
ComfySoftSwitchNode,SoftSwitchNode,Soft Switch,utilities/logic,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,io.Boolean.Input:switch | io.MatchType.Input:on_false(lazy=True;optional=True) | io.MatchType.Input:on_true(lazy=True;optional=True),io.MatchType.Output:(display_name='output'),comfy_extras/nodes_logic.py,SoftSwitchNode,118,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for ComfySoftSwitchNode.,COMFY-NODE-INACTIVE-0005
ConvertStringToComboNode,ConvertStringToComboNode,Convert String to Combo,utilities/logic,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,io.String.Input:string,io.Combo.Output:,comfy_extras/nodes_logic.py,ConvertStringToComboNode,302,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for ConvertStringToComboNode.,COMFY-NODE-INACTIVE-0006
DA3GeometryToPointCloud,DA3GeometryToPointCloud,Convert DA3 Geometry to Point Cloud,image/geometry estimation,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,DA3Geometry.Input:da3_geometry | io.Int.Input:batch_index(default=0;min=0;max=4096) | io.Float.Input:confidence_threshold(default=0.1;min=0.0;max=1.0;step=0.01) | io.Boolean.Input:use_sky_mask(default=True) | io.Int.Input:downsample(default=1;min=1;max=16),DA3PointCloud.Output:(display_name='point_cloud'),comfy_extras/nodes_depth_anything_3.py,DA3GeometryToPointCloud,574,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for DA3GeometryToPointCloud.,COMFY-NODE-INACTIVE-0007
DCTestNode,DCTestNode,DCTest,utilities/logic,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,"io.DynamicCombo.Input:combo(options=[io.DynamicCombo.Option('option1', [io.String.Input('string')]), io.DynamicCombo.Option('option2', [io.Int.Input('integer')]), io.DynamicCombo.Option('option3', [io.Image.Input('image')]), io.DynamicCombo.Option('option4', [io.DynamicCombo.Input('subcombo', options=[io.DynamicCombo.Option('opt1', [io.Float.Input('float_x'), io.Float.Input('float_y')]), io.DynamicCombo.Option('opt2', [io.Mask.Input('mask1', optional=True)])])])]) | io.String.Input:string | io.Int.Input:integer | io.Image.Input:image | io.DynamicCombo.Input:subcombo(options=[io.DynamicCombo.Option('opt1', [io.Float.Input('float_x'), io.Float.Input('float_y')]), io.DynamicCombo.Option('opt2', [io.Mask.Input('mask1', optional=True)])]) | io.Float.Input:float_x | io.Float.Input:float_y | io.Mask.Input:mask1(optional=True)",io.AnyType.Output:,comfy_extras/nodes_logic.py,DCTestNode,202,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for DCTestNode.,COMFY-NODE-INACTIVE-0008
InvertBooleanNode,InvertBooleanNode,Invert Boolean,utilities/logic,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,io.Boolean.Input:boolean,io.Boolean.Output:,comfy_extras/nodes_logic.py,InvertBooleanNode,318,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for InvertBooleanNode.,COMFY-NODE-INACTIVE-0009
MinimaxSubjectToVideoNode,MinimaxSubjectToVideoNode,MiniMax Subject to Video,partner/video/MiniMax,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,IO.Image.Input:subject | IO.String.Input:prompt_text(multiline=True;default='') | IO.Combo.Input:model(options=['S2V-01'];default='S2V-01') | IO.Int.Input:seed(default=0;min=0;max=18446744073709551615;step=1;control_after_generate=True;optional=True),IO.Video.Output:,comfy_api_nodes/nodes_minimax.py,MinimaxSubjectToVideoNode,227,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for MinimaxSubjectToVideoNode.,COMFY-NODE-INACTIVE-0010
MultiGPU_Options,MultiGPUOptionsNode,MultiGPU Options,advanced/multigpu,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,io.Int.Input:device_index(default=0;min=0;max=64) | io.Float.Input:relative_speed(default=1.0;min=0.0;step=0.01) | io.Custom.Input:gpu_options(optional=True),io.Custom.Output:,comfy_extras/nodes_multigpu.py,MultiGPUOptionsNode,350,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for MultiGPU_Options.,COMFY-NODE-INACTIVE-0011
RecraftStyleV3VectorIllustrationNode,RecraftStyleV3VectorIllustrationNode,Recraft Style - Realistic Image,partner/image/Recraft,schema-bearing but unregistered node,deprecated/dead,code-inferred,high,Class defines a node schema but is absent from NODE_CLASS_MAPPINGS and ComfyExtension.get_node_list; source has an explicit commented-out registration or test/unfinished implementation.,IO.Combo.Input:substyle(options=get_v3_substyles(cls.RECRAFT_STYLE)),IO.Custom.Output:(display_name='recraft_style'),comfy_api_nodes/nodes_recraft.py,RecraftStyleV3VectorIllustrationNode,267,,deferred,No Comfy-specific Sim implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: Sim has no native node-registry or execution implementation for RecraftStyleV3VectorIllustrationNode.,COMFY-NODE-INACTIVE-0012
