rng_id,phase,symbol,resolution,seededness,seed_expressions,generator_expressions,device_expressions,production_call_count,test_call_count,support_call_count,production_call_sites,test_call_sites,support_call_sites,availability,evidence_level,confidence,phase_identity_requirement,seed_mapping_requirement,state_requirement,device_requirement,cancellation_retry_requirement,native_rust_decision,limitations
COMFY-RNG-E30A300B3733,context-window-selection,torch.Generator,static-import-resolution,state-constructor-or-snapshot,,,'cpu',1,0,0,comfy/context_windows.py:1046:17 (apply_freenoise),,,active,code-inferred,high,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'context-window-selection', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-BC5120977B61,context-window-selection,torch.Generator.manual_seed,static-import-resolution,state-mutator,seed,,,1,0,0,comfy/context_windows.py:1046:17 (apply_freenoise),,,active,code-inferred,high,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'context-window-selection', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-9D90BF16BDD9,context-window-selection,torch.randperm,static-import-resolution,explicit-seed-or-generator,,generator,'cpu',1,0,0,comfy/context_windows.py:1057:20 (apply_freenoise),,,active,code-inferred,high,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'context-window-selection', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-A87E838B0B91,model-internal-stochasticity,generator.choice,receiver-name-inferred,implicit-global-or-object-state,,,,2,0,0,comfy/ldm/hunyuan3d/vae.py:370:23 (load_surface_sharpedge) | comfy/ldm/hunyuan3d/vae.py:371:35 (load_surface_sharpedge),,,active,code-inferred,medium,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'model-internal-stochasticity', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-669933ED7F3B,model-internal-stochasticity,generator.manual_seed,receiver-name-inferred,state-mutator,"kwargs.get('seed', 0) - 10 | seed",,,3,0,0,comfy/model_base.py:2333:17 (HunyuanImage21Refiner.concat_cond) | comfy/model_base.py:2424:17 (HunyuanVideo15_SR_Distilled.concat_cond) | comfy/text_encoders/ace15.py:42:5 (sample_manual_loop_no_classes),,,active,code-inferred,medium,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'model-internal-stochasticity', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-854EBB64647D,model-internal-stochasticity,numpy.random.default_rng,static-import-resolution,entropy-default,,,,1,0,0,comfy/ldm/hunyuan3d/vae.py:368:11 (load_surface_sharpedge),,,active,code-inferred,high,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'model-internal-stochasticity', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-8A604BD4AC80,model-internal-stochasticity,numpy.random.rand,static-import-resolution,implicit-global-or-object-state,,,,2,0,0,comfy/ldm/hunyuan3d/vae.py:309:51 (sharp_sample_pointcloud) | comfy/ldm/hunyuan3d/vae.py:310:9 (sharp_sample_pointcloud),,,active,code-inferred,high,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'model-internal-stochasticity', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-19548855F372,model-internal-stochasticity,torch.Generator,static-import-resolution,state-constructor-or-snapshot,,,'cpu' | device,4,0,0,comfy/model_base.py:2332:29 (HunyuanImage21Refiner.concat_cond) | comfy/model_base.py:2423:29 (HunyuanVideo15_SR_Distilled.concat_cond) | comfy/text_encoders/ace15.py:41:17 (sample_manual_loop_no_classes) | comfy/text_encoders/llama.py:900:21 (BaseGenerate.generate),,,active,code-inferred,high,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'model-internal-stochasticity', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-BED75D487793,model-internal-stochasticity,torch.Generator.manual_seed,static-import-resolution,state-mutator,seed,,,1,0,0,comfy/text_encoders/llama.py:900:21 (BaseGenerate.generate),,,active,code-inferred,high,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'model-internal-stochasticity', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
COMFY-RNG-B93ACA286660,model-internal-stochasticity,torch.manual_seed,static-import-resolution,state-mutator,seed,,,1,0,0,comfy/ldm/modules/diffusionmodules/upscaling.py:48:107 (AbstractLowScaleModel.q_sample),,,active,code-inferred,high,"Derive an independent versioned stream from workflow seed, node identity, execution ordinal, phase 'model-internal-stochasticity', sample/batch index, and declared retry policy; unrelated phases must not perturb this stream.","Match signedness, width, modulo/wrap rules, per-batch expansion, Brownian entropy lists, and CPU-versus-device generator selection represented by the recorded expressions.","Make RNG state explicit, serializable where restart parity requires it, and excluded from cache identity only when the node declares deterministic replay from the same phase key.",Define the algorithm and output sequence per certified backend; CPU-seeded device transfer and native-device generation are distinct contracts and may not be silently interchanged.,"Cancellation, validation failure, OOM retry, and worker recovery must not commit partial RNG advancement; retry SHALL either replay the same phase stream or use an explicitly versioned retry substream.","Implement in the native worker with named phase streams; no Python, NumPy, PyTorch, browser JavaScript, or process-global RNG is permitted in production.","Static argument extraction does not prove runtime seed values, external torchsde algorithms, or branch reachability."
