kind,name,classification,availability,evidence_level,confidence,identifier_or_format,inputs_defaults,success_behavior,failure_behavior,dependencies_platform,source_file,source_symbol,source_line,test_evidence,sim_status,parity_gap,feature_id
attention backend,PyTorch SDP,attention backend,conditional,code-inferred,high,automatic or --use-pytorch-cross-attention,automatic or --use-pytorch-cross-attention,"Enables math, flash, and memory-efficient SDP kernels.",Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,automatic or --use-pytorch-cross-attention,comfy/model_management.py; comfy/cli_args.py,PyTorch SDP,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for PyTorch SDP.,COMFY-MODEL-0001
attention backend,SageAttention/FlashAttention,attention backend,conditional,code-inferred,high,explicit CLI selection and installed dependency,explicit CLI selection and installed dependency,Uses optional optimized attention implementation.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,explicit CLI selection and installed dependency,comfy/model_management.py; comfy/cli_args.py,SageAttention/FlashAttention,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SageAttention/FlashAttention.,COMFY-MODEL-0002
attention backend,split/quad attention,attention backend,conditional,code-inferred,high,explicit CLI selection,explicit CLI selection,Uses Comfy split or sub-quadratic attention implementations.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,explicit CLI selection,comfy/model_management.py; comfy/cli_args.py,split/quad attention,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for split/quad attention.,COMFY-MODEL-0003
attention backend,xFormers,attention backend,conditional,code-inferred,high,installed and not --disable-xformers,installed and not --disable-xformers,Uses compiled xFormers attention except known VAE/version restrictions.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,installed and not --disable-xformers,comfy/model_management.py; comfy/cli_args.py,xFormers,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for xFormers.,COMFY-MODEL-0004
dtype,bfloat16,numeric/weight format,conditional,test-backed,high,bfloat16,"automatic/explicit inference, VAE, and text encoder",Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.","automatic/explicit inference, VAE, and text encoder",comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,bfloat16,,tests-unit/comfy_quant/test_mixed_precision.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for bfloat16.,COMFY-MODEL-0005
dtype,float16,numeric/weight format,conditional,test-backed,high,float16,"automatic/explicit inference, VAE, text encoder, and intermediates",Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.","automatic/explicit inference, VAE, text encoder, and intermediates",comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,float16,,tests-unit/comfy_quant/test_mixed_precision.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for float16.,COMFY-MODEL-0006
dtype,float32,numeric/weight format,conditional,test-backed,high,float32,fallback and explicit UNet/VAE/text-encoder modes,Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.",fallback and explicit UNet/VAE/text-encoder modes,comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,float32,,tests-unit/comfy_quant/test_mixed_precision.py | tests-unit/execution_test/test_cache_provider.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for float32.,COMFY-MODEL-0007
dtype,float64,numeric/weight format,conditional,code-inferred,high,float64,UNet explicit --fp64-unet,Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.",UNet explicit --fp64-unet,comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,float64,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for float64.,COMFY-MODEL-0008
dtype,float8_e4m3fn,numeric/weight format,conditional,test-backed,high,float8_e4m3fn,UNet/text encoder storage and optional compute,Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.",UNet/text encoder storage and optional compute,comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,float8_e4m3fn,,tests-unit/comfy_quant/test_mixed_precision.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for float8_e4m3fn.,COMFY-MODEL-0009
dtype,float8_e4m3fnuz,numeric/weight format,conditional,code-inferred,high,float8_e4m3fnuz,device-supported float8 type,Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.",device-supported float8 type,comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,float8_e4m3fnuz,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for float8_e4m3fnuz.,COMFY-MODEL-0010
dtype,float8_e5m2,numeric/weight format,conditional,code-inferred,high,float8_e5m2,UNet/text encoder storage and optional compute,Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.",UNet/text encoder storage and optional compute,comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,float8_e5m2,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for float8_e5m2.,COMFY-MODEL-0011
dtype,float8_e5m2fnuz,numeric/weight format,conditional,code-inferred,high,float8_e5m2fnuz,device-supported float8 type,Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.",device-supported float8 type,comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,float8_e5m2fnuz,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for float8_e5m2fnuz.,COMFY-MODEL-0012
dtype,float8_e8m0fnu,numeric/weight format,conditional,code-inferred,high,float8_e8m0fnu,UNet storage mode when PyTorch exposes it,Loads/casts/executes with the selected supported representation and device capability checks.,"Unsupported formats/backends log dependency errors, fall back to supported dtypes, or raise explicit unsupported-format errors.",UNet storage mode when PyTorch exposes it,comfy/model_management.py; comfy/quant_ops.py; comfy/utils.py; comfy/ops.py,float8_e8m0fnu,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for float8_e8m0fnu.,COMFY-MODEL-0013
hardware backend,AMD ROCm,hardware backend,platform-specific,code-inferred,high,PyTorch HIP,PyTorch HIP,"Uses torch.cuda API with HIP detection, AOTriton checks, MIOpen policy, and ROCm architecture branches.",Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,PyTorch HIP,comfy/model_management.py; comfy/cli_args.py,AMD ROCm,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for AMD ROCm.,COMFY-MODEL-0014
hardware backend,Apple Metal MPS,hardware backend,platform-specific,code-inferred,high,macOS with torch.backends.mps,macOS with torch.backends.mps,Uses MPS device and shared-memory VRAM state.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,macOS with torch.backends.mps,comfy/model_management.py; comfy/cli_args.py,Apple Metal MPS,,,partial,"The Task 112 semantic adapter is implemented; signed package trust provisioning, production worker selection and model-execution integration, and actual hardware certification remain assigned to Tasks 113-115.",COMFY-MODEL-0015
hardware backend,CPU,hardware backend,platform-specific,code-inferred,high,all platforms; --cpu,all platforms; --cpu,Runs all model components on CPU and disables VRAM state.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,all platforms; --cpu,comfy/model_management.py; comfy/cli_args.py,CPU,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CPU.,COMFY-MODEL-0016
hardware backend,Cambricon MLU,hardware backend,platform-specific,code-inferred,high,torch_mlu installed,torch_mlu installed,Uses torch.mlu device enumeration/stats and PyTorch attention.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,torch_mlu installed,comfy/model_management.py; comfy/cli_args.py,Cambricon MLU,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Cambricon MLU.,COMFY-MODEL-0017
hardware backend,DirectML,hardware backend,platform-specific,code-inferred,high,--directml and torch_directml,--directml and torch_directml,Selects DirectML device; logs that support is slow/legacy and disables low-VRAM mode.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,--directml and torch_directml,comfy/model_management.py; comfy/cli_args.py,DirectML,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for DirectML.,COMFY-MODEL-0018
hardware backend,Huawei Ascend NPU,hardware backend,platform-specific,code-inferred,high,torch_npu installed,torch_npu installed,Uses torch.npu device enumeration/stats and PyTorch attention.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,torch_npu installed,comfy/model_management.py; comfy/cli_args.py,Huawei Ascend NPU,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Huawei Ascend NPU.,COMFY-MODEL-0019
hardware backend,Iluvatar CoreX/IXUCA,hardware backend,platform-specific,code-inferred,high,torch.corex available,torch.corex available,Selects PyTorch attention; falls through CUDA-like current device selection.,Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,torch.corex available,comfy/model_management.py; comfy/cli_args.py,Iluvatar CoreX/IXUCA,,,partial,"CoreX execution is intentionally unavailable in this pack. Proprietary IXRT/IXBLAS ABI, library, signing, production-integration, and hardware work is transferred to .agents/specs/comfy-corex-enablement and remains pending there.",COMFY-MODEL-0020
hardware backend,Intel XPU,hardware backend,platform-specific,code-inferred,high,torch.xpu available,torch.xpu available,"Uses xpu device enumeration, stats, offload, and PyTorch attention.",Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,torch.xpu available,comfy/model_management.py; comfy/cli_args.py,Intel XPU,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Intel XPU.,COMFY-MODEL-0021
