schema_name,classification,availability,evidence_level,confidence,fields,required,bases,source_file,source_line,source_symbol,feature_id,test_evidence,used_by,sim_status,parity_gap
Asset,OpenAPI component schema,uncertain,documented-only,high,created_at | display_name | file_path | hash | id | is_immutable | job_id | last_access_time | metadata | mime_type | name | preview_id | preview_url | short_url | size | tags | updated_at | user_metadata,id | name | created_at | updated_at,,openapi.yaml,3,components.schemas.Asset,COMFY-FORMAT-SCHEMA-0001,tests-unit/assets_test/conftest.py | tests-unit/assets_test/helpers.py | tests-unit/assets_test/queries/test_asset.py | tests-unit/assets_test/queries/test_asset_info.py | tests-unit/assets_test/queries/test_asset_reference_keyset.py | tests-unit/assets_test/queries/test_cache_state.py | tests-unit/assets_test/queries/test_metadata.py | tests-unit/assets_test/queries/test_tags.py | tests-unit/assets_test/services/test_asset_management.py | tests-unit/assets_test/services/test_bulk_ingest.py | tests-unit/assets_test/services/test_cursor.py | tests-unit/assets_test/services/test_enrich.py,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema Asset."
AssetCreated,OpenAPI component schema,uncertain,documented-only,high,,,,openapi.yaml,87,components.schemas.AssetCreated,COMFY-FORMAT-SCHEMA-0002,tests-unit/assets_test/test_uploads.py,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema AssetCreated."
AssetInfo,OpenAPI component schema,uncertain,documented-only,high,id | in_library | model | name | preview_url | public | storage_url,id | name | preview_url | storage_url | model | public | in_library,,openapi.yaml,98,components.schemas.AssetInfo,COMFY-FORMAT-SCHEMA-0003,tests-unit/assets_test/conftest.py | tests-unit/assets_test/test_assets_missing_sync.py | tests-unit/assets_test/test_crud.py | tests-unit/assets_test/test_tags_api.py,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema AssetInfo."
AssetTagHistogramResponse,OpenAPI component schema,uncertain,documented-only,high,tag_counts,tag_counts,,openapi.yaml,129,components.schemas.AssetTagHistogramResponse,COMFY-FORMAT-SCHEMA-0004,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema AssetTagHistogramResponse."
AssetUpdated,OpenAPI component schema,uncertain,documented-only,high,display_name | file_path | hash | id | job_id | mime_type | name | tags | updated_at | user_metadata,id | updated_at,,openapi.yaml,144,components.schemas.AssetUpdated,COMFY-FORMAT-SCHEMA-0005,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema AssetUpdated."
CreateWorkflowRequest,OpenAPI component schema,uncertain,documented-only,high,default_view | description | forked_from_workflow_id | forked_from_workflow_version_id | name | workflow_json,workflow_json,,openapi.yaml,191,components.schemas.CreateWorkflowRequest,COMFY-FORMAT-SCHEMA-0006,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema CreateWorkflowRequest."
CreateWorkflowVersionRequest,OpenAPI component schema,uncertain,documented-only,high,base_version | workflow_json,base_version | workflow_json,,openapi.yaml,219,components.schemas.CreateWorkflowVersionRequest,COMFY-FORMAT-SCHEMA-0007,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema CreateWorkflowVersionRequest."
ErrorResponse,OpenAPI component schema,uncertain,documented-only,high,code | details | message,code | message,,openapi.yaml,233,components.schemas.ErrorResponse,COMFY-FORMAT-SCHEMA-0008,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema ErrorResponse."
ExecutionError,OpenAPI component schema,uncertain,documented-only,high,current_inputs | current_outputs | exception_message | exception_type | node_id | node_type | traceback,node_id | node_type | exception_message | exception_type | traceback | current_inputs | current_outputs,,openapi.yaml,248,components.schemas.ExecutionError,COMFY-FORMAT-SCHEMA-0009,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema ExecutionError."
FeedbackRequest,OpenAPI component schema,uncertain,documented-only,high,content | metadata | rating | type,type,,openapi.yaml,285,components.schemas.FeedbackRequest,COMFY-FORMAT-SCHEMA-0010,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema FeedbackRequest."
FeedbackResponse,OpenAPI component schema,uncertain,documented-only,high,,,,openapi.yaml,310,components.schemas.FeedbackResponse,COMFY-FORMAT-SCHEMA-0011,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema FeedbackResponse."
ForkWorkflowRequest,OpenAPI component schema,uncertain,documented-only,high,name | source_version,source_version,,openapi.yaml,313,components.schemas.ForkWorkflowRequest,COMFY-FORMAT-SCHEMA-0012,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema ForkWorkflowRequest."
GetUserDataResponseFull,OpenAPI component schema,uncertain,documented-only,high,,,,openapi.yaml,325,components.schemas.GetUserDataResponseFull,COMFY-FORMAT-SCHEMA-0013,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema GetUserDataResponseFull."
GetUserDataResponseFullFile,OpenAPI component schema,uncertain,documented-only,high,modified | path | size,,,openapi.yaml,330,components.schemas.GetUserDataResponseFullFile,COMFY-FORMAT-SCHEMA-0014,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema GetUserDataResponseFullFile."
