feature_id,alias,endpoint_id,path,method,category,mode,poller,source_file,openapi_source,evidence_level,tests,availability,target_status,parity_decision
COMFY-CLI-PARTNER-A0C6FA69DF88,dalle,openai/images/generations,/proxy/openai/images/generations,POST,text-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-1CAFC8E54753,dalle-edit,openai/images/edits,/proxy/openai/images/edits,POST,image-edit,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-F29CA43B8BEA,flux-pro,bfl/flux-pro-1.1/generate,/proxy/bfl/flux-pro-1.1/generate,POST,text-to-image,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-B87F69F3C1D3,flux-ultra,bfl/flux-pro-1.1-ultra/generate,/proxy/bfl/flux-pro-1.1-ultra/generate,POST,text-to-image,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-DED4FE51448C,flux-kontext,bfl/flux-kontext-pro/generate,/proxy/bfl/flux-kontext-pro/generate,POST,image-edit,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-074FD87F895F,flux-kontext-max,bfl/flux-kontext-max/generate,/proxy/bfl/flux-kontext-max/generate,POST,image-edit,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-B36CC3A32D92,flux-2,bfl/flux-2-pro/generate,/proxy/bfl/flux-2-pro/generate,POST,text-to-image,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-65A718DE9CD3,flux-fill,bfl/flux-pro-1.0-fill/generate,/proxy/bfl/flux-pro-1.0-fill/generate,POST,inpaint,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-23D086919EA9,flux-expand,bfl/flux-pro-1.0-expand/generate,/proxy/bfl/flux-pro-1.0-expand/generate,POST,outpaint,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-4122A3657026,flux-canny,bfl/flux-pro-1.0-canny/generate,/proxy/bfl/flux-pro-1.0-canny/generate,POST,controlnet,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-1189E6C34CBA,flux-depth,bfl/flux-pro-1.0-depth/generate,/proxy/bfl/flux-pro-1.0-depth/generate,POST,controlnet,asynchronous,bfl,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-96173EA4AB77,ideogram,ideogram/ideogram-v3/generate,/proxy/ideogram/ideogram-v3/generate,POST,text-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-F34E690960E7,ideogram-edit,ideogram/ideogram-v3/edit,/proxy/ideogram/ideogram-v3/edit,POST,image-edit,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-099B642FBC87,ideogram-remix,ideogram/ideogram-v3/remix,/proxy/ideogram/ideogram-v3/remix,POST,image-edit,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
