source_id,path,sha256,bytes,classification,feature_ids,disposition,reason
COMFY-CLI-SOURCE-834E9B406D74,.coveragerc,3cffa95e2b083ca2f5913ccf6102cef089de4da8ae04316e56fa01290b870a9c,348,infrastructure-only,,infrastructure-only,"Packaging, dependency lock, license, lint, coverage, or repository metadata."
COMFY-CLI-SOURCE-185833CB26D7,.github/ISSUE_TEMPLATE/bug_report.md,7f19d28981d3791fe72fa03855870983960fb5e8d7488c550691d8b55a7f6705,447,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-148870715557,.github/ISSUE_TEMPLATE/feature_request.md,2550f4e0a2732757f6c47538e150673ae1f754f7e2487183d77889d098fe4959,450,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-2B2BDA0C32D4,.github/codecov.yml,9ad4ff9fe59d4c6736e7699daa9c486e0191413449f8fd58d38e16cf5d75e7d0,121,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-DD4FBDA47E51,.github/dependabot.yml,480e7838919773c6b7b416b10f48deab73ff0af59b2e71b1e51caa921b10f69a,237,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-BC668A2C9F22,.github/workflows/build-and-test.yml,de5d2978c8bd3624ab02763014d5a8ab5e0f4035cd828541aa71651bc3904ab5,1497,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-88C811B55B57,.github/workflows/ci-cursor-review.yml,2362a8d5ffb83a0b9a0b6a85f4c11d50b7e97cbee6d151315e183f550499a765,2233,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-7AA0BB52169D,.github/workflows/cla.yml,cab0d8562c7a3b2b6205dec26ea533f40c776117c30a2303f3c0fcf7b279275d,4758,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-157C05E7F955,.github/workflows/detect-unreviewed-merge.yml,44f27a55bf4f148030d386a09c6ce145fd3a33c7282eaeb0368fafa7706f1a87,1448,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-86E6B1F2030B,.github/workflows/publish_package.yml,afdee9bacf7426128ed82d18e7d29a8272929066f2a1c9034ad9ec30c0caff8c,3062,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-2500680F4BC6,.github/workflows/pytest.yml,bc6867fecab0b5b9b1e698f91caae90054b765cc4bea612e3ee9ff18ccf489f0,991,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-F8214665E27D,.github/workflows/ruff_check.yml,85e6a9a552ad86aa268915790360f9d3f9291311cd6042201f6ab7ab448d8f2f,582,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
