feature_id,event,in_run_event_schema,literal_code_emission,source_sites,evidence_level,contract_status,target_status,parity_decision,notes
COMFY-CLI-EVENT-8B47045EB7B8,cancelled,true,false,,code-inferred,aligned,missing,Define one native versioned event union and contract-test every emitted variant.,Declared in run_event.json; emitted through a non-literal wrapper or cancellation envelope path.
COMFY-CLI-EVENT-BA451247DCF0,converted,false,true,comfy_cli/command/run/__init__.py:166,code-inferred,conflicting,missing,Define one native versioned event union and contract-test every emitted variant.,Executable code emits this event but run_event.json rejects it; versioned contract conflict.
COMFY-CLI-EVENT-73F80633A127,executed,true,true,comfy_cli/command/jobs.py:1288 | comfy_cli/command/run/execution.py:507,code-inferred,aligned,missing,Define one native versioned event union and contract-test every emitted variant.,
COMFY-CLI-EVENT-4D27F25C0E9C,executing,true,true,comfy_cli/command/jobs.py:1251 | comfy_cli/command/run/__init__.py:599 | comfy_cli/command/run/execution.py:434,code-inferred,aligned,missing,Define one native versioned event union and contract-test every emitted variant.,
COMFY-CLI-EVENT-B291A540568B,execution_cached,true,true,comfy_cli/command/jobs.py:1258 | comfy_cli/command/run/execution.py:453,code-inferred,aligned,missing,Define one native versioned event union and contract-test every emitted variant.,
COMFY-CLI-EVENT-F0D5601E5865,execution_error,true,true,comfy_cli/command/run/execution.py:542,code-inferred,aligned,missing,Define one native versioned event union and contract-test every emitted variant.,
COMFY-CLI-EVENT-E0EE8BB50685,output,true,true,comfy_cli/command/jobs.py:1553 | comfy_cli/command/jobs.py:1287 | comfy_cli/command/run/execution.py:532,code-inferred,aligned,missing,Define one native versioned event union and contract-test every emitted variant.,
COMFY-CLI-EVENT-B5F90A96E680,progress,true,false,,code-inferred,aligned,missing,Define one native versioned event union and contract-test every emitted variant.,Declared in run_event.json; emitted through a non-literal wrapper or cancellation envelope path.
COMFY-CLI-EVENT-9532AB009FFD,prompt_preview,false,true,comfy_cli/command/run/__init__.py:190 | comfy_cli/command/run/__init__.py:565,code-inferred,conflicting,missing,Define one native versioned event union and contract-test every emitted variant.,Executable code emits this event but run_event.json rejects it; versioned contract conflict.
COMFY-CLI-EVENT-D36BE6494248,queued,true,true,comfy_cli/command/run/__init__.py:601 | comfy_cli/command/run/execution.py:253,code-inferred,aligned,missing,Define one native versioned event union and contract-test every emitted variant.,
COMFY-CLI-EVENT-D31E014808EC,settled,false,true,comfy_cli/command/jobs.py:785,code-inferred,conflicting,missing,Define one native versioned event union and contract-test every emitted variant.,Executable code emits this event but run_event.json rejects it; versioned contract conflict.
COMFY-CLI-EVENT-4BA69735CA53,state,false,true,comfy_cli/command/jobs.py:1549,code-inferred,conflicting,missing,Define one native versioned event union and contract-test every emitted variant.,Executable code emits this event but run_event.json rejects it; versioned contract conflict.
