contract_id,kind,source_path,source_symbol,source_ordinal,source_sha256,symbol_sha256,native_owner,implementation_task,validation_surface,disposition,current_zed_status,zed_evidence,validation_artifact_sha256,closure_artifact
conditioning-conditioning-value-conds-condregular-505e5b9e,conditioning_value,projects/comfy/ComfyUI/comfy/conds.py,CONDRegular,0,72058e9a22c972a9c875819e59d432d30d367fd2f7092ee6c6c45e5a60c959b0,70f51fcbaab53483c4021fb14beaba441ad619dfed7e98ae9cb8572b00d43b59,comfy_model::conditioning,comfy-parity-conditioning-value-foundation,comfy_model::conditioning::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-conditioning-value-conds-condnoiseshape-7f11dbb1,conditioning_value,projects/comfy/ComfyUI/comfy/conds.py,CONDNoiseShape,1,72058e9a22c972a9c875819e59d432d30d367fd2f7092ee6c6c45e5a60c959b0,09b5fe4f7356575bd74c5a2fe3be000b5bc3aa828f073e2a47cb0066a7b954b2,comfy_model::conditioning,comfy-parity-conditioning-value-foundation,comfy_model::conditioning::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-conditioning-value-conds-condcrossattn-4d921d69,conditioning_value,projects/comfy/ComfyUI/comfy/conds.py,CONDCrossAttn,2,72058e9a22c972a9c875819e59d432d30d367fd2f7092ee6c6c45e5a60c959b0,1c8f7cafddae8ba4f31d7457d137c1a0f21021ada3800c4eab59305ec2c52e0e,comfy_model::conditioning,comfy-parity-conditioning-value-foundation,comfy_model::conditioning::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-conditioning-value-conds-condconstant-0e559aad,conditioning_value,projects/comfy/ComfyUI/comfy/conds.py,CONDConstant,3,72058e9a22c972a9c875819e59d432d30d367fd2f7092ee6c6c45e5a60c959b0,fe28986e4004b12c907faaa6d81cf34665fff098f6530f58bc7ddca01253c07e,comfy_model::conditioning,comfy-parity-conditioning-value-foundation,comfy_model::conditioning::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-conditioning-value-conds-condlist-21ce2116,conditioning_value,projects/comfy/ComfyUI/comfy/conds.py,CONDList,4,72058e9a22c972a9c875819e59d432d30d367fd2f7092ee6c6c45e5a60c959b0,c6ee23597d41a048ae1dc07ed2f7312e0fbe288770fdedb9a5535887590baba6,comfy_model::conditioning,comfy-parity-conditioning-value-foundation,comfy_model::conditioning::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-samplers-get-area-and-mult-14d8dec2,guidance,projects/comfy/ComfyUI/comfy/samplers.py,get_area_and_mult,5,d882256ae9baa1d23f1367ab2ec3b021fdc15fe39ce4cb49ea2c1ee10026a649,0bdfa1313d458e83697a50e7209c648e0926620cffd058cfe01235fc32d3f06b,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-samplers-calc-cond-batch-23aa4a02,guidance,projects/comfy/ComfyUI/comfy/samplers.py,calc_cond_batch,6,d882256ae9baa1d23f1367ab2ec3b021fdc15fe39ce4cb49ea2c1ee10026a649,9f5af4e1a3c41cfc3f11bec6c695df2c43b8592f58b8940d73a746073c45858e,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-samplers-sampling-function-ef25ad1d,guidance,projects/comfy/ComfyUI/comfy/samplers.py,sampling_function,7,d882256ae9baa1d23f1367ab2ec3b021fdc15fe39ce4cb49ea2c1ee10026a649,cefc56aedf8d6b0727fe563c1c55e5ab30a911793f597d9fa6fc96c71671b53e,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-sampler-helpers-prepare-mask-048488c7,guidance_hook,projects/comfy/ComfyUI/comfy/sampler_helpers.py,prepare_mask,8,53c82235bfea0c4edf3cd5219f080c44c45ac1c9a6c3171f2aae151e18b56b91,002228dca4ececd0e856c9027ee2b397f50d8f60251c8c36290dd5b480483473,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-sampler-helpers-get-models-from-cond-1be91d68,guidance_hook,projects/comfy/ComfyUI/comfy/sampler_helpers.py,get_models_from_cond,9,53c82235bfea0c4edf3cd5219f080c44c45ac1c9a6c3171f2aae151e18b56b91,c08edca55dea83be918da7f2f5e55703a55f6f5a23bfc47945efd394289fc897,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-sampler-helpers-convert-cond-e8752d85,guidance_hook,projects/comfy/ComfyUI/comfy/sampler_helpers.py,convert_cond,10,53c82235bfea0c4edf3cd5219f080c44c45ac1c9a6c3171f2aae151e18b56b91,29875dc26ff3195278d0d69c0cc0340e13d23c4fbd9ec278604911a8ca810be2,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-sampler-helpers-get-additional-models-7ba596bf,guidance_hook,projects/comfy/ComfyUI/comfy/sampler_helpers.py,get_additional_models,11,53c82235bfea0c4edf3cd5219f080c44c45ac1c9a6c3171f2aae151e18b56b91,34620c3be63511131f594020dc2a287548c1d5705dc2bfe8a0944628c2c8798d,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-sampler-helpers-prepare-sampling-b141c606,guidance_hook,projects/comfy/ComfyUI/comfy/sampler_helpers.py,prepare_sampling,12,53c82235bfea0c4edf3cd5219f080c44c45ac1c9a6c3171f2aae151e18b56b91,05f76c3c3c5af1afa5acb31c8c97348a31a00bd476ae9534cd77cfb8fb1af57d,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-sampler-helpers-cleanup-models-6f147c97,guidance_hook,projects/comfy/ComfyUI/comfy/sampler_helpers.py,cleanup_models,13,53c82235bfea0c4edf3cd5219f080c44c45ac1c9a6c3171f2aae151e18b56b91,97362e38f50119430ebe64478be92defc1704624a3e585873c0aded2f9d6b86d,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-hooks-hook-536ff505,guidance_hook,projects/comfy/ComfyUI/comfy/hooks.py,Hook,14,af4d31e1f70f4e66e145f92d71807649444acdc4bc92bc10e58ba7626a2c38a2,98e29e3456aa0f84369831dbb10b9424ca50204875649a8d1572a491363e7873,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-hooks-weighthook-03327446,guidance_hook,projects/comfy/ComfyUI/comfy/hooks.py,WeightHook,15,af4d31e1f70f4e66e145f92d71807649444acdc4bc92bc10e58ba7626a2c38a2,c7c2785364da340814e9ae83a6a616383fd3518060fd9ea9c3bc4a07825acca0,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
