catalog_id,record_type,name,numeric_value,protocol_references,source_paths,capability_ids,status,summary
KIND-KIND_PROFILE,event_kind,KIND_PROFILE,0,NIP-01,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007,registered,NIP-01: User profile metadata.
KIND-KIND_TEXT_NOTE,event_kind,KIND_TEXT_NOTE,1,NIP-01,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-011;CAP-017,registered,NIP-01: Short text note.
KIND-KIND_CONTACT_LIST,event_kind,KIND_CONTACT_LIST,3,NIP-02,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007,registered,NIP-02: Contact list / follow list.
KIND-KIND_MUTE_LIST,event_kind,KIND_MUTE_LIST,10000,NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007,registered,"NIP-51: Mute list (replaceable, 10000–19999 range) — pubkeys/events/threads/words a user has muted."
KIND-KIND_PIN_LIST,event_kind,KIND_PIN_LIST,10001,NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007,registered,NIP-51: Pin list (replaceable) — events the user has pinned to their profile.
KIND-KIND_NIP65_RELAY_LIST_METADATA,event_kind,KIND_NIP65_RELAY_LIST_METADATA,10002,NIP-65,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007,registered,NIP-65: Relay list metadata (replaceable) — read/write relay preferences for the outbox model.
KIND-KIND_BOOKMARK_LIST,event_kind,KIND_BOOKMARK_LIST,10003,NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001,registered,NIP-51: Bookmark list (replaceable) — events/articles/hashtags/URLs the user has bookmarked.
KIND-KIND_EMOJI_LIST,event_kind,KIND_EMOJI_LIST,10030,NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-017,registered,NIP-51: Emoji list (replaceable) — user preferred emojis and pointers to emoji sets.
KIND-KIND_FOLLOW_SET,event_kind,KIND_FOLLOW_SET,30000,NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007,registered,"NIP-51: Follow set (parameterized replaceable, 30000–39999 range) — named curated lists of pubkeys."
KIND-KIND_BOOKMARK_SET,event_kind,KIND_BOOKMARK_SET,30003,NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007,registered,NIP-51: Bookmark set (parameterized replaceable) — named curated bookmark collections.
KIND-KIND_EMOJI_SET,event_kind,KIND_EMOJI_SET,30030,NIP-30;NIP-33;NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-017,registered,NIP-51 / NIP-30: Emoji set (parameterized replaceable).
KIND-KIND_CHANNEL_METADATA,event_kind,KIND_CHANNEL_METADATA,41,NIP-01,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,defined-unused,NIP-01: Channel metadata (replaceable). Not used by Buzz today.
KIND-KIND_DELETION,event_kind,KIND_DELETION,5,NIP-09,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-011,registered,NIP-09: Event deletion request.
KIND-KIND_REACTION,event_kind,KIND_REACTION,7,NIP-25,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-011,registered,NIP-25: Content is emoji char or `+`/`-`.
KIND-KIND_GIFT_WRAP,event_kind,KIND_GIFT_WRAP,1059,NIP-17,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-012,registered,"NIP-17: Outer envelope for private DMs — hides sender, content, timestamp."
KIND-KIND_FILE_METADATA,event_kind,KIND_FILE_METADATA,1063,NIP-94,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-031,registered,NIP-94: File metadata attachment.
KIND-KIND_LONG_FORM,event_kind,KIND_LONG_FORM,30023,NIP-23;NIP-33,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-011;CAP-017,registered,"NIP-23: Long-form content (articles, blog posts, RFCs)."
KIND-KIND_USER_STATUS,event_kind,KIND_USER_STATUS,30315,NIP-33;NIP-38,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007,registered,"NIP-38: User status (general, music, or custom d-tag)."
KIND-KIND_READ_STATE,event_kind,KIND_READ_STATE,30078,NIP-33;NIP-44;NIP-78;NIP-RS,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-013,registered,NIP-78 / NIP-RS: Per-client read state blob for cross-device read position sync.
KIND-KIND_AUTH,event_kind,KIND_AUTH,22242,NIP-42,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,NIP-42 auth event — never stored (carries bearer tokens).
KIND-KIND_BLOSSOM_AUTH,event_kind,KIND_BLOSSOM_AUTH,24242,BUD-01,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008;CAP-031,registered,"BUD-01: Blossom upload auth (used in upload.rs, not stored)."
KIND-KIND_NOSTR_IDENTITY_BINDING,event_kind,KIND_NOSTR_IDENTITY_BINDING,24243,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-008;CAP-009,registered,"Buzz custom one-time identity binding proof (ephemeral, not stored)."
KIND-KIND_HTTP_AUTH,event_kind,KIND_HTTP_AUTH,27235,NIP-98,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,"NIP-98: HTTP auth event (used in nip98.rs, not stored)."
KIND-KIND_AGENT_PROFILE,event_kind,KIND_AGENT_PROFILE,10100,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-023,registered,"Agent metadata + owner reference (replaceable, agent-authored)."
KIND-KIND_AGENT_ENGRAM,event_kind,KIND_AGENT_ENGRAM,30174,NIP-AE,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-024,registered,"NIP-AE: Agent Engram (parameterized replaceable, agent-authored)."
KIND-KIND_EVENT_REMINDER,event_kind,KIND_EVENT_REMINDER,30300,NIP-44;NIP-ER,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-013,registered,"NIP-ER: Event Reminder (parameterized replaceable, author-only)."
KIND-KIND_PUSH_LEASE,event_kind,KIND_PUSH_LEASE,30350,NIP-44;NIP-PL,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-016,registered,"NIP-PL: encrypted push lease (parameterized replaceable, author-only)."
KIND-KIND_PRIVATE_MANAGED_AGENT,event_kind,KIND_PRIVATE_MANAGED_AGENT,30179,NIP-44;NIP-PMA,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-023,registered,NIP-PMA: owner-encrypted private managed-agent aggregate.
KIND-KIND_PERSONA,event_kind,KIND_PERSONA,30175,NIP-AP,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-023,registered,"NIP-AP: Agent Persona (parameterized replaceable, owner-authored)."
