feature_id,entry_kind,identifier,wire_name,source_file,availability,evidence_level
COMFY-CLOUD-009,event,USER_SIGN_UP_OPENED,app:user_sign_up_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-010,event,USER_AUTH_COMPLETED,app:user_auth_completed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-011,event,USER_LOGGED_IN,app:user_logged_in,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-012,event,RUN_BUTTON_CLICKED,app:run_button_click,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-013,event,SUBSCRIPTION_REQUIRED_MODAL_OPENED,app:subscription_required_modal_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-014,event,SUBSCRIBE_NOW_BUTTON_CLICKED,app:subscribe_now_button_clicked,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-015,event,MONTHLY_SUBSCRIPTION_SUCCEEDED,app:monthly_subscription_succeeded,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-016,event,MONTHLY_SUBSCRIPTION_CANCELLED,app:monthly_subscription_cancelled,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-017,event,SUBSCRIPTION_CANCEL_FLOW_OPENED,app:subscription_cancel_flow_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-018,event,SUBSCRIPTION_CANCEL_CONFIRMED,app:subscription_cancel_confirmed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-019,event,SUBSCRIPTION_CANCEL_ABANDONED,app:subscription_cancel_abandoned,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-020,event,SUBSCRIPTION_CANCEL_FAILED,app:subscription_cancel_failed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
