kind,name,default,choices,value_shape,mutual_exclusion_group,availability,evidence_level,confidence,behavior,source_file,source_symbol,source_line,test_evidence,runtime_observation,zed_status,parity_gap,feature_id
CLI flag,--async-offload,None,,int; nargs='?',,active,observed,high,Use async weight offloading. An optional argument controls the amount of offload streams. Default is 2. Enabled by default on Nvidia.,comfy/cli_args.py,parser.add_argument,150,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --async-offload.,COMFY-CONFIG-0001
CLI flag,--auto-launch,false,,store_true,,active,observed,high,Automatically launch ComfyUI in the default browser.,comfy/cli_args.py,parser.add_argument,50,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --auto-launch.,COMFY-CONFIG-0002
CLI flag,--base-directory,None,,str,,active,observed,high,"Set the ComfyUI base directory for models, custom_nodes, input, output, temp, and user directories.",comfy/cli_args.py,parser.add_argument,45,tests-unit/assets_test/conftest.py | tests-unit/comfy_test/folder_path_test.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --base-directory.,COMFY-CONFIG-0003
CLI flag,--bf16-text-enc,false,,store_true,fpte_group,active,observed,high,Store text encoder weights in bf16.,comfy/cli_args.py,parser.add_argument,84,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --bf16-text-enc.,COMFY-CONFIG-0004
CLI flag,--bf16-unet,false,,store_true,fpunet_group,active,observed,high,Run the diffusion model in bf16.,comfy/cli_args.py,parser.add_argument,66,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --bf16-unet.,COMFY-CONFIG-0005
CLI flag,--bf16-vae,false,,store_true,fpvae_group,active,observed,high,Run the VAE in bf16.,comfy/cli_args.py,parser.add_argument,75,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --bf16-vae.,COMFY-CONFIG-0006
CLI flag,--cache-classic,false,,store_true,cache_group,active,observed,high,Use the old style (aggressive) caching.,comfy/cli_args.py,parser.add_argument,115,tests/execution/test_async_nodes.py | tests/execution/test_execution.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --cache-classic.,COMFY-CONFIG-0007
CLI flag,--cache-lru,0,,int,cache_group,active,observed,high,Use LRU caching with a maximum of N node results cached. May use more RAM/VRAM.,comfy/cli_args.py,parser.add_argument,116,tests/execution/test_async_nodes.py | tests/execution/test_execution.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --cache-lru.,COMFY-CONFIG-0008
CLI flag,--cache-none,false,,store_true,cache_group,active,observed,high,Reduced RAM/VRAM usage at the expense of executing every node for each run.,comfy/cli_args.py,parser.add_argument,117,tests/execution/test_execution.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --cache-none.,COMFY-CONFIG-0009
CLI flag,--cache-ram,[],,float; nargs='*',cache_group,active,observed,high,"Use RAM pressure caching with the specified headroom thresholds. This is the default caching mode. The first value sets the active-cache threshold; the optional second value sets the inactive-cache/pin threshold. Defaults when no values are provided: active 10%% of system RAM (min 2GB, max 10GB), inactive 100%% of system RAM (max 96GB).",comfy/cli_args.py,parser.add_argument,114,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --cache-ram.,COMFY-CONFIG-0010
CLI flag,--comfy-api-base,https://api.comfy.org,,str,,active,observed,high,Set the base URL for the ComfyUI API.  (default: https://api.comfy.org),comfy/cli_args.py,parser.add_argument,231,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --comfy-api-base.,COMFY-CONFIG-0011
CLI flag,--cpu,false,,store_true,vram_group,active,observed,high,To use the CPU for everything (slow).,comfy/cli_args.py,parser.add_argument,145,tests-unit/assets_test/conftest.py | tests-unit/comfy_quant/test_mixed_precision.py | tests/execution/test_async_nodes.py | tests/execution/test_execution.py | tests/execution/test_progress_isolation.py | tests/execution/test_public_api.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --cpu.,COMFY-CONFIG-0012
CLI flag,--cpu-vae,false,,store_true,,active,observed,high,Run the VAE on the CPU.,comfy/cli_args.py,parser.add_argument,77,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --cpu-vae.,COMFY-CONFIG-0013
CLI flag,--cuda-device,None,,str,,active,observed,high,"Set the ids of cuda devices this instance will use, as a comma-separated list (e.g. '0' or '0,1'). All other devices will not be visible.",comfy/cli_args.py,parser.add_argument,52,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --cuda-device.,COMFY-CONFIG-0014
CLI flag,--cuda-malloc,false,,store_true,cm_group,active,observed,high,Enable cudaMallocAsync (enabled by default for torch 2.0 and up).,comfy/cli_args.py,parser.add_argument,55,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --cuda-malloc.,COMFY-CONFIG-0015
CLI flag,--database-url,sqlite:///{database_default_path},,str,,active,observed,high,"Specify the database URL, e.g. for an in-memory database you can use 'sqlite:///:memory:'.",comfy/cli_args.py,parser.add_argument,241,tests-unit/assets_test/conftest.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --database-url.,COMFY-CONFIG-0016
CLI flag,--debug-hang,false,,store_true,,active,observed,high,Enable stack trace dumps on Ctrl-C for debugging hangs.,comfy/cli_args.py,parser.add_argument,171,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --debug-hang.,COMFY-CONFIG-0017
