feature_id,product,domain,module,primary_symbol,exported_symbols,classification,disposition,availability,source_availability,evidence_level,confidence,source_evidence,test_evidence,broad_anchor,candidate_predicate,actor,trigger,preconditions,inputs_defaults_flags,observable_success,state_concurrency,error_cancel_retry_recovery,persistence_serialization,interfaces_side_effects,platform_cloud_variants,independent_validation,infrastructure_disposition,source_sha256
COMFY-FRONTMOD-C11819B45921,ComfyUI-Frontend desktop-ui,diagnostics-errors,apps/desktop-ui/src/composables/bottomPanelTabs/useTerminal.ts,useTerminal,useTerminal,frontend functional module,functional-capability,platform-specific,platform-specific,test-backed,high,apps/desktop-ui/src/composables/bottomPanelTabs/useTerminal.ts:8; sha256=c2376d8c9ea90e3ec7f1fac8530919649221270f1cb0dece320ac0a3e32db719,apps/desktop-ui/src/composables/bottomPanelTabs/useTerminal.test.ts,COMFY-UI-001,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,User or operator inspecting terminal/error state,"The actor invokes useTerminal, dispatches one of its named transitions, or consumes its reactive state from apps/desktop-ui/src/composables/bottomPanelTabs/useTerminal.ts.","broad anchor=COMFY-UI-001; dependencies=@xterm/addon-fit, @xterm/xterm, es-toolkit/compat, vue; availability=platform-specific","export declarations=export function useTerminal(element: Ref<HTMLElement | undefined>) {; flags/guards=hasSelection, isNaN",useTerminal shall provide terminal behavior; its independently testable contract exposes useTerminal; named transitions resize. exports=useTerminal; actions=resize; store_ids=none; effects=returned values or reactive state only.,"state primitives=plain TypeScript values; async/lifetime primitives=async, onMounted, onUnmounted; The caller must reject stale completions and dispose watchers/listeners/tasks at the same source-defined lifecycle boundary.","useTerminal declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",useTerminal declares no direct durable storage primitive; returned values/state are owned by its consumer.,"imports=@xterm/addon-fit, @xterm/xterm, es-toolkit/compat, vue; effects=no direct I/O token identified; route_literals=none",Desktop UI only; privileged effects require the context-isolated Desktop bridge and OS/platform state remains shell-owned.,"Import apps/desktop-ui/src/composables/bottomPanelTabs/useTerminal.ts; exercise useTerminal and resize with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=useTerminal; actions=resize; store_ids=none; effects=returned values or reactive state only.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",c2376d8c9ea90e3ec7f1fac8530919649221270f1cb0dece320ac0a3e32db719
COMFY-FRONTMOD-EC0E7FE9E719,ComfyUI-Frontend desktop-ui,diagnostics-errors,apps/desktop-ui/src/composables/bottomPanelTabs/useTerminalBuffer.ts,useTerminalBuffer,useTerminalBuffer,frontend functional module,functional-capability,platform-specific,platform-specific,test-backed,high,apps/desktop-ui/src/composables/bottomPanelTabs/useTerminalBuffer.ts:5; sha256=81806728d792c8708a93e6b6db69c9f178de4d074aa9953c4ce1bbbc5ddb31b9,apps/desktop-ui/src/composables/bottomPanelTabs/useTerminalBuffer.test.ts,COMFY-UI-001,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,User or operator inspecting terminal/error state,"The actor invokes useTerminalBuffer, dispatches one of its named transitions, or consumes its reactive state from apps/desktop-ui/src/composables/bottomPanelTabs/useTerminalBuffer.ts.","broad anchor=COMFY-UI-001; dependencies=@xterm/addon-serialize, @xterm/xterm, vue; availability=platform-specific",export declarations=export function useTerminalBuffer() {; flags/guards=no statically named feature guard,useTerminalBuffer shall provide terminal buffer behavior; its independently testable contract exposes useTerminalBuffer; named transitions copyTo. exports=useTerminalBuffer; actions=copyTo; store_ids=none; effects=returned values or reactive state only.,"state primitives=plain TypeScript values; async/lifetime primitives=onMounted, onUnmounted; The caller must reject stale completions and dispose watchers/listeners/tasks at the same source-defined lifecycle boundary.","useTerminalBuffer declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",useTerminalBuffer declares no direct durable storage primitive; returned values/state are owned by its consumer.,"imports=@xterm/addon-serialize, @xterm/xterm, vue; effects=no direct I/O token identified; route_literals=none",Desktop UI only; privileged effects require the context-isolated Desktop bridge and OS/platform state remains shell-owned.,"Import apps/desktop-ui/src/composables/bottomPanelTabs/useTerminalBuffer.ts; exercise useTerminalBuffer and copyTo with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=useTerminalBuffer; actions=copyTo; store_ids=none; effects=returned values or reactive state only.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",81806728d792c8708a93e6b6db69c9f178de4d074aa9953c4ce1bbbc5ddb31b9
COMFY-FRONTMOD-367D23537472,ComfyUI-Frontend desktop-ui,application-ui-state,apps/desktop-ui/src/stores/maintenanceTaskStore.ts,useMaintenanceTaskStore,useMaintenanceTaskStore,frontend functional module,functional-capability,platform-specific,platform-specific,test-backed,high,apps/desktop-ui/src/stores/maintenanceTaskStore.ts:83; sha256=adffbc9c28843eee2c60443ace5c6d228c3b43aed9f583a45e74671e65bbd666,apps/desktop-ui/src/stores/maintenanceTaskStore.test.ts,COMFY-UI-001,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,Frontend user or owning application surface,"The actor invokes useMaintenanceTaskStore, dispatches one of its named transitions, or consumes its reactive state from apps/desktop-ui/src/stores/maintenanceTaskStore.ts.","broad anchor=COMFY-UI-001; dependencies=@comfyorg/comfyui-electron-types, pinia, vue, @/constants/desktopMaintenanceTasks, @/types/desktop/maintenanceTypes, @/utils/envUtil; availability=platform-specific","export declarations=export const useMaintenanceTaskStore = defineStore('maintenanceTask', () => {; flags/guards=isRefreshing, isRunningTerminalCommand, isRunningInstallationFix, isInstallationFix","useMaintenanceTaskStore shall own and transition maintenance task state; its independently testable contract exposes useMaintenanceTaskStore; named transitions clearResolved, refreshDesktopTasks, execute. exports=useMaintenanceTaskStore; actions=clearResolved, refreshDesktopTasks, execute; store_ids=maintenanceTask; effects=returned values or reactive state only.","state primitives=defineStore, ref(, computed(; async/lifetime primitives=async, await; The caller must reject stale completions and dispose watchers/listeners/tasks at the same source-defined lifecycle boundary.","Source branches or propagation primitives: try {, catch (, finally, throw. Tests shall cover rejected dependencies, invalid/empty values, cancellation where declared, retry where declared, cleanup, and preservation of the last committed state.",Pinia store state (maintenanceTask) is in-memory unless a cited consumer/plugin serializes it; this module declares no direct durable storage primitive.,"imports=@comfyorg/comfyui-electron-types, pinia, vue, @/constants/desktopMaintenanceTasks, @/types/desktop/maintenanceTypes, @/utils/envUtil; effects=no direct I/O token identified; route_literals=none",Desktop UI only; privileged effects require the context-isolated Desktop bridge and OS/platform state remains shell-owned.,"Import apps/desktop-ui/src/stores/maintenanceTaskStore.ts; exercise useMaintenanceTaskStore and clearResolved, refreshDesktopTasks, execute with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=useMaintenanceTaskStore; actions=clearResolved, refreshDesktopTasks, execute; store_ids=maintenanceTask; effects=returned values or reactive state only.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",adffbc9c28843eee2c60443ace5c6d228c3b43aed9f583a45e74671e65bbd666
COMFY-FRONTMOD-D99B587E3C04,ComfyUI-Frontend website,website-interaction,apps/website/src/composables/scrollLock.ts,lockScroll,"lockScroll, unlockScroll",frontend functional module,functional-capability,cloud/paid,cloud/paid,code-inferred,medium,apps/website/src/composables/scrollLock.ts:6; sha256=3c48d6715c8ca013c6c4d4b0bb671c855e3a74e5669535aedaa32d40afbdbd3d,No same-module .test.ts or .spec.ts file was located; behavior is statically inferred.,COMFY-CLOUD-007,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,Website visitor,"The actor invokes lockScroll, dispatches one of its named transitions, or consumes its reactive state from apps/website/src/composables/scrollLock.ts.",broad anchor=COMFY-CLOUD-007; dependencies=../scripts/smoothScroll; availability=cloud/paid,export declarations=export function lockScroll() {; export function unlockScroll(options?: { skipRestore?: boolean }) {; flags/guards=no statically named feature guard,"lockScroll shall provide scroll lock behavior; its independently testable contract exposes lockScroll, unlockScroll. exports=lockScroll, unlockScroll; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.","lockScroll is synchronous at this module boundary; repeated calls are independently testable and the module declares no watcher, timer, subscription, or asynchronous owner.","lockScroll declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",lockScroll declares no direct durable storage primitive; returned values/state are owned by its consumer.,imports=../scripts/smoothScroll; effects=no direct I/O token identified; route_literals=none,"Website distribution; browser viewport, reduced-motion, marketing asset, and deployment-route differences apply.","Import apps/website/src/composables/scrollLock.ts; exercise lockScroll and each exported member with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=lockScroll, unlockScroll; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",3c48d6715c8ca013c6c4d4b0bb671c855e3a74e5669535aedaa32d40afbdbd3d
COMFY-FRONTMOD-3F9FCB1BE9B5,ComfyUI-Frontend website,assets-specialized-media,apps/website/src/composables/useBannerImage.ts,useBannerImage,useBannerImage,frontend functional module,functional-capability,cloud/paid,cloud/paid,test-backed,high,apps/website/src/composables/useBannerImage.ts:11; sha256=77e6b79f9ca1ecb13d9db4fa45bcbc27ea9edabf0c04d3055729aa279ef69726,apps/website/src/composables/useBannerImage.test.ts,COMFY-CLOUD-007,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,Workflow author editing or inspecting media/assets,"The actor invokes useBannerImage, dispatches one of its named transitions, or consumes its reactive state from apps/website/src/composables/useBannerImage.ts.",broad anchor=COMFY-CLOUD-007; dependencies=vue; availability=cloud/paid,"export declarations=export function useBannerImage({ bannerUrl, iconUrl }: UseBannerImageInput) {; flags/guards=isImageError",useBannerImage shall provide banner image behavior; its independently testable contract exposes useBannerImage. exports=useBannerImage; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.,"state primitives=ref(, computed(; async/lifetime primitives=none; The caller must reject stale completions and dispose watchers/listeners/tasks at the same source-defined lifecycle boundary.","useBannerImage declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",useBannerImage declares no direct durable storage primitive; returned values/state are owned by its consumer.,imports=vue; effects=no direct I/O token identified; route_literals=/assets/images/fallback-gradient-avatar.svg,"Website distribution; browser viewport, reduced-motion, marketing asset, and deployment-route differences apply.","Import apps/website/src/composables/useBannerImage.ts; exercise useBannerImage and each exported member with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=useBannerImage; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",77e6b79f9ca1ecb13d9db4fa45bcbc27ea9edabf0c04d3055729aa279ef69726
COMFY-FRONTMOD-95BBBBDE8BD2,ComfyUI-Frontend website,website-interaction,apps/website/src/composables/useCurrentPath.ts,useCurrentPath,"useCurrentPath, isHrefActive",frontend functional module,functional-capability,cloud/paid,cloud/paid,test-backed,high,apps/website/src/composables/useCurrentPath.ts:3; sha256=ba9d7a50c00efdbd33480d8468daee689e953b1c1b718d408108fa0dc7b1c891,apps/website/src/composables/useCurrentPath.test.ts,COMFY-CLOUD-007,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,Website visitor,"The actor invokes useCurrentPath, dispatches one of its named transitions, or consumes its reactive state from apps/website/src/composables/useCurrentPath.ts.",broad anchor=COMFY-CLOUD-007; dependencies=vue; availability=cloud/paid,"export declarations=export function useCurrentPath() {; export function isHrefActive(href: string, currentPath: string): boolean {; flags/guards=isHrefActive","useCurrentPath shall provide current path behavior; its independently testable contract exposes useCurrentPath, isHrefActive; named transitions update. exports=useCurrentPath, isHrefActive; actions=update; store_ids=none; effects=browser navigation, event listener registration, event listener removal.",state primitives=ref(; async/lifetime primitives=onMounted; The caller must reject stale completions and dispose watchers/listeners/tasks at the same source-defined lifecycle boundary.,"useCurrentPath declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",useCurrentPath declares no direct durable storage primitive; returned values/state are owned by its consumer.,"imports=vue; effects=browser navigation, event listener registration, event listener removal; route_literals=none","Website distribution; browser viewport, reduced-motion, marketing asset, and deployment-route differences apply.","Import apps/website/src/composables/useCurrentPath.ts; exercise useCurrentPath and update with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=useCurrentPath, isHrefActive; actions=update; store_ids=none; effects=browser navigation, event listener registration, event listener removal.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",ba9d7a50c00efdbd33480d8468daee689e953b1c1b718d408108fa0dc7b1c891
COMFY-FRONTMOD-BE35AD3FD015,ComfyUI-Frontend website,website-interaction,apps/website/src/composables/useDownloadUrl.ts,useDownloadUrl,"downloadUrls, Platform, useDownloadUrl",frontend functional module,functional-capability,cloud/paid,cloud/paid,code-inferred,medium,apps/website/src/composables/useDownloadUrl.ts:25; sha256=fb0c1580e75356ed11442c94a3ded96bf498d8169f9d2be3f125031b6e1fc6f8,No same-module .test.ts or .spec.ts file was located; behavior is statically inferred.,COMFY-CLOUD-007,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,Website visitor,"The actor invokes useDownloadUrl, dispatches one of its named transitions, or consumes its reactive state from apps/website/src/composables/useDownloadUrl.ts.","broad anchor=COMFY-CLOUD-007; dependencies=vue, @/config/routes; availability=cloud/paid","export declarations=export const downloadUrls = {; export type Platform = 'windows' | 'mac'; export function useDownloadUrl() {; flags/guards=isMobile, isMobileUa","useDownloadUrl shall provide download url behavior; its independently testable contract exposes downloadUrls, Platform, useDownloadUrl. exports=downloadUrls, Platform, useDownloadUrl; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.","state primitives=ref(, computed(; async/lifetime primitives=onMounted; The caller must reject stale completions and dispose watchers/listeners/tasks at the same source-defined lifecycle boundary.","useDownloadUrl declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",useDownloadUrl declares no direct durable storage primitive; returned values/state are owned by its consumer.,"imports=vue, @/config/routes; effects=no direct I/O token identified; route_literals=none","Website distribution; browser viewport, reduced-motion, marketing asset, and deployment-route differences apply.","Import apps/website/src/composables/useDownloadUrl.ts; exercise useDownloadUrl and each exported member with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=downloadUrls, Platform, useDownloadUrl; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",fb0c1580e75356ed11442c94a3ded96bf498d8169f9d2be3f125031b6e1fc6f8
COMFY-FRONTMOD-B2CEE5534C45,ComfyUI-Frontend website,website-interaction,apps/website/src/composables/useFilteredPacks.ts,useFilteredPacks,"PackSortMode, useFilteredPacks",frontend functional module,functional-capability,cloud/paid,cloud/paid,test-backed,high,apps/website/src/composables/useFilteredPacks.ts:27; sha256=efbcb6d545aebb12dfe7527792c0141b9636ba9c2af96c69c9bb7359f3b6738c,apps/website/src/composables/useFilteredPacks.test.ts,COMFY-CLOUD-007,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,Website visitor,"The actor invokes useFilteredPacks, dispatches one of its named transitions, or consumes its reactive state from apps/website/src/composables/useFilteredPacks.ts.","broad anchor=COMFY-CLOUD-007; dependencies=vue, ../data/cloudNodes; availability=cloud/paid",export declarations=export type PackSortMode = 'downloads' | 'mostNodes' | 'az' | 'recentlyUpdated'; export function useFilteredPacks(input: UseFilteredPacksInput) {; flags/guards=isNaN,"useFilteredPacks shall provide filtered packs behavior; its independently testable contract exposes PackSortMode, useFilteredPacks. exports=PackSortMode, useFilteredPacks; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.","useFilteredPacks is synchronous at this module boundary; repeated calls are independently testable and the module declares no watcher, timer, subscription, or asynchronous owner.","useFilteredPacks declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",useFilteredPacks declares no direct durable storage primitive; returned values/state are owned by its consumer.,"imports=vue, ../data/cloudNodes; effects=no direct I/O token identified; route_literals=none","Website distribution; browser viewport, reduced-motion, marketing asset, and deployment-route differences apply.","Import apps/website/src/composables/useFilteredPacks.ts; exercise useFilteredPacks and each exported member with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=PackSortMode, useFilteredPacks; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",efbcb6d545aebb12dfe7527792c0141b9636ba9c2af96c69c9bb7359f3b6738c
COMFY-FRONTMOD-652BD1A55D1E,ComfyUI-Frontend website,website-interaction,apps/website/src/composables/useFrameScrub.ts,useFrameScrub,useFrameScrub,frontend functional module,functional-capability,cloud/paid,cloud/paid,code-inferred,medium,apps/website/src/composables/useFrameScrub.ts:27; sha256=40c19a78274f0e87d8b9d87d3c62e100b292040d9f691975d0eaa8a818fe1703,No same-module .test.ts or .spec.ts file was located; behavior is statically inferred.,COMFY-CLOUD-007,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,Website visitor,"The actor invokes useFrameScrub, dispatches one of its named transitions, or consumes its reactive state from apps/website/src/composables/useFrameScrub.ts.","broad anchor=COMFY-CLOUD-007; dependencies=vue, ../scripts/gsapSetup, ./useReducedMotion; availability=cloud/paid",export declarations=export function useFrameScrub(; flags/guards=no statically named feature guard,useFrameScrub shall provide frame scrub behavior; its independently testable contract exposes useFrameScrub; named transitions loadFrames. exports=useFrameScrub; actions=loadFrames; store_ids=none; effects=Canvas2D rendering.,"state primitives=plain TypeScript values; async/lifetime primitives=async, Promise, await, onMounted, onUnmounted; The caller must reject stale completions and dispose watchers/listeners/tasks at the same source-defined lifecycle boundary.","useFrameScrub declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",useFrameScrub declares no direct durable storage primitive; returned values/state are owned by its consumer.,"imports=vue, ../scripts/gsapSetup, ./useReducedMotion; effects=Canvas2D rendering; route_literals=none","Website distribution; browser viewport, reduced-motion, marketing asset, and deployment-route differences apply.","Import apps/website/src/composables/useFrameScrub.ts; exercise useFrameScrub and loadFrames with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=useFrameScrub; actions=loadFrames; store_ids=none; effects=Canvas2D rendering.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",40c19a78274f0e87d8b9d87d3c62e100b292040d9f691975d0eaa8a818fe1703
COMFY-FRONTMOD-1FBC6BE72FE8,ComfyUI-Frontend website,website-interaction,apps/website/src/composables/useHeroAnimation.ts,useHeroAnimation,useHeroAnimation,frontend functional module,functional-capability,cloud/paid,cloud/paid,code-inferred,medium,apps/website/src/composables/useHeroAnimation.ts:7; sha256=21f7812c8cdb5e4b3913b10ce4e2df5f3925a45abf401b149c2b8495c7a03f5b,No same-module .test.ts or .spec.ts file was located; behavior is statically inferred.,COMFY-CLOUD-007,normalized production/cloud/paid/platform-specific .ts in composable(s)/store(s)/service(s); own IDs removed; only primary broad anchor remains; exact source path absent from every other frontend catalog,Website visitor,"The actor invokes useHeroAnimation, dispatches one of its named transitions, or consumes its reactive state from apps/website/src/composables/useHeroAnimation.ts.","broad anchor=COMFY-CLOUD-007; dependencies=vue, ../scripts/gsapSetup, ./useReducedMotion; availability=cloud/paid",export declarations=export function useHeroAnimation(refs: {; flags/guards=no statically named feature guard,useHeroAnimation shall provide hero animation behavior; its independently testable contract exposes useHeroAnimation. exports=useHeroAnimation; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.,"state primitives=plain TypeScript values; async/lifetime primitives=onMounted, onUnmounted; The caller must reject stale completions and dispose watchers/listeners/tasks at the same source-defined lifecycle boundary.","useHeroAnimation declares no local catch/retry/cancel primitive; thrown dependency or validation failures propagate to its cited consumer, which owns visible recovery and must not commit a partial transition.",useHeroAnimation declares no direct durable storage primitive; returned values/state are owned by its consumer.,"imports=vue, ../scripts/gsapSetup, ./useReducedMotion; effects=no direct I/O token identified; route_literals=none","Website distribution; browser viewport, reduced-motion, marketing asset, and deployment-route differences apply.","Import apps/website/src/composables/useHeroAnimation.ts; exercise useHeroAnimation and each exported member with default, empty, boundary, invalid, rejected-dependency, duplicate, stale-completion, cleanup, and applicable cancellation/retry fixtures; assert exports=useHeroAnimation; actions=no separately named action helper; store_ids=none; effects=returned values or reactive state only.","Not infrastructure-only: this module owns the named independently observable state, interaction, or service transition.",21f7812c8cdb5e4b3913b10ce4e2df5f3925a45abf401b149c2b8495c7a03f5b
