feature_id,name,claim,source_file,evidence_level,availability,corroboration,target_status,parity_decision
COMFY-CLI-DOC-350A0AA3A0DE,README command overview,Most listed install/launch/node/model/generate/manager behavior is corroborated by executable registrations.,README.md,code-inferred,active,Executable source/test referenced in the claim.,missing,Use executable behavior as authority and retain this document as supporting context only.
COMFY-CLI-DOC-D985D4C18C0C,beta comfy-lock schema,Field-level comfy-lock.yaml schema is labelled WIP; code reads/writes comfy.lock.yaml but does not enforce the documented field schema or spelling.,README.md,documented-only,experimental,No executable corroboration for this independent claim.,missing,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
COMFY-CLI-DOC-66BC783DE00B,development command authoring,Contributor process for adding Typer commands and tests.,DEV_README.md,documented-only,developer-only,No executable corroboration for this independent claim.,deferred,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
COMFY-CLI-DOC-2065AEAE0AD5,.comfyignore packaging,Packaging rules are corroborated by custom-node pack code and tests.,DEV_README.md,test-backed,active,Executable source/test referenced in the claim.,missing,Use executable behavior as authority and retain this document as supporting context only.
COMFY-CLI-DOC-49CF414AB9BE,uv-compile PRD,"Seven commands, tri-state override, standalone uv-sync, and Manager minimum are corroborated by code/tests.",docs/PRD-uv-compile.md,test-backed,conditional,Executable source/test referenced in the claim.,missing,Use executable behavior as authority and retain this document as supporting context only.
COMFY-CLI-DOC-2751951E2363,uv-compile design,Pass-through to cm-cli and config precedence are corroborated by code/tests.,docs/DESIGN-uv-compile.md,test-backed,conditional,Executable source/test referenced in the claim.,missing,Use executable behavior as authority and retain this document as supporting context only.
COMFY-CLI-DOC-6B7FE8F0DABC,E2E guide,Opt-in install/launch/node/model/run scenarios correspond to test code but were not run here.,docs/TESTING-e2e.md,test-backed,developer-only,Executable source/test referenced in the claim.,deferred,Use executable behavior as authority and retain this document as supporting context only.
COMFY-CLI-DOC-75581441A3AD,JSON/NDJSON contract,Envelope semantics are code/test-backed; the document names converted/prompt_preview events omitted from run_event.json.,docs/json-output.md,test-backed,active,Executable source/test referenced in the claim.,missing,Use executable behavior as authority and retain this document as supporting context only.
COMFY-CLI-DOC-831072CF2FEF,Keyframe Relay technique,A claimed built cloud pipeline and creative result has no fixture/artifact in this source snapshot; retain as documented-only.,docs/superpowers/specs/2026-06-14-keyframe-relay-video-design.md,documented-only,cloud/paid,No executable corroboration for this independent claim.,deferred,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
COMFY-CLI-DOC-A052993877C2,comfy driver skill,"Agent operating guidance; individual CLI commands are corroborated, creative/domain recommendations are documentation.",comfy_cli/skills/comfy/SKILL.md,documented-only,developer-only,No executable corroboration for this independent claim.,deferred,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
COMFY-CLI-DOC-074F5AB2F94A,fragment skill,Fragment format/commands are corroborated; starter pattern recommendations are documentation.,comfy_cli/skills/comfy-fragments/SKILL.md,documented-only,developer-only,No executable corroboration for this independent claim.,deferred,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
COMFY-CLI-DOC-58E28A24B871,debug skill,"Error-code decision guidance; codes are corroborated, operational advice is documentation.",comfy_cli/skills/comfy-debug/SKILL.md,documented-only,developer-only,No executable corroboration for this independent claim.,deferred,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
COMFY-CLI-DOC-73F51D0BE696,relay skill,Chat/media-presentation guidance with no runtime behavior.,comfy_cli/skills/comfy-relay/SKILL.md,documented-only,developer-only,No executable corroboration for this independent claim.,deferred,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
COMFY-CLI-DOC-E958C3176DCE,director skill,Narrative/video-production guidance with no runtime behavior.,comfy_cli/skills/comfy-director/SKILL.md,documented-only,developer-only,No executable corroboration for this independent claim.,deferred,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
COMFY-CLI-DOC-CD675B2E7895,bundled-skill count drift,Module prose says four bundled skills while BUNDLED_SKILLS and package data contain five; executable registry wins.,comfy_cli/skills/__init__.py,code-inferred,deprecated/dead,Executable source/test referenced in the claim.,missing,Use executable behavior as authority and retain this document as supporting context only.
COMFY-CLI-DOC-243C8A237193,orphan query help,"HELP_EXAMPLES and run-cli mention comfy query, but no command is registered.",comfy_cli/help_json.py,documented-only,deprecated/dead,No executable corroboration for this independent claim.,missing,Do not elevate this documentation claim to a native compatibility promise without executable-or-oracle conformance evidence.
