feature_id,product,domain,name,classification,availability,evidence_level,confidence,source_file,symbol,test,documentation,runtime_observation,actor,trigger,preconditions,inputs_defaults,permissions_flags,success_behavior,interaction_accessibility,state_concurrency,error_recovery,persistence_serialization,interfaces_side_effects,platform_localization_variants,zed_status,zed_evidence,parity_gap,zed_acceptance,automated_validation,manual_validation,open_questions_assumptions
COMFY-A11Y-001,ComfyUI-Frontend,a11y,"Keyboard-only operation, focus routing, Escape handling, dialog focus, and text-input reservation",coverage-anchor,active,code-inferred,high,src/platform/keybindings/keybindingService.ts,domain coverage anchor,No direct automated test was located; validate from the cited executable source.,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, invoke, or otherwise exercise the cataloged capability.",The applicable distribution and feature gate are enabled and required source data is available.,No additional input/default beyond the cited source contract.,No additional permission or feature flag was identified beyond the recorded availability.,"Keyboard-only operation, focus routing, Escape handling, dialog focus, and text-input reservation","Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.","Synchronous unless the cited source or test establishes asynchronous, queued, or concurrent behavior.",Use shared visible error handling; no additional capability-specific recovery path was identified.,"Not persisted unless the cited source or test records serialization, migration, or restart state.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,partial,crates/zed/src/main.rs constructs GPUI with Application::with_platform without an accessibility environment gate; crates/comfy_ui/src/graph_render.rs exposes the native graph application/key context and semantic controls; VAL-GPUI-012/013 validate the bootstrap.,"The production accessibility conflict is resolved for the application bootstrap and this native graph foundation row; later route, panel, dialog, settings, execution, media, Desktop, localization, and platform screen-reader behavior remains assigned to its executable tasks and VAL-GPUI-011.","Zed exposes behavior equivalent to: Keyboard-only operation, focus routing, Escape handling, dialog focus, and text-input reservation.",See individually cataloged browser tests and registry rows in this pack.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-A11Y-002,ComfyUI-Frontend,a11y,"Accessible names, roles, states, tooltips, and reduced-animation behavior",coverage-anchor,active,code-inferred,high,src/components,domain coverage anchor,No direct automated test was located; validate from the cited executable source.,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, invoke, or otherwise exercise the cataloged capability.",The applicable distribution and feature gate are enabled and required source data is available.,No additional input/default beyond the cited source contract.,No additional permission or feature flag was identified beyond the recorded availability.,"Accessible names, roles, states, tooltips, and reduced-animation behavior","Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.","Synchronous unless the cited source or test establishes asynchronous, queued, or concurrent behavior.",Use shared visible error handling; no additional capability-specific recovery path was identified.,"Not persisted unless the cited source or test records serialization, migration, or restart state.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,partial,crates/zed/src/main.rs constructs GPUI with Application::with_platform without an accessibility environment gate; crates/comfy_ui/src/graph_render.rs exposes the native graph application/key context and semantic controls; VAL-GPUI-012/013 validate the bootstrap.,"The production accessibility conflict is resolved for the application bootstrap and this native graph foundation row; later route, panel, dialog, settings, execution, media, Desktop, localization, and platform screen-reader behavior remains assigned to its executable tasks and VAL-GPUI-011.","Zed exposes behavior equivalent to: Accessible names, roles, states, tooltips, and reduced-animation behavior.",See individually cataloged browser tests and registry rows in this pack.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-A11Y-003,ComfyUI-Frontend,a11y,Default keybinding Escape → Comfy.Graph.ExitSubgraph,keybinding,active,test-backed,high,src/platform/keybindings/defaults.ts:213,Comfy.Graph.ExitSubgraph,browser_tests/tests/defaultKeybindings.spec.ts; browser_tests/tests/keybindings.spec.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,Press Escape while the global scope is eligible.,No higher-priority text input or dialog reservation consumes the chord.,Default combo=Escape; target=global.,No additional permission or feature flag was identified beyond the recorded availability.,Dispatch Comfy.Graph.ExitSubgraph exactly once.,"Honor editable controls, dialog focus, Escape precedence, target element scope, browser-reserved chords, and user overrides.","Synchronous unless the cited source or test establishes asynchronous, queued, or concurrent behavior.",Use shared visible error handling; no additional capability-specific recovery path was identified.,"User additions, removals, and current preset are persisted as settings.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,partial,crates/zed/src/main.rs constructs GPUI with Application::with_platform without an accessibility environment gate; crates/comfy_ui/src/graph_render.rs exposes the native graph application/key context and semantic controls; VAL-GPUI-012/013 validate the bootstrap.,"The production accessibility conflict is resolved for the application bootstrap and this native graph foundation row; later route, panel, dialog, settings, execution, media, Desktop, localization, and platform screen-reader behavior remains assigned to its executable tasks and VAL-GPUI-011.","In the same focus scope, Escape dispatches Comfy.Graph.ExitSubgraph; conflicting text/browser contexts retain native behavior.",Port defaultKeybindings.spec.ts and keybinding service focus/dialog tests.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-A11Y-004,ComfyUI-Frontend,a11y,Default keybinding Delete → Comfy.Canvas.DeleteSelectedItems,keybinding,active,test-backed,high,src/platform/keybindings/defaults.ts:236,Comfy.Canvas.DeleteSelectedItems,browser_tests/tests/defaultKeybindings.spec.ts; browser_tests/tests/keybindings.spec.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,Press Delete while the graph-canvas-container scope is eligible.,No higher-priority text input or dialog reservation consumes the chord.,Default combo=Delete; target=graph-canvas-container.,No additional permission or feature flag was identified beyond the recorded availability.,Dispatch Comfy.Canvas.DeleteSelectedItems exactly once.,"Honor editable controls, dialog focus, Escape precedence, target element scope, browser-reserved chords, and user overrides.","Synchronous unless the cited source or test establishes asynchronous, queued, or concurrent behavior.",Use shared visible error handling; no additional capability-specific recovery path was identified.,"User additions, removals, and current preset are persisted as settings.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,partial,crates/zed/src/main.rs constructs GPUI with Application::with_platform without an accessibility environment gate; crates/comfy_ui/src/graph_render.rs exposes the native graph application/key context and semantic controls; VAL-GPUI-012/013 validate the bootstrap.,"The production accessibility conflict is resolved for the application bootstrap and this native graph foundation row; later route, panel, dialog, settings, execution, media, Desktop, localization, and platform screen-reader behavior remains assigned to its executable tasks and VAL-GPUI-011.","In the same focus scope, Delete dispatches Comfy.Canvas.DeleteSelectedItems; conflicting text/browser contexts retain native behavior.",Port defaultKeybindings.spec.ts and keybinding service focus/dialog tests.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-A11Y-005,ComfyUI-Frontend,a11y,Default keybinding Backspace → Comfy.Canvas.DeleteSelectedItems,keybinding,active,test-backed,high,src/platform/keybindings/defaults.ts:243,Comfy.Canvas.DeleteSelectedItems,browser_tests/tests/defaultKeybindings.spec.ts; browser_tests/tests/keybindings.spec.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,Press Backspace while the graph-canvas-container scope is eligible.,No higher-priority text input or dialog reservation consumes the chord.,Default combo=Backspace; target=graph-canvas-container.,No additional permission or feature flag was identified beyond the recorded availability.,Dispatch Comfy.Canvas.DeleteSelectedItems exactly once.,"Honor editable controls, dialog focus, Escape precedence, target element scope, browser-reserved chords, and user overrides.","Synchronous unless the cited source or test establishes asynchronous, queued, or concurrent behavior.",Use shared visible error handling; no additional capability-specific recovery path was identified.,"User additions, removals, and current preset are persisted as settings.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,partial,crates/zed/src/main.rs constructs GPUI with Application::with_platform without an accessibility environment gate; crates/comfy_ui/src/graph_render.rs exposes the native graph application/key context and semantic controls; VAL-GPUI-012/013 validate the bootstrap.,"The production accessibility conflict is resolved for the application bootstrap and this native graph foundation row; later route, panel, dialog, settings, execution, media, Desktop, localization, and platform screen-reader behavior remains assigned to its executable tasks and VAL-GPUI-011.","In the same focus scope, Backspace dispatches Comfy.Canvas.DeleteSelectedItems; conflicting text/browser contexts retain native behavior.",Port defaultKeybindings.spec.ts and keybinding service focus/dialog tests.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-A11Y-006,ComfyUI-Frontend,a11y,canvasModeSelector.spec: visible in canvas toolbar with ARIA markup,test-backed behavior,active,test-backed,high,browser_tests/tests/canvasModeSelector.spec.ts:35,test('visible in canvas toolbar with ARIA markup'),browser_tests/tests/canvasModeSelector.spec.ts:35,No dedicated documentation claim is required; executable source and tests are authoritative.,Not rerun; behavior is explicitly asserted by the existing Playwright suite.,user,Perform the interaction named by the test using its fixture.,"Use the deterministic mock server, settings, workflow, and media fixtures declared by the test.",No additional input/default beyond the cited source contract.,No additional permission or feature flag was identified beyond the recorded availability.,visible in canvas toolbar with ARIA markup,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Use the test assertions for intermediate and terminal state; preserve async waiting semantics.,"Where the case names an invalid, error, missing, retry, or reconnect state, preserve that asserted surface.","Where the case reloads, switches workflows, or inspects serialized state, preserve that assertion.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `canvasModeSelector.spec: visible in canvas toolbar with ARIA markup`.,"With the same deterministic fixture, Zed passes the behavioral assertion: visible in canvas toolbar with ARIA markup.",Adapt browser_tests/tests/canvasModeSelector.spec.ts:35 to the GPUI/protocol parity harness.,Replay visible in canvas toolbar with ARIA markup with pointer and keyboard where applicable.,Test source was statically inventoried; local browser execution was unavailable because dependencies are not installed.
COMFY-A11Y-007,ComfyUI-Frontend,a11y,canvasModeSelector.spec: aria-checked marks Select active on default load,test-backed behavior,active,test-backed,high,browser_tests/tests/canvasModeSelector.spec.ts:138,test('aria-checked marks Select active on default load'),browser_tests/tests/canvasModeSelector.spec.ts:138,No dedicated documentation claim is required; executable source and tests are authoritative.,Not rerun; behavior is explicitly asserted by the existing Playwright suite.,user,Perform the interaction named by the test using its fixture.,"Use the deterministic mock server, settings, workflow, and media fixtures declared by the test.",No additional input/default beyond the cited source contract.,No additional permission or feature flag was identified beyond the recorded availability.,aria-checked marks Select active on default load,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Use the test assertions for intermediate and terminal state; preserve async waiting semantics.,"Where the case names an invalid, error, missing, retry, or reconnect state, preserve that asserted surface.","Where the case reloads, switches workflows, or inspects serialized state, preserve that assertion.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `canvasModeSelector.spec: aria-checked marks Select active on default load`.,"With the same deterministic fixture, Zed passes the behavioral assertion: aria-checked marks Select active on default load.",Adapt browser_tests/tests/canvasModeSelector.spec.ts:138 to the GPUI/protocol parity harness.,Replay aria-checked marks Select active on default load with pointer and keyboard where applicable.,Test source was statically inventoried; local browser execution was unavailable because dependencies are not installed.
COMFY-A11Y-008,ComfyUI-Frontend,a11y,canvasModeSelector.spec: ArrowDown moves focus from Select to Hand,test-backed behavior,active,test-backed,high,browser_tests/tests/canvasModeSelector.spec.ts:173,test('ArrowDown moves focus from Select to Hand'),browser_tests/tests/canvasModeSelector.spec.ts:173,No dedicated documentation claim is required; executable source and tests are authoritative.,Not rerun; behavior is explicitly asserted by the existing Playwright suite.,user,Perform the interaction named by the test using its fixture.,"Use the deterministic mock server, settings, workflow, and media fixtures declared by the test.",No additional input/default beyond the cited source contract.,No additional permission or feature flag was identified beyond the recorded availability.,ArrowDown moves focus from Select to Hand,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Use the test assertions for intermediate and terminal state; preserve async waiting semantics.,"Where the case names an invalid, error, missing, retry, or reconnect state, preserve that asserted surface.","Where the case reloads, switches workflows, or inspects serialized state, preserve that assertion.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `canvasModeSelector.spec: ArrowDown moves focus from Select to Hand`.,"With the same deterministic fixture, Zed passes the behavioral assertion: ArrowDown moves focus from Select to Hand.",Adapt browser_tests/tests/canvasModeSelector.spec.ts:173 to the GPUI/protocol parity harness.,Replay ArrowDown moves focus from Select to Hand with pointer and keyboard where applicable.,Test source was statically inventoried; local browser execution was unavailable because dependencies are not installed.
COMFY-A11Y-009,ComfyUI-Frontend,a11y,canvasModeSelector.spec: Escape closes popover and restores focus to trigger,test-backed behavior,active,test-backed,high,browser_tests/tests/canvasModeSelector.spec.ts:183,test('Escape closes popover and restores focus to trigger'),browser_tests/tests/canvasModeSelector.spec.ts:183,No dedicated documentation claim is required; executable source and tests are authoritative.,Not rerun; behavior is explicitly asserted by the existing Playwright suite.,user,Perform the interaction named by the test using its fixture.,"Use the deterministic mock server, settings, workflow, and media fixtures declared by the test.",No additional input/default beyond the cited source contract.,No additional permission or feature flag was identified beyond the recorded availability.,Escape closes popover and restores focus to trigger,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Use the test assertions for intermediate and terminal state; preserve async waiting semantics.,"Where the case names an invalid, error, missing, retry, or reconnect state, preserve that asserted surface.","Where the case reloads, switches workflows, or inspects serialized state, preserve that assertion.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `canvasModeSelector.spec: Escape closes popover and restores focus to trigger`.,"With the same deterministic fixture, Zed passes the behavioral assertion: Escape closes popover and restores focus to trigger.",Adapt browser_tests/tests/canvasModeSelector.spec.ts:183 to the GPUI/protocol parity harness.,Replay Escape closes popover and restores focus to trigger with pointer and keyboard where applicable.,Test source was statically inventoried; local browser execution was unavailable because dependencies are not installed.
COMFY-A11Y-010,ComfyUI-Frontend,a11y,"canvasModeSelector.spec: auto-focuses the checked ""${mode.label}"" item on open",test-backed behavior,active,test-backed,high,browser_tests/tests/canvasModeSelector.spec.ts:203,"test('auto-focuses the checked ""${mode.label}"" item on open')",browser_tests/tests/canvasModeSelector.spec.ts:203,No dedicated documentation claim is required; executable source and tests are authoritative.,Not rerun; behavior is explicitly asserted by the existing Playwright suite.,user,Perform the interaction named by the test using its fixture.,"Use the deterministic mock server, settings, workflow, and media fixtures declared by the test.",No additional input/default beyond the cited source contract.,No additional permission or feature flag was identified beyond the recorded availability.,"auto-focuses the checked ""${mode.label}"" item on open","Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Use the test assertions for intermediate and terminal state; preserve async waiting semantics.,"Where the case names an invalid, error, missing, retry, or reconnect state, preserve that asserted surface.","Where the case reloads, switches workflows, or inspects serialized state, preserve that assertion.",No additional external interface or side effect was identified beyond the named behavior.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `canvasModeSelector.spec: auto-focuses the checked ""${mode.label}"" item on open`.","With the same deterministic fixture, Zed passes the behavioral assertion: auto-focuses the checked ""${mode.label}"" item on open.",Adapt browser_tests/tests/canvasModeSelector.spec.ts:203 to the GPUI/protocol parity harness.,"Replay auto-focuses the checked ""${mode.label}"" item on open with pointer and keyboard where applicable.",Test source was statically inventoried; local browser execution was unavailable because dependencies are not installed.
