feature_id,code,meaning,hint,source_file,line,evidence_level,tests,target_status,parity_decision
COMFY-CLI-ERROR-8B47045EB7B8,cancelled,User pressed Ctrl-C; in-flight work was torn down.,,comfy_cli/error_codes.py,41,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-3729E1962054,not_in_workspace,Resolved no workspace where one was required (e.g. `comfy which`).,"run `comfy install`, or pass `--workspace`",comfy_cli/error_codes.py,45,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-1C19B8E3CE1D,workflow_not_found,The `--workflow` path doesn't exist or isn't readable.,check the path,comfy_cli/error_codes.py,51,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-2E7496D26D70,workflow_invalid_json,The file at `--workflow` failed JSON parsing.,re-export the workflow from ComfyUI (File > Export (API)),comfy_cli/error_codes.py,56,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-751BA9A3DFF7,workflow_not_api_format,Loaded JSON isn't API-format and no converter is available.,use ComfyUI's `File > Export (API)`,comfy_cli/error_codes.py,61,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-CD43324CE087,workflow_read_error,Workflow file exists but isn't readable as UTF-8 text (OSError / UnicodeDecodeError).,check file permissions and encoding,comfy_cli/error_codes.py,66,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-630E8A7109C1,workflow_write_error,"`workflow get --out` could not write the fetched workflow to disk (OSError: permissions, missing parent dir, full disk, invalid path).",check the --out path is writable and the disk has space,comfy_cli/error_codes.py,71,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-838D8AB5FAD1,workflow_too_large,"A local ComfyUI `/userdata` response exceeded the in-memory read cap, so the CLI refused to truncate it into a corrupt/partial file. `details.limit_bytes` carries the cap.",the saved workflow is unexpectedly large; inspect it directly on the server,comfy_cli/error_codes.py,77,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-59D9037DD69D,workflow_content_not_json,"`workflow get` fetched content that isn't parseable JSON (non-UTF-8 bytes or a non-JSON body such as an HTML error page); the raw bytes were still written. Surfaced in `data.warnings[]`, not as an error envelope, so the command still succeeds.","verify the id points at a real saved workflow, not a stray file, on the local server",comfy_cli/error_codes.py,83,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-71C61A274EFE,server_not_running,Local ComfyUI server isn't reachable on host:port.,run `comfy launch`,comfy_cli/error_codes.py,91,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-8A499EF877E8,connection_error,Could not connect to the ComfyUI server.,check the server is running and the host:port is correct,comfy_cli/error_codes.py,96,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
