source_file,classification,feature_ids,primary_anchor,reason,extension,bytes
.agents/checks/accessibility.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2011
.agents/checks/adr-compliance.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,6429
.agents/checks/api-contract.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2586
.agents/checks/architecture-reviewer.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,1536
.agents/checks/bug-hunter.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,1763
.agents/checks/coderabbit.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,1294
.agents/checks/complexity.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2012
.agents/checks/ddd-structure.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,4674
.agents/checks/dep-secrets-scan.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2101
.agents/checks/doc-freshness.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2194
.agents/checks/dx-readability.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,1444
.agents/checks/ecosystem-compat.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2685
.agents/checks/error-handling.md,documented-only,COMFY-UI-002,COMFY-UI-002,Documentation or repository guidance; not executable evidence by itself.,.md,2603
.agents/checks/eslint.strict.config.js,infrastructure-only,COMFY-UI-005,COMFY-UI-005,"Build, CI, release, development, or agent infrastructure.",.js,1924
.agents/checks/import-graph.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,3123
.agents/checks/memory-leak.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,1995
.agents/checks/pattern-compliance.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2516
.agents/checks/performance-profiler.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2266
.agents/checks/playwright-e2e.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,5844
.agents/checks/regression-risk.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2119
.agents/checks/security-auditor.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,1765
.agents/checks/semgrep-sast.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,1862
.agents/checks/sonarjs-lint.md,documented-only,COMFY-UI-005,COMFY-UI-005,Documentation or repository guidance; not executable evidence by itself.,.md,2435
