feature_id,event_name,event_kind,classification,availability,evidence_level,source_evidence,payload_evidence,consent_behavior,redaction_validation,rate_limit_dedup,provider_side_effects,derived_wire_names,notes
COMFY-DESKTOP-TELEMETRY-F697CED2EF26,app:relaunch,Electron IPC lifecycle channel,native IPC event contract,active,code-inferred,"projects/comfy/Comfy-Desktop/src/main/index.ts:751 [ipcMain.handle; ipcMain.handle('app:relaunch', () => {]; projects/comfy/Comfy-Desktop/src/preload/api.ts:195 [ipcRenderer.invoke; relaunchApp: () => ipcRenderer.invoke('app:relaunch'),]","request=none; response=void; main handler cancels IPC operations, destroys all Comfy windows and tray, then calls app.relaunch() and app.quit()",Not telemetry; no consent gate. Renderer access is limited to the context-isolated preload member relaunchApp().,No payload crosses the channel.,Not applicable.,Electron ipcRenderer.invoke -> ipcMain.handle; no analytics provider side effect is implied by this channel.,app:relaunch,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-C60093B4B589,app:user_logged_in,product telemetry event,analytics event contract,cloud/paid,code-inferred,"projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts:767 [capture; capture('app:user_logged_in', { user_id: userId })]",projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts:767 capture second-argument={ user_id: userId },"Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,app:user_logged_in,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-D075A37FABDE,comfy.desktop.action.invoked,product telemetry event,analytics event contract,active,code-inferred,"projects/comfy/Comfy-Desktop/src/main/index.ts:1751 [mainTelemetry.capture; mainTelemetry.capture('comfy.desktop.action.invoked', {]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useComfyUISettings.ts:556 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.invoked', telemetryContext)]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useComfyUISettings.ts:580 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.invoked', telemetryContext)]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:113 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.invoked', {]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:137 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.invoked', {]; projects/comfy/Comfy-Desktop/src/renderer/src/views/DetailModal.vue:367 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.invoked', {]; projects/comfy/Comfy-Desktop/src/renderer/src/views/DetailModal.vue:423 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.invoked', {]","projects/comfy/Comfy-Desktop/src/main/index.ts:1751 mainTelemetry.capture second-argument={ action_id: actionId, installation_id: installationId, source: 'picker' }; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useComfyUISettings.ts:556 emitTelemetryAction second-argument=telemetryContext; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useComfyUISettings.ts:580 emitTelemetryAction second-argument=telemetryContext; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:113 emitTelemetryAction second-argument={ action_id: action.id, ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:137 emitTelemetryAction second-argument={ action_id: action.id, ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/views/DetailModal.vue:367 emitTelemetryAction second-argument={ action_id: mutableAction.id, ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/views/DetailModal.vue:423 emitTelemetryAction second-argument={ action_id: mutableAction.id, ...telemetryContext }","Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,comfy.desktop.action.invoked,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-9FA6D3B35838,comfy.desktop.action.result,product telemetry event,analytics event contract,active,code-inferred,"projects/comfy/Comfy-Desktop/src/renderer/src/composables/useComfyUISettings.ts:591 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useComfyUISettings.ts:611 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:73 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:85 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:105 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:187 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:198 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]; projects/comfy/Comfy-Desktop/src/renderer/src/views/DetailModal.vue:449 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]; projects/comfy/Comfy-Desktop/src/renderer/src/views/DetailModal.vue:463 [emitTelemetryAction; emitTelemetryAction('comfy.desktop.action.result', {]","projects/comfy/Comfy-Desktop/src/renderer/src/composables/useComfyUISettings.ts:591 emitTelemetryAction second-argument={ result: resultValue, ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useComfyUISettings.ts:611 emitTelemetryAction second-argument={ result: 'failed', error_bucket: toErrorBucket(err), ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:73 emitTelemetryAction second-argument={ action_id: action.id, result: 'cancelled', ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:85 emitTelemetryAction second-argument={ action_id: action.id, result: 'cancelled', ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:105 emitTelemetryAction second-argument={ action_id: action.id, result: 'cancelled', ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:187 emitTelemetryAction second-argument={ action_id: action.id, result: resultValue, ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/composables/useListAction.ts:198 emitTelemetryAction second-argument={ action_id: action.id, result: 'failed', error_bucket: toErrorBucket(error), ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/views/DetailModal.vue:449 emitTelemetryAction second-argument={ action_id: mutableAction.id, result: resultValue, ...telemetryContext }; projects/comfy/Comfy-Desktop/src/renderer/src/views/DetailModal.vue:463 emitTelemetryAction second-argument={ action_id: mutableAction.id, result: 'failed', error_bucket: toErrorBucket(error), ...telemetryContext }","Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,comfy.desktop.action.result,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-95718CAB40F6,comfy.desktop.adopt.backup,tracked-step base deriving .start/.end/.error wire events,tracked-step telemetry contract,conditional,code-inferred,"projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1057 [telemetry.trackedStep; await telemetry.trackedStep('comfy.desktop.adopt.backup', {}, async () => {]","projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1057 telemetry.trackedStep second-argument={}; projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts:1086-1112 trackedStep wire expansion: .start=context; .end={...context,duration_ms}; .error={...context,duration_ms,error_bucket,error_message}, with error_message scrubbed then sliced to 500 characters","Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,comfy.desktop.adopt.backup.start; comfy.desktop.adopt.backup.end; comfy.desktop.adopt.backup.error,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-B6F195269D12,comfy.desktop.adopt.carry_settings,tracked-step base deriving .start/.end/.error wire events,tracked-step telemetry contract,conditional,code-inferred,"projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1227 [telemetry.trackedStep; const carry = await telemetry.trackedStep('comfy.desktop.adopt.carry_settings', {}, async () => {]","projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1227 telemetry.trackedStep second-argument={}; projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts:1086-1112 trackedStep wire expansion: .start=context; .end={...context,duration_ms}; .error={...context,duration_ms,error_bucket,error_message}, with error_message scrubbed then sliced to 500 characters","Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,comfy.desktop.adopt.carry_settings.start; comfy.desktop.adopt.carry_settings.end; comfy.desktop.adopt.carry_settings.error,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-7D0D4F7E4B4F,comfy.desktop.adopt.failed,product telemetry event,analytics event contract,conditional,code-inferred,"projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:959 [telemetry.capture; telemetry.capture('comfy.desktop.adopt.failed', {]; projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1020 [telemetry.capture; telemetry.capture('comfy.desktop.adopt.failed', {]","projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:959 telemetry.capture second-argument={ stage: 'detect', error_bucket: 'no-legacy-install' }; projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1020 telemetry.capture second-argument={ stage: currentPhase, error_bucket: telemetry.bucketError(message), error_message: scrubAll(message).slice(0, 500) }","Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,comfy.desktop.adopt.failed,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-32C8749A11BC,comfy.desktop.adopt.register,tracked-step base deriving .start/.end/.error wire events,tracked-step telemetry contract,conditional,code-inferred,"projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1232 [telemetry.trackedStep; const record = await telemetry.trackedStep('comfy.desktop.adopt.register', {}, async () => {]","projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1232 telemetry.trackedStep second-argument={}; projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts:1086-1112 trackedStep wire expansion: .start=context; .end={...context,duration_ms}; .error={...context,duration_ms,error_bucket,error_message}, with error_message scrubbed then sliced to 500 characters","Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,comfy.desktop.adopt.register.start; comfy.desktop.adopt.register.end; comfy.desktop.adopt.register.error,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-447CB7E376AB,comfy.desktop.adopt.requirements,tracked-step base deriving .start/.end/.error wire events,tracked-step telemetry contract,conditional,code-inferred,"projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1189 [telemetry.trackedStep; 'comfy.desktop.adopt.requirements',]","projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:1189 telemetry.trackedStep second-argument={}; projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts:1086-1112 trackedStep wire expansion: .start=context; .end={...context,duration_ms}; .error={...context,duration_ms,error_bucket,error_message}, with error_message scrubbed then sliced to 500 characters","Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,comfy.desktop.adopt.requirements.start; comfy.desktop.adopt.requirements.end; comfy.desktop.adopt.requirements.error,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
COMFY-DESKTOP-TELEMETRY-42176B0D9774,comfy.desktop.adopt.requirements_reconcile,tracked-step base deriving .start/.end/.error wire events,tracked-step telemetry contract,conditional,code-inferred,"projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:921 [telemetry.trackedStep; 'comfy.desktop.adopt.requirements_reconcile',]","projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts:921 telemetry.trackedStep second-argument={ installation_id: existing.id }; projects/comfy/Comfy-Desktop/src/main/lib/telemetry.ts:1086-1112 trackedStep wire expansion: .start=context; .end={...context,duration_ms}; .error={...context,duration_ms,error_bucket,error_message}, with error_message scrubbed then sliced to 500 characters","Requires packaged emission, initialized PostHog client, distinct ID, and granted telemetry consent; denied or undecided states drop it before provider capture.","Every main-process string/string-array property is passed through scrubAll before PostHog capture. Renderer events are scrubbed before IPC; the bridge accepts at most 128 keys/array items, clamps ordinary strings to 2,048 characters, and permits only five named serialized-JSON fields up to 768 KiB.","At most 60 captures per event name per rolling 60 seconds and 5,000 captured events per process; later events are dropped and a bounded warning is attempted.",PostHog only; Datadog RUM rejects names absent from DATADOG_MIRRORED_EVENT_NAMES.,comfy.desktop.adopt.requirements_reconcile.start; comfy.desktop.adopt.requirements_reconcile.end; comfy.desktop.adopt.requirements_reconcile.error,"Static production-source inventory; source dependencies were unavailable, so no provider emission was performed."
