feature_id,entry_kind,name,behavior,availability,source_file,evidence_level,classification,native_surface,replacement_owner,reason,production_javascript
COMFY-FRONTEXT-EXT-037,interface member,name,Unique extension name; duplicate or empty registration throws,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,legacy_identifier_mapping,plugin-manifest-identifier,comfy-parity-extension-host-plugin-adapter,The signed plugin manifest identifier replaces the mutable JavaScript registration name.,prohibited
COMFY-FRONTEXT-EXT-038,interface member,commands,Register extension commands with source attribution,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,command,comfy-parity-frontend-extension-compatibility,Signed declarative command metadata maps to the canonical native command registry without executable script callbacks.,prohibited
COMFY-FRONTEXT-EXT-039,interface member,keybindings,Register extension default keybindings,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,keybinding,comfy-parity-frontend-extension-compatibility,Signed keybinding metadata references an authorized native command and retains canonical key-context ownership.,prohibited
COMFY-FRONTEXT-EXT-040,interface member,menuCommands,Add command groups to menu paths,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,menu,comfy-parity-frontend-extension-compatibility,Signed menu metadata references plugin-owned native commands and cannot install an arbitrary callback.,prohibited
COMFY-FRONTEXT-EXT-041,interface member,settings,Register extension settings after server values load,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,setting,comfy-parity-frontend-extension-compatibility,Signed setting schemas project into the existing SettingsStore-backed UI without owning persistence.,prohibited
COMFY-FRONTEXT-EXT-042,interface member,bottomPanelTabs,Register extension bottom panel tabs and commands,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,bottom-panel,comfy-parity-frontend-extension-compatibility,Signed panel declarations project into the existing workspace panel registry without executable web content.,prohibited
COMFY-FRONTEXT-EXT-043,interface member,aboutPageBadges,Contribute About page badges,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,about-badge,comfy-parity-frontend-extension-compatibility,Signed badge state is bounded declarative GPUI data.,prohibited
COMFY-FRONTEXT-EXT-044,interface member,topbarBadges,Contribute topbar badges,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,topbar-badge,comfy-parity-frontend-extension-compatibility,Signed badge state is bounded declarative GPUI data.,prohibited
COMFY-FRONTEXT-EXT-045,interface member,actionBarButtons,Contribute actionbar buttons,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,action-bar-button,comfy-parity-frontend-extension-compatibility,Signed button metadata may reference only an authorized native command.,prohibited
COMFY-FRONTEXT-EXT-046,interface member,init,Initialize after canvas creation and before node registration,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,lossless_placeholder,,comfy-parity-frontend-extension-compatibility,Imperative initialization callbacks cannot execute; their identity and payload remain available for replacement.,prohibited
