node_identifier,class_name,display_name,category,product,classification,availability,evidence_level,confidence,schema_api,schema_source,inputs,outputs,input_is_list,output_is_list,lazy_inputs,output_node,execution_function,validation,caching,change_detection,execution_blocking,error_behavior,source_file,source_symbol,source_line,test_evidence,registration_evidence,feature_id
AddNoise,AddNoise,AddNoise,model/sampling/noise,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='AddNoise', category='model/sampling/noise', is_experimental=True, inputs=[io.Model.Input('model'), io.Noise.Input('noise'), io.Sigmas.Input('sigmas'), io.Latent.Input('latent_image')], outputs=[io.Latent.Output()])",io.Model.Input:model | io.Noise.Input:noise | io.Sigmas.Input:sigmas | io.Latent.Input:latent_image,io.Latent.Output:,False,[false],False,False,AddNoise.execute (comfy_extras/nodes_custom_sampler.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_custom_sampler.py,AddNoise,1068,,ComfyExtension.get_node_list,COMFY-NODE-0001
AddTextPrefix,AddTextPrefixNode,AddTextPrefix,text,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): if cls.node_id is None: raise NotImplementedError(f'{cls.__name__} must set node_id class variable') is_group = cls._detect_processing_mode() inputs = [io.String.Input('texts', tooltip='List of texts to process.' if is_group else 'Text to process.')] inputs.extend(cls.extra_inputs) return io.Schema(node_id=cls.node_id, display_name=cls.display_name or cls.node_id, category='text', is_experimental=True, is_input_list=is_group, inputs=inputs, outputs=[io.String.Output(display_name='texts', is_output_list=cls.is_output_list, tooltip='Processed texts')])",inputs,io.String.Output:(display_name='texts';is_output_list=cls.is_output_list;tooltip='Processed texts'),is_group,"[""cls.is_output_list""]",False,False,TextProcessingNode.execute (comfy_extras/nodes_dataset.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_dataset.py,AddTextPrefixNode,984,,ComfyExtension.get_node_list,COMFY-NODE-0002
AddTextSuffix,AddTextSuffixNode,AddTextSuffix,text,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): if cls.node_id is None: raise NotImplementedError(f'{cls.__name__} must set node_id class variable') is_group = cls._detect_processing_mode() inputs = [io.String.Input('texts', tooltip='List of texts to process.' if is_group else 'Text to process.')] inputs.extend(cls.extra_inputs) return io.Schema(node_id=cls.node_id, display_name=cls.display_name or cls.node_id, category='text', is_experimental=True, is_input_list=is_group, inputs=inputs, outputs=[io.String.Output(display_name='texts', is_output_list=cls.is_output_list, tooltip='Processed texts')])",inputs,io.String.Output:(display_name='texts';is_output_list=cls.is_output_list;tooltip='Processed texts'),is_group,"[""cls.is_output_list""]",False,False,TextProcessingNode.execute (comfy_extras/nodes_dataset.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_dataset.py,AddTextSuffixNode,999,,ComfyExtension.get_node_list,COMFY-NODE-0003
AdjustBrightness,AdjustBrightnessNode,Adjust Brightness,image/adjustments,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): if cls.node_id is None: raise NotImplementedError(f'{cls.__name__} must set node_id class variable') is_group = cls._detect_processing_mode() output_is_list = cls.is_output_list if cls.is_output_list is not None else is_group inputs = [io.Image.Input('images', tooltip='List of images to process.' if is_group else 'Image to process.')] inputs.extend(cls.extra_inputs) return io.Schema(node_id=cls.node_id, search_aliases=cls.search_aliases, display_name=cls.display_name or cls.node_id, category=cls.category, description=cls.description, is_experimental=True, is_input_list=is_group, inputs=inputs, outputs=[io.Image.Output(display_name='images', is_output_list=output_is_list, tooltip='Processed images')])",inputs,io.Image.Output:(display_name='images';is_output_list=output_is_list;tooltip='Processed images'),is_group,"[""output_is_list""]",False,False,ImageProcessingNode.execute (comfy_extras/nodes_dataset.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_dataset.py,AdjustBrightnessNode,830,,ComfyExtension.get_node_list,COMFY-NODE-0004
AdjustContrast,AdjustContrastNode,Adjust Contrast,image/adjustments,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): if cls.node_id is None: raise NotImplementedError(f'{cls.__name__} must set node_id class variable') is_group = cls._detect_processing_mode() output_is_list = cls.is_output_list if cls.is_output_list is not None else is_group inputs = [io.Image.Input('images', tooltip='List of images to process.' if is_group else 'Image to process.')] inputs.extend(cls.extra_inputs) return io.Schema(node_id=cls.node_id, search_aliases=cls.search_aliases, display_name=cls.display_name or cls.node_id, category=cls.category, description=cls.description, is_experimental=True, is_input_list=is_group, inputs=inputs, outputs=[io.Image.Output(display_name='images', is_output_list=output_is_list, tooltip='Processed images')])",inputs,io.Image.Output:(display_name='images';is_output_list=output_is_list;tooltip='Processed images'),is_group,"[""output_is_list""]",False,False,ImageProcessingNode.execute (comfy_extras/nodes_dataset.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_dataset.py,AdjustContrastNode,851,,ComfyExtension.get_node_list,COMFY-NODE-0005
AlignYourStepsScheduler,AlignYourStepsScheduler,AlignYourStepsScheduler,model/sampling/schedulers,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls) -> io.Schema: return io.Schema(node_id='AlignYourStepsScheduler', search_aliases=['AYS scheduler'], category='model/sampling/schedulers', inputs=[io.Combo.Input('model_type', options=['SD1', 'SDXL', 'SVD']), io.Int.Input('steps', default=10, min=1, max=10000), io.Float.Input('denoise', default=1.0, min=0.0, max=1.0, step=0.01)], outputs=[io.Sigmas.Output()])","io.Combo.Input:model_type(options=['SD1', 'SDXL', 'SVD']) | io.Int.Input:steps(default=10;min=1;max=10000) | io.Float.Input:denoise(default=1.0;min=0.0;max=1.0;step=0.01)",io.Sigmas.Output:,False,[false],False,False,AlignYourStepsScheduler.execute (comfy_extras/nodes_align_your_steps.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_align_your_steps.py,AlignYourStepsScheduler,26,,ComfyExtension.get_node_list,COMFY-NODE-0006
APG,APG,Adaptive Projected Guidance,model/sampling/custom,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls) -> io.Schema: return io.Schema(node_id='APG', display_name='Adaptive Projected Guidance', category='model/sampling/custom', inputs=[io.Model.Input('model'), io.Float.Input('eta', default=1.0, min=-10.0, max=10.0, step=0.01, tooltip='Controls the scale of the parallel guidance vector. Default CFG behavior at a setting of 1.', advanced=True), io.Float.Input('norm_threshold', default=5.0, min=0.0, max=50.0, step=0.1, tooltip='Normalize guidance vector to this value, normalization disable at a setting of 0.', advanced=True), io.Float.Input('momentum', default=0.0, min=-5.0, max=1.0, step=0.01, tooltip='Controls a running average of guidance during diffusion, disabled at a setting of 0.', advanced=True)], outputs=[io.Model.Output()])",io.Model.Input:model | io.Float.Input:eta(default=1.0;min=-10.0;max=10.0;step=0.01;advanced=True) | io.Float.Input:norm_threshold(default=5.0;min=0.0;max=50.0;step=0.1;advanced=True) | io.Float.Input:momentum(default=0.0;min=-5.0;max=1.0;step=0.01;advanced=True),io.Model.Output:,False,[false],False,False,APG.execute (comfy_extras/nodes_apg.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_apg.py,APG,13,,ComfyExtension.get_node_list,COMFY-NODE-0007
ARVideoI2V,ARVideoI2V,ARVideoI2V,model/conditioning/autoregressive,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='ARVideoI2V', category='model/conditioning/autoregressive', inputs=[io.Model.Input('model'), io.Vae.Input('vae'), io.Image.Input('start_image'), io.Int.Input('width', default=832, min=16, max=8192, step=16), io.Int.Input('height', default=480, min=16, max=8192, step=16), io.Int.Input('length', default=81, min=1, max=1024, step=4), io.Int.Input('batch_size', default=1, min=1, max=64)], outputs=[io.Model.Output(display_name='MODEL'), io.Latent.Output(display_name='LATENT')])",io.Model.Input:model | io.Vae.Input:vae | io.Image.Input:start_image | io.Int.Input:width(default=832;min=16;max=8192;step=16) | io.Int.Input:height(default=480;min=16;max=8192;step=16) | io.Int.Input:length(default=81;min=1;max=1024;step=4) | io.Int.Input:batch_size(default=1;min=1;max=64),io.Model.Output:(display_name='MODEL') | io.Latent.Output:(display_name='LATENT'),False,"[false, false]",False,False,ARVideoI2V.execute (comfy_extras/nodes_ar_video.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_ar_video.py,ARVideoI2V,76,,ComfyExtension.get_node_list,COMFY-NODE-0008
AudioAdjustVolume,AudioAdjustVolume,Adjust Audio Volume,audio,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='AudioAdjustVolume', search_aliases=['audio gain', 'loudness', 'audio level'], display_name='Adjust Audio Volume', category='audio', description='Adjust the volume of the audio by a specified amount in decibels (dB).', inputs=[IO.Audio.Input('audio'), IO.Int.Input('volume', default=1, min=-100, max=100, tooltip='Volume adjustment in decibels (dB). 0 = no change, +6 = double, -6 = half, etc')], outputs=[IO.Audio.Output()])",IO.Audio.Input:audio | IO.Int.Input:volume(default=1;min=-100;max=100),IO.Audio.Output:,False,[false],False,False,AudioAdjustVolume.execute (comfy_extras/nodes_audio.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_audio.py,AudioAdjustVolume,712,,ComfyExtension.get_node_list,COMFY-NODE-0009
AudioConcat,AudioConcat,Concatenate Audio,audio,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='AudioConcat', search_aliases=['join audio', 'combine audio', 'append audio'], display_name='Concatenate Audio', description='Concatenates the audio1 to audio2 in the specified direction.', category='audio', inputs=[IO.Audio.Input('audio1'), IO.Audio.Input('audio2'), IO.Combo.Input('direction', options=['after', 'before'], default='after', tooltip='Whether to append audio2 after or before audio1.')], outputs=[IO.Audio.Output()])","IO.Audio.Input:audio1 | IO.Audio.Input:audio2 | IO.Combo.Input:direction(options=['after', 'before'];default='after')",IO.Audio.Output:,False,[false],False,False,AudioConcat.execute (comfy_extras/nodes_audio.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_audio.py,AudioConcat,588,,ComfyExtension.get_node_list,COMFY-NODE-0010
