record_id,kind,name,source_evidence,contract,corroborated_feature_ids,evidence_level
COMFY-DOC-CONFIG-32824C984905,configuration/schema/lock/registry file,pnpm-lock.yaml,pnpm-lock.yaml,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-B7B4169FA5B2,configuration/schema/lock/registry file,docs.json,docs.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-D5D3368A61F8,configuration/schema/lock/registry file,.mcp.json,.mcp.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-053150B640A7,configuration/schema/lock/registry file,package-lock.json,package-lock.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-7AE45AD102EA,configuration/schema/lock/registry file,package.json,package.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-FC16795E0255,configuration/schema/lock/registry file,openapi-cloud.yaml,openapi-cloud.yaml,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-18AE0A0FAB29,configuration/schema/lock/registry file,pnpm-workspace.yaml,pnpm-workspace.yaml,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-7CEBB5C70F45,configuration/schema/lock/registry file,public/workflow.json,public/workflow.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-A20BB0ADA9DB,configuration/schema/lock/registry file,public/text-to-image.json,public/text-to-image.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-867E5DF85531,configuration/schema/lock/registry file,.github/scripts/cms/published-versions.schema.json,.github/scripts/cms/published-versions.schema.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-7417F790D9A6,configuration/schema/lock/registry file,.github/scripts/cms/cms-config.json,.github/scripts/cms/cms-config.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-CD68F39B1D33,configuration/schema/lock/registry file,.github/scripts/cms/published-versions.json,.github/scripts/cms/published-versions.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-0B090480566A,configuration/schema/lock/registry file,.github/scripts/cms/attention-overrides.json,.github/scripts/cms/attention-overrides.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-6913C535272A,configuration/schema/lock/registry file,.github/scripts/i18n/translation-config.json,.github/scripts/i18n/translation-config.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-CAB16AD0813D,configuration/schema/lock/registry file,.github/scripts/i18n/glossary/overrides/zh.json,.github/scripts/i18n/glossary/overrides/zh.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-B34EFE9F41DD,configuration/schema/lock/registry file,.github/scripts/i18n/glossary/overrides/ja.json,.github/scripts/i18n/glossary/overrides/ja.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-908731085FBF,configuration/schema/lock/registry file,.github/scripts/i18n/glossary/overrides/ko.json,.github/scripts/i18n/glossary/overrides/ko.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-2A8DC69A8106,configuration/schema/lock/registry file,.github/scripts/i18n/glossary/frontend/zh.json,.github/scripts/i18n/glossary/frontend/zh.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
