feature_id,surface,route,name,behavior,availability,source_file,evidence_level
COMFY-ROUTE-001,desktop-ui,/,WelcomeView,Empty child route under LayoutDefault opens first-run welcome and source-selection choices; file protocol uses hash history and Electron/non-file uses base-aware web history,platform-specific,apps/desktop-ui/src/router.ts:14-25,code-inferred
COMFY-UI-054,main-app,/,GraphView,Graph workspace; initializes user and redirects to /user-select when login is required,active,src/router.ts,code-inferred
COMFY-UI-055,main-app,/user-select,UserSelectView,Select or create a server user before entering the graph workspace,conditional,src/router.ts,code-inferred
COMFY-CLOUD-113,main-app,/cloud/login,cloud-login,Cloud login; authenticated users resume OAuth consent or user check unless switching accounts,cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-CLOUD-115,main-app,/cloud/signup,cloud-signup,Cloud signup with optional Turnstile and post-auth redirect,cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-CLOUD-112,main-app,/cloud/forgot-password,cloud-forgot-password,Cloud password reset request,cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-CLOUD-118,main-app,/cloud/survey,cloud-survey,Authenticated dynamic onboarding survey,cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-CLOUD-114,main-app,/cloud/oauth/consent,cloud-oauth-consent,OAuth authorization consent and denial surface,cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-CLOUD-119,main-app,/cloud/user-check,cloud-user-check,"Authenticated account status, verification, survey, and app routing",cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-CLOUD-116,main-app,/cloud/sorry-contact-support,cloud-sorry-contact-support,Cloud access failure and support route,cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-CLOUD-111,main-app,/cloud/auth-timeout,cloud-auth-timeout,Authentication initialization timeout recovery route,cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-CLOUD-117,main-app,/cloud/subscribe,cloud-subscribe,Authenticated subscription checkout redirect,cloud/paid,src/platform/cloud/onboarding/onboardingCloudRoutes.ts,code-inferred
COMFY-UI-053,desktop-ui,/welcome,WelcomeViewAlias,Render the localized first-run welcome at /welcome and navigate to /install only from the explicit primary action; the empty child / route is the equivalent canonical WelcomeView entry.,platform-specific,apps/desktop-ui/src/router.ts; apps/desktop-ui/src/views/WelcomeView.vue,code-inferred
COMFY-UI-047,desktop-ui,/install,InstallView,"Require every install step to be visited, collect install path, device/GPU and Desktop settings, validate path state, track step changes, invoke installComfyUI once, then navigate to manual configuration for unsupported/custom setup or server start otherwise.",platform-specific,apps/desktop-ui/src/router.ts; apps/desktop-ui/src/views/InstallView.vue,code-inferred
COMFY-UI-046,desktop-ui,/download-git,DownloadGitView,"Explain the missing Git prerequisite, open the platform Git download destination on request, or let the user skip and navigate to the install route.",platform-specific,apps/desktop-ui/src/router.ts; apps/desktop-ui/src/views/DownloadGitView.vue,code-inferred
COMFY-UI-044,desktop-ui,/desktop-start,DesktopStartView,Render the localized initialising StartupDisplay while the Desktop shell owns startup and the next navigation decision.,platform-specific,apps/desktop-ui/src/router.ts; apps/desktop-ui/src/views/DesktopStartView.vue,code-inferred
COMFY-UI-045,desktop-ui,/desktop-update,DesktopUpdateView,Render localized update progress with a spinner and keyboard-operable console-log drawer; dispose the Desktop validation subscription when the route unmounts.,platform-specific,apps/desktop-ui/src/router.ts; apps/desktop-ui/src/views/DesktopUpdateView.vue,code-inferred
COMFY-UI-052,desktop-ui,/server-start,ServerStartView,"Subscribe to Desktop progress and install-stage updates, render stage/message/percentage and terminal output, distinguish critical error state, and expose report issue, logs and troubleshooting actions.",platform-specific,apps/desktop-ui/src/router.ts; apps/desktop-ui/src/views/ServerStartView.vue,code-inferred
