feature_id,row_kind,pack,version,node_identifier,labels,cloud_disabled,source_file,line,evidence_level,target_status,parity_decision
COMFY-CLI-CQL-B93D1640A5DD,label,,,,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,7,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-0F32DB1AACCF,label,,,,CreatesLargeOutputs,true,comfy_cli/cql/data/supported_nodes.yaml,8,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-55C5B8191A9C,label,,,,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,9,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-4F0AC0A6F2A2,label,,,,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,10,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-E822F6D6A83B,label,,,,NetworkAccess,true,comfy_cli/cql/data/supported_nodes.yaml,11,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-3C68C420E6FD,label,,,,Stateful,true,comfy_cli/cql/data/supported_nodes.yaml,12,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-8FB46C43C38B,label,,,,HasCustomEndpoints,true,comfy_cli/cql/data/supported_nodes.yaml,13,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-E88B05AB2FED,label,,,,RequiresExternalAPI,true,comfy_cli/cql/data/supported_nodes.yaml,14,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-ADA00993C960,label,,,,PathParsing,true,comfy_cli/cql/data/supported_nodes.yaml,15,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-0880C399FBF5,label,,,,DuplicateOfCoreNode,false,comfy_cli/cql/data/supported_nodes.yaml,16,code-inferred,missing,Map this capability label into the native Rust/WASM permission manifest.
COMFY-CLI-CQL-2205305902FD,node pack,core,,,,false,comfy_cli/cql/data/supported_nodes.yaml,19,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-6FDC4837ADBE,node policy,core,,LoadImageDataSetFromFolder,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,21,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-46B554AD01EC,node policy,core,,LoadImageTextDataSetFromFolder,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,23,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-C36AA046AE28,node policy,core,,LoadTrainingDataset,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,25,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-B856D1786875,node policy,core,,SaveImageDataSetToFolder,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,27,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-FC00D5C7F53D,node policy,core,,SaveImageTextDataSetToFolder,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,29,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-2C3D81C6C578,node policy,core,,SaveLoRA,CreatesLargeOutputs,true,comfy_cli/cql/data/supported_nodes.yaml,31,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-13A42754DF8F,node policy,core,,SaveTrainingDataset,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,33,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-C60E34851966,node policy,core,,CheckpointSave,CreatesLargeOutputs,true,comfy_cli/cql/data/supported_nodes.yaml,35,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-882E95AFF4D0,node policy,core,,ImageOnlyCheckpointSave,CreatesLargeOutputs,true,comfy_cli/cql/data/supported_nodes.yaml,37,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-3947C1F917D1,node policy,core,,ModelSave,CreatesLargeOutputs,true,comfy_cli/cql/data/supported_nodes.yaml,39,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-D56615B03A7E,node policy,core,,ModelSaveKJ,CreatesLargeOutputs,true,comfy_cli/cql/data/supported_nodes.yaml,41,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-05A656C2731A,node policy,core,,LoraSave,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,43,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-C65D37768141,node policy,core,,CLIPSave,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,45,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-BF34D077802B,node policy,core,,VAESave,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,47,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
