feature_id,disposition,placement,owner_task_id
COMFY-FRONTEND-SURFACE-767BFEFC15DB,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-65EFA4B3454B,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-E31833DE04A0,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-A68E731CFA33,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-C428B627D963,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-55A60858A26E,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-D9BCFE63B4DC,place,DesktopMigrationModal,comfy-parity-desktop-installations
COMFY-FRONTEND-SURFACE-1A996B7A3EBE,place,DesktopMigrationModal,comfy-parity-desktop-installations
COMFY-FRONTEND-SURFACE-0F341D0A36B4,place,DesktopMigrationModal,comfy-parity-desktop-installations
COMFY-FRONTEND-SURFACE-4ED74E2C80F0,place,DesktopMigrationModal,comfy-parity-desktop-installations
COMFY-FRONTEND-SURFACE-85AF341D5F08,place,DesktopMigrationModal,comfy-parity-desktop-installations
COMFY-FRONTEND-SURFACE-C9F6DAB66D51,place,DesktopMigrationModal,comfy-parity-desktop-installations
COMFY-FRONTEND-SURFACE-09B69E93DE98,place,DesktopMigrationModal,comfy-parity-desktop-installations
COMFY-FRONTEND-SURFACE-D9943B81E99C,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-B63590E29AE6,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-3F1C5AD5F9D2,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-8F0550354651,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-CDB9BB56248F,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-12A86916EB96,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-352D6CF0887D,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-747562F80297,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-31CE041CFB6B,place,UpdateStatusSurface,comfy-parity-updates-snapshots
COMFY-FRONTEND-SURFACE-F30796C2FEE3,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-17830989EFE5,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-D80A003C79CE,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-6D89898B9053,place,DiagnosticsDockPanel,comfy-parity-process-diagnostics
COMFY-FRONTEND-SURFACE-B42C17EA22A3,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-5C02178D265B,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-FF9049DEF745,place,DesktopMigrationModal,comfy-parity-desktop-installations
COMFY-FRONTEND-SURFACE-99D7B7916CC6,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-0CCF0AAFF928,place,DesktopCompatibilityHost,comfy-parity-desktop-native-ui
COMFY-FRONTEND-SURFACE-0B4D527E7495,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-102756228E5A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-69C7C67F56F3,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-14A7C6CEB59F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-27C4EDF9777A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E97447F25815,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1C9DF6BC0F92,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-ED7420B65BC9,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-EC01765A50B5,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-BE58171EAB33,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4AA32F8F4484,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-0A104E42CA00,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E6721C693BA3,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-23545FEE46D8,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-BE07C7467B4D,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-147931DBFA55,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-7214D4E8FD31,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-3EF3EEE1491B,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-C261FDEAFFA1,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-15EA4C980099,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-316632DA7A83,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-2E7F42A64530,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-CFBF05F71DCD,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-F0DFF0C4D5BD,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-452598802170,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-7411885145DB,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4F91092DD664,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-3757C7995426,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-19F9D864266F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-51D4D5E11621,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-9B9A6B5F253C,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-47FD838FD310,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-F1E02D97832C,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4AB003FCF012,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-A1CB848F9FF5,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-0330C5674325,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4C15489920F4,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-EB98341572E5,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-C383D0BD0449,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-FB3989F0FFAD,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-C93A031FD8AC,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1BDC3F77D47F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-0A66DE036ABA,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-8D912333F846,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-3665F7045CCE,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-245080C2DB31,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-8BEE3EEFF831,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-659E6BE3CE92,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-29BDCE3A782E,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-23E895403D8D,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-133C3E06AF76,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-2B9B895EB59A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-42090F041343,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4E1CE7E59F66,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-9BC8FEA352AC,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-F16DFB06D3EC,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-549A46AC3E54,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-5DF86430861A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-95F592C98044,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-BA725EFE9FE5,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-BECBA1AEA028,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-3776C573409B,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4FCD9D14273C,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-5C8C45739F9A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-3312264C2D1E,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4803A602546F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-29171E8616AB,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4DCFD3BEEBF6,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E3B1DD8C13AF,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E01F52FD659B,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4E389C4C2332,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-06F82A23498A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-D816B3A259B0,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-FB028ACEE4C2,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-79F3ED20C9DE,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-BC995EC26949,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-B016892F23C1,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-D7FA844254D4,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-EC48A582FF20,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-272111E669CE,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-08E65253F3DD,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-2E14E555EE64,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-8DF118357FA1,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-AB23818FA875,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-2753B1EE3A42,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-30866EB459C8,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-69603D1B778C,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E3E38CA57012,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-845E77CAE50C,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-BF905AD0DAC0,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1997B0E1E878,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-CA485FAEA293,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
