data_source_id,record_type,name,backend,scope,durability,authority,source_paths,capability_ids,migration_requirement,status,summary
MIG-0001,sql_migration,0001_initial_schema,PostgreSQL,deployment-and-community,durable,schema-history,projects/buzz/migrations/0001_initial_schema.sql,CAP-003;CAP-005;CAP-008;CAP-010;CAP-011;CAP-027;CAP-028,Replay through the canonical Zed migration authority before importing Buzz rows,mapped,"Creates the multitenant event log, communities, channels, membership, tokens, workflows, audit records, projections, and partitions."
MIG-0002,sql_migration,0002_git_repo_names,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0002_git_repo_names.sql,CAP-019,Preserve the NIP-34 repository-name uniqueness and ownership contract,mapped,Adds the community-scoped Git repository-name registry.
MIG-0003,sql_migration,0003_community_icon,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0003_community_icon.sql,CAP-003;CAP-036,Preserve the per-community NIP-11 icon value,mapped,Adds workspace icon metadata to communities.
MIG-0004,sql_migration,0004_events_tags_gin,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0004_events_tags_gin.sql,CAP-011;CAP-015,Recreate the tag-query index after canonical event import,mapped,Adds the partition-aware GIN index for event tags.
MIG-0005,sql_migration,0005_agent_turn_metric_fts,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0005_agent_turn_metric_fts.sql,CAP-015;CAP-024,Keep encrypted agent metrics excluded from searchable text,mapped,Rebuilds full-text search with agent-turn metrics excluded.
MIG-0006,sql_migration,0006_moderation,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0006_moderation.sql,CAP-029,Import reports bans timeouts and actions without crossing community boundaries,mapped,Adds moderation reports community bans and moderation actions.
MIG-0007,sql_migration,0007_nip_rs_retention,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0007_nip_rs_retention.sql,CAP-013;CAP-030,Preserve bounded NIP-RS retention replacement ordering and watermarks,mapped,Adds parameterized-event watermarks and bounded encrypted read-state retention.
MIG-0008,sql_migration,0008_fresh_install_search_allowlist,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0008_fresh_install_search_allowlist.sql,CAP-015,Apply the positive FTS allowlist to fresh canonical installations,mapped,Restricts indexed event kinds to the approved search allowlist.
MIG-0009,sql_migration,0009_nip_rs_database_guards,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0009_nip_rs_database_guards.sql,CAP-013;CAP-030,Retain mixed-version NIP-RS database guards until all compatibility clients pass the exact-replay floor,mapped,Adds database retention guards for mixed NIP-RS client versions.
MIG-0010,sql_migration,0010_nip_rs_exact_replay_guard,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0010_nip_rs_exact_replay_guard.sql,CAP-013;CAP-030,Import exact replay watermarks and supersede only through the approved compatibility gate,mapped,Replaces approximate NIP-RS replay behavior with exact watermark enforcement.
