feature_id,key,behavior,classification,source_file,line,evidence_level,tests,target_status,parity_decision
COMFY-CLI-CONFIG-89B91DF19D9D,background,"Tuple-like host, port, pid for the owned background server.",active,comfy_cli/caller.py,66,test-backed,tests/comfy_cli/command/test_launch_background.py | tests/comfy_cli/command/test_logs.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/output/test_caller.py | tests/comfy_cli/test_config_manager.py | tests/comfy_cli/test_host_port.py | tests/comfy_cli/test_launch_python_resolution.py | tests/e2e/test_e2e.py | tests/e2e/test_e2e_uv_compile.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-17EF88A615B3,background_log,Absolute background logfile path.,active,comfy_cli/command/launch.py,255,test-backed,tests/comfy_cli/command/test_logs.py | tests/comfy_cli/test_config_manager.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-E33BB3341560,civitai_api_token,Legacy plaintext Civitai token in config.ini.,deprecated/dead,comfy_cli/command/models/models.py,222,test-backed,tests/comfy_cli/test_tracking.py | tests/comfy_cli/test_tracking_providers.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-0334EDB970AF,cloud_base_url,Persisted cloud base URL.,conditional,comfy_cli/cloud/__init__.py,16,test-backed,tests/comfy_cli/conftest.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-E54E0B63A1FD,cloud_resource_url,Persisted OAuth protected-resource URL.,conditional,comfy_cli/cloud/__init__.py,76,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-6340D05B6A06,cloud_scopes,Persisted OAuth scope string.,conditional,comfy_cli/cloud/__init__.py,77,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-78DD2AA0B903,default_downloader,Model downloader selection; fallback httpx.,active,comfy_cli/constants.py,57,test-backed,tests/comfy_cli/command/models/test_models.py | tests/comfy_cli/test_aria2_download.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-61E731D666FB,default_launch_extras,Whitespace-split default arguments for the default workspace.,active,comfy_cli/cmdline.py,1234,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-93018DDB3771,default_project_dir,Fallback project/output directory.,active,comfy_cli/command/transfer.py,36,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-802123E160E3,default_workspace,Default ComfyUI workspace path.,active,comfy_cli/cmdline.py,1232,test-backed,tests/comfy_cli/test_workspace_manager.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-7BDE768B330B,enable_tracking,Tri-state user telemetry consent.,active,comfy_cli/constants.py,40,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-66C9DE65E4DA,hf_api_token,Legacy plaintext Hugging Face token in config.ini.,deprecated/dead,comfy_cli/command/models/models.py,230,test-backed,tests/comfy_cli/test_tracking.py | tests/comfy_cli/test_tracking_providers.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-DA7A84C972EE,install_event_triggered,One-time telemetry-install marker.,active,comfy_cli/constants.py,42,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-0BE82D35F936,manager_gui_enabled,Legacy Manager GUI boolean migrated by precedence.,deprecated/dead,comfy_cli/constants.py,45,test-backed,tests/comfy_cli/command/test_cm_cli_util.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-0070F1650EC0,manager_gui_mode,"disable, enable-gui, disable-gui, or enable-legacy-gui.",conditional,comfy_cli/command/custom_nodes/cm_cli_util.py,57,test-backed,tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/command/test_manager_gui.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-830D8E1E81E6,recent_workspace,Most recently selected valid ComfyUI workspace.,active,comfy_cli/command/custom_nodes/cm_cli_util.py,184,test-backed,tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/test_cm_cli_python_resolution.py | tests/comfy_cli/test_launch_python_resolution.py | tests/comfy_cli/test_workspace_manager.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-29E19525FB53,setup_nudged,One-time first-run setup nudge marker.,active,comfy_cli/cmdline.py,145,test-backed,tests/comfy_cli/test_onboarding.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-F89D6B696045,user_id,"Anonymous telemetry identity, generated under documented consent rules.",active,comfy_cli/constants.py,41,test-backed,tests/comfy_cli/test_tracking.py | tests/comfy_cli/test_tracking_providers.py | tests/e2e/verify_tracking_live.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-755B080F73CF,uv_compile_default,Default Manager unified dependency resolution toggle.,conditional,comfy_cli/command/custom_nodes/command.py,429,test-backed,tests/comfy_cli/command/test_manager_gui.py | tests/e2e/test_e2e.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-CONFIG-880F8D185C23,where_default,Persisted local/cloud routing default.,active,comfy_cli/command/jobs.py,1334,test-backed,tests/comfy_cli/auth/test_where.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/conftest.py | tests/comfy_cli/jobs/test_jobs.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
