feature_id,disposition,owner_task_id
COMFY-QUEUE-001,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-002,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-003,shared_closure,comfy-parity-native-api-host
COMFY-QUEUE-004,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-005,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-006,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-007,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-008,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-009,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-010,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-011,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-012,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-013,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-014,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-015,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-016,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-017,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-018,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-019,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-020,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-021,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-022,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-023,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-024,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-025,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-026,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-027,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-028,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-029,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-030,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-031,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-032,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-033,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-034,later_owned,comfy-parity-native-memory-planner
COMFY-QUEUE-035,native,comfy-parity-execution-ui
COMFY-QUEUE-036,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-037,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-038,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-039,native,comfy-parity-execution-ui
COMFY-QUEUE-040,later_owned,comfy-parity-workflow-experience
COMFY-QUEUE-041,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-042,shared_closure,comfy-parity-workflow-experience
COMFY-QUEUE-043,shared_closure,comfy-parity-workflow-experience
COMFY-QUEUE-044,later_owned,comfy-parity-process-diagnostics
COMFY-QUEUE-045,later_owned,comfy-parity-process-diagnostics
COMFY-QUEUE-046,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-047,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-048,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-049,later_owned,comfy-parity-workflow-experience
COMFY-QUEUE-050,later_owned,comfy-parity-workflow-experience
COMFY-QUEUE-051,native,comfy-parity-execution-ui
COMFY-QUEUE-052,native,comfy-parity-execution-ui
COMFY-QUEUE-053,native,comfy-parity-execution-ui
COMFY-QUEUE-054,native,comfy-parity-execution-ui
COMFY-QUEUE-055,native,comfy-parity-execution-ui
COMFY-QUEUE-056,native,comfy-parity-execution-ui
COMFY-QUEUE-057,native,comfy-parity-execution-ui
COMFY-QUEUE-058,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-059,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-060,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-061,foundation,comfy-parity-native-graph
COMFY-QUEUE-062,foundation,comfy-parity-native-graph
COMFY-QUEUE-063,foundation,comfy-parity-native-graph
COMFY-QUEUE-064,native,comfy-parity-execution-ui
COMFY-QUEUE-065,native,comfy-parity-execution-ui
COMFY-QUEUE-066,native,comfy-parity-execution-ui
COMFY-QUEUE-067,native,comfy-parity-execution-ui
COMFY-QUEUE-068,native,comfy-parity-execution-ui
COMFY-QUEUE-069,foundation,comfy-parity-workflow-formats
COMFY-QUEUE-070,foundation,comfy-parity-native-graph
COMFY-QUEUE-071,later_owned,comfy-parity-assets-editors-viewers
COMFY-QUEUE-072,native,comfy-parity-execution-ui
COMFY-QUEUE-073,native,comfy-parity-execution-ui
COMFY-QUEUE-074,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-075,native,comfy-parity-execution-ui
COMFY-QUEUE-076,native,comfy-parity-execution-ui
COMFY-QUEUE-077,native,comfy-parity-execution-ui
COMFY-QUEUE-078,native,comfy-parity-execution-ui
COMFY-QUEUE-079,native,comfy-parity-execution-ui
COMFY-QUEUE-080,native,comfy-parity-execution-ui
COMFY-QUEUE-081,later_owned,comfy-parity-performance
COMFY-QUEUE-082,foundation,comfy-parity-workflow-formats
COMFY-QUEUE-083,native,comfy-parity-execution-ui
COMFY-QUEUE-084,native,comfy-parity-execution-ui
COMFY-QUEUE-085,native,comfy-parity-execution-ui
COMFY-QUEUE-086,native,comfy-parity-execution-ui
COMFY-QUEUE-087,native,comfy-parity-execution-ui
COMFY-QUEUE-088,native,comfy-parity-execution-ui
COMFY-QUEUE-089,native,comfy-parity-execution-ui
COMFY-QUEUE-090,native,comfy-parity-execution-ui
COMFY-QUEUE-091,native,comfy-parity-execution-ui
COMFY-QUEUE-092,later_owned,comfy-parity-native-api-host
COMFY-QUEUE-093,later_owned,comfy-parity-settings-localization-ui
COMFY-QUEUE-094,native,comfy-parity-execution-ui
COMFY-QUEUE-095,native,comfy-parity-execution-ui
COMFY-QUEUE-096,native,comfy-parity-execution-ui
COMFY-QUEUE-097,native,comfy-parity-execution-ui
COMFY-QUEUE-098,native,comfy-parity-execution-ui
COMFY-QUEUE-099,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-100,native,comfy-parity-execution-ui
COMFY-QUEUE-101,native,comfy-parity-execution-ui
COMFY-QUEUE-102,native,comfy-parity-execution-ui
COMFY-QUEUE-103,native,comfy-parity-execution-ui
COMFY-QUEUE-104,native,comfy-parity-execution-ui
COMFY-QUEUE-105,native,comfy-parity-execution-ui
COMFY-QUEUE-106,native,comfy-parity-execution-ui
COMFY-QUEUE-107,foundation,comfy-parity-native-graph
COMFY-QUEUE-108,native,comfy-parity-execution-ui
COMFY-QUEUE-109,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-110,native,comfy-parity-execution-ui
COMFY-QUEUE-111,native,comfy-parity-execution-ui
COMFY-QUEUE-112,native,comfy-parity-execution-ui
COMFY-QUEUE-113,shared_closure,comfy-parity-native-execution-e2e
COMFY-QUEUE-114,shared_closure,comfy-parity-workflow-experience
COMFY-QUEUE-115,native,comfy-parity-execution-ui
COMFY-QUEUE-116,native,comfy-parity-execution-ui
COMFY-QUEUE-117,later_owned,comfy-parity-workflow-experience
COMFY-QUEUE-118,foundation,comfy-parity-workflow-formats
COMFY-QUEUE-119,shared_closure,comfy-parity-native-api-host
