surface,event,condition,observable_effect,failure_cleanup_recovery,feature_id,source,evidence_level
app,second-instance,Packaged second launch,Focus/restore an existing host rather than start a second app process,No-op when the lock owner is quitting,COMFY-DESKTOP-199,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
app,activate,macOS dock activation,Raise existing windows or create a chooser when none remain,Preserve running child sessions,COMFY-DESKTOP-089,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
app,before-quit,Quit requested,Run download/operation guards then stop sessions and close auxiliary windows,Abort quit if user declines destructive cancellation,COMFY-DESKTOP-070,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
app,window-all-closed,Last host closes,Quit only when no running session still requires ownership,Retain app lifecycle while backend remains,COMFY-DESKTOP-090,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
app,browser-window-created,Any BrowserWindow created,Attach OS session-ending and non-mac menu-suppression hooks,Suppress updater install during OS shutdown,COMFY-DESKTOP-071,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
app,browser-window-focus,Host gains focus,Refresh installation/directory state and MRU session identity,Ignore destroyed/untracked hosts,COMFY-DESKTOP-083,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
host-window,resize,Bounds change,"Relayout title, panel, Comfy, popup, and overlay views; persist install bounds",Clamp child bounds to content area,COMFY-DESKTOP-083,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,move,Position changes,Persist install-backed window origin,Restore later clamps to visible displays,COMFY-DESKTOP-083,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,restore,Window restored,Relayout all WebContentsViews,Preserve active panel/popup state,COMFY-DESKTOP-076,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,show,Window becomes visible,Relayout and synchronize title/panel state,Startup restore waits for reveal handshake/backstop,COMFY-DESKTOP-053,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,focus,Host gains focus,Update MRU and last-session state,No duplicate attach is created,COMFY-DESKTOP-077,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,close,User/OS requests close,Consult renderer overlays and configured confirm before teardown,Cancellation leaves the window/session intact,COMFY-DESKTOP-082,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,closed,Close succeeds,Remove registry/listeners/views and update session persistence,Owned child process follows close policy,COMFY-DESKTOP-076,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,enter-full-screen,macOS fullscreen entered,Relayout custom chrome and body views,Preserve panel focus,COMFY-DESKTOP-089,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,leave-full-screen,macOS fullscreen exited,Relayout custom chrome and body views,Restore saved normal bounds,COMFY-DESKTOP-089,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
host-window,query-session-end,OS asks whether session may end,Mark shutdown and prevent update-on-quit corruption path,Do not wait on interactive updater UI,COMFY-DESKTOP-071,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
host-window,session-end,OS session ends,Stop managed processes and exit cleanup path,Suppress staged updater action,COMFY-DESKTOP-071,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
comfy-webcontents,dom-ready,Hosted DOM constructed,Install desktop integrations/content scripts as applicable,Reapply on navigation/reload,COMFY-DESKTOP-174,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,did-finish-load,Navigation succeeds,Push current theme/state and mark hosted surface ready,Late state is rehydrated,COMFY-DESKTOP-061,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,did-fail-load,Navigation fails,Retain failure and retry after two seconds,Further failure remains visible/retryable,COMFY-DESKTOP-103,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
