feature_id,name,source_contract,source_file,availability,evidence_level,tests,target_status,native_decision
COMFY-CLI-EXT-FE1515CA8376,Python custom-node project metadata,"project and tool.comfy fields cover identity, version, dependencies, license, URLs, includes, models, OS/accelerator and Comfy versions.",comfy_cli/registry/config_parser.py,conditional,test-backed,tests/comfy_cli/registry/test_config_parser.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-3EC85B979B34,Dynamic Python package version,Resolve project.dynamic version from attr/file with fail-closed regex and PEP constraints.,comfy_cli/registry/config_parser.py,conditional,test-backed,tests/comfy_cli/registry/test_config_parser.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-A6B5DA1F691E,Custom-node include/exclude,Pack configured includes while applying .comfyignore and containment checks.,comfy_cli/command/custom_nodes/command.py,conditional,test-backed,tests/comfy_cli/command/nodes/test_pack.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-5F5F940B8068,Custom-node registry publish,"Validate, zip, request signed upload URL, upload bytes, and carry changelog.",comfy_cli/command/custom_nodes/command.py,conditional,test-backed,tests/comfy_cli/command/nodes/test_publish.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-E263F6ACE250,Custom-node registry install,Resolve node/version metadata and download URL by legacy registry id.,comfy_cli/registry/api.py,conditional,test-backed,tests/comfy_cli/registry/test_api.py | tests/comfy_cli/command/nodes/test_node_install.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-267913800791,ComfyUI-Manager cm-cli bridge,Resolve workspace Python and execute python -m cm_cli with session safety and dependency flags.,comfy_cli/command/custom_nodes/cm_cli_util.py,conditional,test-backed,tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/test_cm_cli_python_resolution.py | tests/comfy_cli/test_custom_nodes_python_resolution.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-A9A05C192959,Manager GUI mode,Persist disable/enable-gui/disable-gui/enable-legacy-gui and translate to launch flags.,comfy_cli/command/custom_nodes/cm_cli_util.py,conditional,test-backed,tests/comfy_cli/command/test_manager_gui.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-BA7287B0090C,Manager snapshots,"Save, restore, migrate legacy Manager, restore dependencies, and inspect workflow dependencies.",comfy_cli/command/custom_nodes/command.py,conditional,test-backed,tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/command/test_manager_gui.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-6FEE949D2295,Dependency modes,"Per-node pip, no-deps, fast-deps, or Manager uv-compile with mutual exclusion and explicit override precedence.",comfy_cli/command/custom_nodes/command.py,conditional,test-backed,tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/test_install_python_resolution.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-DC77424EC603,object_info extension schema,"Node identifiers, categories, typed required/optional/hidden inputs, outputs, list/output flags, display names, descriptions, API-node flag, and Python module metadata.",comfy_cli/cql/engine.py,conditional,test-backed,tests/comfy_cli/cql/test_loader.py | tests/comfy_cli/command/test_nodes_introspect.py,missing,Implement as a versioned native contract; no Python or JavaScript execution in production.
COMFY-CLI-EXT-922AA4E920D1,Legacy workflow identifiers,"Preserve class_type and socket strings through UI-to-API conversion, subgraph expansion, reroute/get-set/bypass tracing, defaults, and dynamic prompts.",comfy_cli/workflow_to_api.py,conditional,test-backed,tests/comfy_cli/test_workflow_to_api.py | tests/comfy_cli/command/test_workflow_fragments.py | tests/comfy_cli/test_decompose.py,missing,Implement as a versioned native contract; no Python or JavaScript execution in production.
COMFY-CLI-EXT-BC2ABAE58D3F,Frontend PR web override,Build/cache a frontend PR and inject --front-end-root for a temporary web extension/UI.,comfy_cli/command/install.py,conditional,test-backed,tests/comfy_cli/command/test_frontend_pr.py | tests/comfy_cli/command/test_launch_frontend_pr.py,conflicting,"Replace executable Python/JavaScript hooks with a versioned Rust/WASM manifest, explicit typed ports, capability permissions, and legacy identifier mappings."
COMFY-CLI-EXT-EB19A87CD8CA,Bundled agent skills,"Five SKILL.md resources install into Claude, Cursor, and AGENTS.md hosts.",comfy_cli/skills/__init__.py,conditional,test-backed,tests/comfy_cli/skills/test_installer.py,deferred,Implement as a versioned native contract; no Python or JavaScript execution in production.
COMFY-CLI-EXT-8C32B6905F2F,Third-party skill contract,Path-based SKILL.md requires matching slug name and nonempty description frontmatter.,comfy_cli/skills/__init__.py,conditional,test-backed,tests/comfy_cli/skills/test_installer.py,deferred,Implement as a versioned native contract; no Python or JavaScript execution in production.
COMFY-CLI-EXT-9A5097BFAA2F,Partner endpoint adapters,Schema-driven 52-endpoint allowlist plus explicit Gemini and Seedance request/response adapters.,comfy_cli/command/generate/spec.py,cloud/paid,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_adapters.py | tests/comfy_cli/command/generate/test_app.py,deferred,Implement as a versioned native contract; no Python or JavaScript execution in production.
COMFY-CLI-EXT-F8BBAA50DE24,Cloud custom-node policy,"Ten labels annotate 87 enumerated node packs; 83 packs declare version fields, 48 have non-empty registry versions, 38 names pin Git refs, and nine labels disable server-side capabilities on cloud.",comfy_cli/cql/data/supported_nodes.yaml,conditional,code-inferred,,missing,Implement as a versioned native contract; no Python or JavaScript execution in production.
COMFY-CLI-EXT-1F2F850C5880,Legacy registry lacks explicit port contracts,"Registry dataclasses carry package and node identities, versions, dependencies, platform constraints, and URLs, but no versioned typed-port or sandbox-capability contract.",comfy_cli/registry/types.py,conditional,code-inferred,,missing,Implement as a versioned native contract; no Python or JavaScript execution in production.
