feature_id,product,domain,name,classification,availability,evidence_level,confidence,source_evidence,test_evidence,actor_trigger,observable_behavior,failure_cancellation_recovery,persistence_side_effects,sim_status,sim_evidence,parity_gap,acceptance,validation,open_questions
COMFY-DESKTOP-001,Comfy-Desktop,source-and-installation,Six-source runtime registry,independently-testable-capability,active,code-inferred,medium,projects/comfy/Comfy-Desktop/src/main/sources/index.ts,none located,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.","The chooser enumerates standalone, portable, git, cloud, remote, and legacy-desktop source plugins with their visibility rules.","Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`The chooser enumerates standalone, portable, git, cloud, remote, and legacy-desktop source plugins with their visibility rules.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-002,Comfy-Desktop,source-and-installation,Managed standalone source,independently-testable-capability,active,test-backed,high,projects/comfy/Comfy-Desktop/src/main/sources/standalone/index.ts,projects/comfy/Comfy-Desktop/src/main/sources/standalone/index.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.",A user can create and manage an isolated Python ComfyUI installation.,"Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`A user can create and manage an isolated Python ComfyUI installation.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-003,Comfy-Desktop,source-and-installation,Portable source adoption,independently-testable-capability,platform-specific,test-backed,high,projects/comfy/Comfy-Desktop/src/main/sources/portable.ts,projects/comfy/Comfy-Desktop/src/main/sources/portable.probe.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.","On Windows development builds, a user can probe and track a portable ComfyUI distribution without installing it.","Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`On Windows development builds, a user can probe and track a portable ComfyUI distribution without installing it.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-004,Comfy-Desktop,source-and-installation,Git source plugin,independently-testable-capability,developer-only,test-backed,high,projects/comfy/Comfy-Desktop/src/main/sources/git.ts,projects/comfy/Comfy-Desktop/src/main/lib/git.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.",A hidden source can launch a source checkout while skipping the managed install workflow.,"Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`A hidden source can launch a source checkout while skipping the managed install workflow.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-005,Comfy-Desktop,source-and-installation,Remote URL source,independently-testable-capability,active,test-backed,high,projects/comfy/Comfy-Desktop/src/main/sources/remote.ts,projects/comfy/Comfy-Desktop/src/main/sources/common/urlSource.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.",A user can save and open an external ComfyUI HTTP(S) endpoint.,"Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source connects a production UI to an external ComfyUI execution endpoint, which the native-only production boundary forbids; Sim has no inactive legacy-record migration and no verified non-transmission guard.","Sim shall import the source URL/profile only as visibly inactive, non-secret legacy migration data; it shall never resolve, open, probe, authenticate to, or transmit workflow data to that endpoint. The UI shall offer native-profile migration or explicit removal, preserve unknown fields until confirmed, and cover invalid URL, secret-bearing URL, cancellation, restart, and deletion recovery.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-006,Comfy-Desktop,source-and-installation,Comfy Cloud source,independently-testable-capability,cloud/paid,test-backed,high,projects/comfy/Comfy-Desktop/src/main/sources/cloud.ts,projects/comfy/Comfy-Desktop/src/main/lib/cloudUrl.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.",A seeded cloud entry opens the hosted Comfy endpoint subject to capacity and account-tier gates.,"Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`A seeded cloud entry opens the hosted Comfy endpoint subject to capacity and account-tier gates.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-007,Comfy-Desktop,source-and-installation,Legacy Desktop source,independently-testable-capability,deprecated/dead,test-backed,high,projects/comfy/Comfy-Desktop/src/main/sources/desktop.ts,projects/comfy/Comfy-Desktop/src/main/sources/desktop.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.",A hidden legacy v1 source exists only to discover and migrate an older Desktop installation.,"Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`A hidden legacy v1 source exists only to discover and migrate an older Desktop installation.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-008,Comfy-Desktop,source-and-installation,Dependent source field options,independently-testable-capability,active,test-backed,high,projects/comfy/Comfy-Desktop/src/main/lib/ipc/registerAppHandlers.ts,projects/comfy/Comfy-Desktop/src/renderer/src/views/InstallWizardModal.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.",Changing source selections recomputes permitted field options and preserves only valid dependent values.,"Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`Changing source selections recomputes permitted field options and preserves only valid dependent values.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-009,Comfy-Desktop,source-and-installation,Installation record construction,independently-testable-capability,active,test-backed,high,projects/comfy/Comfy-Desktop/src/main/lib/ipc/registerAppHandlers.ts,projects/comfy/Comfy-Desktop/src/main/installations.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.",Validated wizard selections are converted to a durable typed installation record.,"Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`Validated wizard selections are converted to a durable typed installation record.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
COMFY-DESKTOP-010,Comfy-Desktop,source-and-installation,GPU discovery,independently-testable-capability,active,test-backed,high,projects/comfy/Comfy-Desktop/src/main/lib/gpu.ts,projects/comfy/Comfy-Desktop/src/main/lib/gpu.test.ts,"User, hosted Comfy surface, lifecycle event, or operating system invokes the named capability under the source-defined preconditions.",The installer detects supported GPU adapters and reports a normalized recommendation.,"Preserve the source-defined validation, visible error, cancellation cleanup, retry, and restart behavior; unresolved edge detail remains an explicit test target.","See desktop-persistence.csv, desktop-settings.csv, desktop-ipc.csv, and the cited source for exact durable and external effects.",conflicting,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Sim primitives are reusable infrastructure only.,"The source owns a Python/ComfyUI installation, process, dependency, or release lifecycle that production Sim forbids; the corresponding native profile, Rust worker, artifact, update, and recovery lifecycle is not implemented.","Sim shall reproduce the user-visible lifecycle states of the source observation (`The installer detects supported GPU adapters and reports a normalized recommendation.`) through native runtime profiles, Sim-owned Rust workers, artifacts, journals, logs, cancellation, rollback, and crash recovery. Legacy installation records remain read-only migration inputs; production shall not probe, create, launch, update, or delete Python/ComfyUI environments.",Source contract/unit test plus side-by-side Sim protocol or GPUI interaction test; add failure injection when the capability performs I/O or process work.,The native-only decision is fixed; source runtime timing and platform details that were not observed remain explicit validation uncertainties.
