feature_id,method,route,access_helper,availability,source_file,line,evidence_level
COMFY-HTTP-CLIENT-001,GET,/oauth/authorize?oauth_request_id={oauthRequestId},fetch with same-origin credentials,cloud/paid,src/platform/cloud/oauth/oauthApi.ts,118,code-inferred
COMFY-HTTP-CLIENT-002,POST,/oauth/authorize,fetch with same-origin credentials and JSON body,cloud/paid,src/platform/cloud/oauth/oauthApi.ts,138,code-inferred
COMFY-HTTP-CLIENT-003,GET,/templates/{index[.locale].json},axios.get(fileURL),active,src/scripts/api.ts,900,code-inferred
COMFY-HTTP-CLIENT-004,GET,/templates/index_logo.json,fetch(fileURL),active,src/platform/workflow/templates/repositories/workflowTemplatesStore.ts,520,code-inferred
COMFY-HTTP-CLIENT-005,URL,/templates/{validatedLogoPath},fileURL after extension and traversal validation,active,src/platform/workflow/templates/repositories/workflowTemplatesStore.ts,535,code-inferred
COMFY-HTTP-CLIENT-006,URL,/templates/{templateName}[-{index}].{mediaSubtype},fileURL for default-template preview media,active,src/platform/workflow/templates/composables/useTemplateWorkflows.ts,58,code-inferred
COMFY-HTTP-CLIENT-007,GET,/templates/{templateId}.json,fetch(fileURL) for default-template workflow JSON,active,src/platform/workflow/templates/composables/useTemplateWorkflows.ts,153,code-inferred
COMFY-ASSET-015,DELETE,/assets/{id},manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-ASSET-013,DELETE,/assets/{id}/tags,manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-UI-007,DELETE,/auth/session,apiURL,active,src/platform/auth/session/useSessionCookie.ts,121,code-inferred
COMFY-CLOUD-093,DELETE,/secrets/{id},manual-reconciled,cloud/paid,src/platform/secrets/api/secretsApi.ts,static-reconciled,code-inferred
COMFY-CLOUD-095,DELETE,/secrets/{param},fetchApi,cloud/paid,src/platform/secrets/api/secretsApi.ts,90,code-inferred
COMFY-UI-034,DELETE,/userdata/{param},fetchApi,active,src/scripts/api.ts,1365,code-inferred
COMFY-ASSET-033,DELETE,/{param}/{param},fetchApi,active,src/platform/assets/services/assetService.ts,631,code-inferred
COMFY-ASSET-031,DELETE,/{param}/{param}/tags,fetchApi,active,src/platform/assets/services/assetService.ts,850,code-inferred
COMFY-ASSET-019,GET,/assets,manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-ASSET-006,GET,/assets/exports/{name},manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-ASSET-007,GET,/assets/exports/{param},fetchApi,conditional,src/platform/assets/services/assetService.ts,964,code-inferred
COMFY-ASSET-012,GET,/assets/sorted-custom-node-map.json,axios,conditional,src/stores/nodeDefStore.ts,546,code-inferred
COMFY-ASSET-016,GET,/assets/{id},manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-ASSET-021,GET,/assets?{param},fetchApi,conditional,src/platform/assets/utils/assetPreviewUtil.ts,23,code-inferred
COMFY-UI-009,GET,/embeddings,fetchApi,active,src/scripts/api.ts,930,code-inferred
COMFY-UI-011,GET,/experiment/models,fetchApi,conditional,src/scripts/api.ts,1038,code-inferred
COMFY-UI-010,GET,/experiment/models/{param},fetchApi,conditional,src/scripts/api.ts,1054,code-inferred
COMFY-UI-012,GET,/extensions,fetchApi,active,src/scripts/api.ts,885,code-inferred
COMFY-UI-013,GET,/features,fetchApi,active,src/platform/remoteConfig/refreshRemoteConfig.ts,29,code-inferred
COMFY-UI-014,GET,/features,manual-reconciled,active,src/platform/remoteConfig/refreshRemoteConfig.ts,static-reconciled,code-inferred
COMFY-ASSET-023,GET,/files/mask-layers?filename={param},fetchApi,active,src/composables/maskeditor/useMaskEditorLoader.ts,124,code-inferred
COMFY-GRAPH-021,GET,/global_subgraphs,fetchApi,active,src/scripts/api.ts,1418,code-inferred
COMFY-GRAPH-020,GET,/global_subgraphs/,fetchApi,active,src/scripts/api.ts,1405,code-inferred
COMFY-UI-018,GET,/history?max_items={n}&offset={n},manual-reconciled,active,src/platform/remote/comfyui/jobs/fetchJobs.ts,static-reconciled,code-inferred
COMFY-WORKFLOW-040,GET,/hub/labels?type=tag,fetchApi,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,218,code-inferred
COMFY-WORKFLOW-041,GET,/hub/labels?type=tag,manual-reconciled,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,static-reconciled,code-inferred
COMFY-WORKFLOW-042,GET,/hub/profiles/me,fetchApi,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,131,code-inferred
COMFY-WORKFLOW-043,GET,/hub/profiles/me,manual-reconciled,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,static-reconciled,code-inferred
COMFY-WORKFLOW-046,GET,/hub/workflows/{param},fetchApi,cloud/paid,src/platform/workflow/sharing/services/workflowShareService.ts,150,code-inferred
COMFY-UI-021,GET,/jobs/{job_id},manual-reconciled,active,src/platform/remote/comfyui/jobs/fetchJobs.ts,static-reconciled,code-inferred
COMFY-UI-023,GET,/jobs/{param},fetchApi,active,src/platform/remote/comfyui/jobs/fetchJobs.ts,166,code-inferred
COMFY-GRAPH-022,GET,/node_replacements,fetchApi,conditional,src/platform/nodeReplacement/nodeReplacementService.ts,6,code-inferred
COMFY-GRAPH-023,GET,/node_replacements,manual-reconciled,conditional,src/platform/nodeReplacement/nodeReplacementService.ts,static-reconciled,code-inferred
COMFY-UI-030,GET,/object_info,fetchApi,active,src/scripts/api.ts,939,code-inferred
COMFY-QUEUE-005,GET,/prompt,fetchApi,active,src/scripts/api.ts,631,code-inferred
COMFY-QUEUE-007,GET,/queue,manual-reconciled,active,src/platform/remote/comfyui/jobs/fetchJobs.ts,static-reconciled,code-inferred
COMFY-CLOUD-097,GET,/secrets,fetchApi,cloud/paid,src/platform/secrets/api/secretsApi.ts,55,code-inferred
