architecture_id,domain,source_file,symbol_or_area,evidence_level,availability,reusable_primitive,current_comfy_status,constraint_or_gap,recommended_mapping
ZED-ARCH-001,application-initialization,crates/zed/src/main.rs,build_application,code-inferred,active,GPUI application construction,partial,"Production GPUI accessibility is enabled without an environment gate; later route, platform, screen-reader, localization, and visual audits remain",Retain the accessible bootstrap and complete VAL-GPUI-011 through the later surface/platform owners
ZED-ARCH-002,application-initialization,crates/zed/src/main.rs,main/init sequence,code-inferred,active,Central service initialization,missing,No Comfy application service is registered,Register a ComfyRuntime global/entity during application initialization
ZED-ARCH-003,application-lifecycle,crates/zed/src/zed.rs,initialize_workspace and quit flow,test-backed,active,Workspace creation and dirty-item quit coordination,missing,No Comfy workflow/native-worker lifecycle participates,Register workflow items early and coordinate Zed-owned Rust worker cancellation/shutdown after save decisions
ZED-ARCH-004,workspace-item,crates/workspace/src/item.rs,Item,test-backed,active,Dirty conflict save reload close split hooks,partial,GraphWorkspaceItem is a registered native project/workspace item; later panels and content items remain,"Extend through the declared execution, asset, workflow-experience, content, settings, and diagnostics owners"
ZED-ARCH-005,workspace-item,crates/workspace/src/item.rs,SerializableItem,test-backed,active,Workspace restoration serialization cleanup,partial,GraphWorkspaceItem has registered versioned serialization/restoration and tested workflow authority; later cross-service persistence audit remains,Retain lossless schema/restoration and complete VAL-DOMAIN-001/006 in the persistence audit
ZED-ARCH-006,workspace-item,crates/workspace/src/workspace.rs,register_serializable_item,test-backed,active,Item registry,missing,No Comfy item registration,Register in the first workflow vertical slice
ZED-ARCH-007,dock-panel,crates/workspace/src/dock.rs,Panel,code-inferred,active,Persistent focused dock panels,partial,"The production-registered ExecutionPanel provides profile-scoped queue, history, output, and error tabs; later node-library, assets/models, operations, logs, and diagnostics panels remain",Retain one application-owned execution model and extend only through the declared later panel owners
ZED-ARCH-008,modal,crates/workspace/src/modal_layer.rs,ModalLayer,code-inferred,active,Pending dismissal and focus restoration,missing,No Comfy dialogs,"Use for bounded runtime-profile, legacy-mapping, permission, and destructive decisions"
ZED-ARCH-009,notification,crates/workspace/src/toast_layer.rs,ToastLayer,code-inferred,active,Timed task-owned notifications,missing,No Comfy status/error notifications,Project typed operation failures to actionable toasts and persistent surfaces
ZED-ARCH-010,persistence,crates/workspace/src/persistence.rs,WorkspaceDb,test-backed,active,Workspace identity and restore state,missing,No Comfy workflow/runtime-profile/attempt records,Create a dedicated Comfy DB domain with only necessary WorkspaceDb dependency
ZED-ARCH-011,persistence,crates/db/src/db.rs,AppMigrator and static_connection,test-backed,active,Inventory-collected domain migrations,missing,No Comfy migrations; no general rollback-by-backup guarantee,Register explicit forward migrations and failure recovery tests
ZED-ARCH-012,persistence,crates/db/src/db.rs,write_and_log,code-inferred,active,Convenience background write logging,conflicting,Silent UI success after a parity-critical write failure would violate requirements,"Await and surface critical workflow, attempt, output, and operation-journal writes"
ZED-ARCH-013,settings,crates/settings/src/settings_store.rs,SettingsStore,test-backed,active,Layered typed settings file watch and atomic edits,missing,No Comfy settings schema,Use for user defaults only and preserve explicit unknown/unsupported data where required
ZED-ARCH-014,settings,crates/settings_content/src/settings_content.rs,SettingsContent,code-inferred,active,Central typed application settings schema,missing,No Comfy settings fields,Add schema and defaults through central settings integration
ZED-ARCH-015,settings-ui,crates/settings_ui/src/page_data.rs,settings page construction,code-inferred,active,Existing Settings Editor page model,missing,A private Comfy settings file cannot register a page,Update central page data and settings UI types
ZED-ARCH-016,connection-profile,crates/settings/src/settings_store.rs,settings profiles,code-inferred,active,Release platform and settings-layer selection,missing,These are not native Comfy runtime profiles,"Persist native runtime profiles with stable ProfileId, device/memory/API/plugin/provider policy, and inactive legacy connection data"
ZED-ARCH-017,actions,crates/zed_actions/src/lib.rs,application actions,code-inferred,active,Typed GPUI actions,missing,No Comfy actions or contexts,Define Comfy actions and graph-specific key contexts
ZED-ARCH-018,keybindings,assets/keymaps,default keymaps,code-inferred,active,Platform/context keybinding assets,partial,A graph-scoped Comfy keymap and typed 118-command registry are present; later-owned command results remain with their executable tasks,Preserve ComfyGraph scoping and user override precedence while later owners activate their registered commands
ZED-ARCH-019,menus,crates/zed/src/zed/app_menus.rs,application menus,code-inferred,active,Static typed native menus,partial,The generated canonical Comfy menu targets registered native actions and all 236 menu rows retain placement/owner dispositions; later surfaces remain,"Add later menu contributions only with real enablement, visible errors, and the existing registry identities"
ZED-ARCH-020,graph-pattern,crates/git_ui/src/git_graph.rs,GitGraph,test-backed,active,Large focused SerializableItem with canvas scrolling hit testing menus and async state,missing,Row-oriented Git view is not a reusable node graph,Reuse GPUI ownership and testing patterns only
ZED-ARCH-021,graph-canvas,crates/gpui/src,canvas paint input focus actions,test-backed,active,Low-level native interaction primitives,partial,"The native GPUI graph implements typed ports/widgets/links, selection, groups, reroutes, subgraphs, viewport, minimap, commands, undo/redo, focus, and serialization; library/execution/content breadth remains","Keep GraphCommand as the mutation boundary and complete later node-library, execution, content, accessibility, and performance matrices"
ZED-ARCH-022,drag-drop,crates/gpui/src,ExternalPaths and FileDropEvent,test-backed,active,External path drag/drop,missing,No Comfy workflow/media/model drop dispatch,Route typed drops through workflow and asset import policies
ZED-ARCH-023,clipboard,crates/gpui/src/platform.rs,ClipboardItem,test-backed,active,Text metadata images and external paths,partial,Arbitrary browser MIME compatibility is not provided,Define text/JSON compatibility encoding and conformance tests
ZED-ARCH-024,accessibility,crates/gpui/src/_accessibility.rs,accessible element model,code-inferred,experimental,Roles labels relationships actions and stable IDs,partial,"The native graph exposes an application semantic root, entity/control labels and states, keyboard focus, errors, and live announcements; later whole-application and platform audits remain",Keep semantic state derived from the graph model and complete VAL-GPUI-011 across later surfaces and platforms
ZED-ARCH-025,gpui-testing,crates/gpui/src/app/test_context.rs,TestAppContext,test-backed,developer-only,Deterministic actions keystrokes clipboard prompts and task pumping,missing,No Comfy interaction tests,Build graph panel modal queue and persistence interaction suites
ZED-ARCH-026,visual-testing,crates/gpui/src/app/test_context.rs,VisualTestContext,test-backed,developer-only,Mouse and visual interaction harness,partial,Existing Zed baseline runner is macOS-specific,Use macOS visual baselines plus native platform CI/manual validation
ZED-ARCH-027,visual-testing,crates/zed/src/visual_test_runner.rs,VisualTestAppContext,test-backed,platform-specific,Screenshot baseline runner,partial,Does not establish Windows/Linux visual parity,Keep screenshot expectations scoped and document platform coverage
ZED-ARCH-028,filesystem,crates/fs/src/fs.rs,Fs RealFs FakeFs,test-backed,active,Atomic writes metadata watch copy rename remove and fake failures,missing,"No Comfy file layout, artifact index, metadata codec, or operation journal","Use for workflow authority, artifact/model/plugin staging, transactional outputs, and failure injection"
ZED-ARCH-029,media-image,crates/image_viewer/src/image_viewer.rs,ImageView,test-backed,active,Static animated image zoom pan fit reload and serializable view,partial,"OutputView preserves ordered output identity, media kind, metadata, unavailable state, and capability-gated view/download/recover/remove actions; specialized media viewers remain later-owned",Keep typed artifact references and register specialized viewers through comfy-parity-assets-editors-viewers
ZED-ARCH-030,media-image,crates/image_viewer/src/image_viewer.rs,ImageViewerDb,code-inferred,active,Example independent DB domain depending on WorkspaceDb,missing,No Comfy domain,Follow the domain registration pattern rather than editing generic DB code
ZED-ARCH-031,media-audio,crates/audio,audio device and playback pipeline,code-inferred,active,Low-level audio capabilities,missing,No Comfy audio output viewer or workflow association,Implement as a separate vertical slice
ZED-ARCH-032,media-video,crates/media,native media capture/frame support,code-inferred,active,Some media primitives,missing,No general Comfy video player,Specify player formats transport metadata and failure states separately
ZED-ARCH-033,media-3d,crates,target-wide 3D viewer search,code-inferred,uncertain,No reusable Comfy 3D viewer identified,missing,No GLB/mesh/point-cloud Comfy viewer,Implement or deliberately defer with format-specific acceptance criteria
ZED-ARCH-034,http,crates/http_client/src/http_client.rs,HttpClient,test-backed,active,Abstract requests and streaming bodies,missing,"No native Comfy handler schemas, limits, idempotency, or authentication",Use only as a provider client primitive; implement Comfy HTTP as a native Rust host over runtime services
ZED-ARCH-035,http,crates/http_client/src/reqwest_client.rs,ReqwestClient,code-inferred,active,Connect timeout proxy redirect and streaming support,missing,Response timeout/cancellation/limits remain relevant only for approved provider clients,Apply per-provider operation policies; GPUI does not call a Comfy server
ZED-ARCH-036,websocket,crates/cloud_api_client/src/websocket.rs,product WebSocket loop,code-inferred,active,yawc split stream keepalive example,conflicting,Product-specific client code is not a native Comfy WebSocket host and drops some send errors,Implement Rust WebSocket compatibility projection from the native event bus with explicit errors and bounds
ZED-ARCH-037,reconnection,crates/remote/src/remote_client.rs,RemoteClient,test-backed,active,Reconnect heartbeat epoch and shutdown state-machine patterns,missing,RPC transport is not Comfy and production requires no external Comfy reconnection,Reuse reducer/epoch testing patterns for worker supervision and native API client sessions only
ZED-ARCH-038,process,crates/util/src/process.rs,Child,test-backed,active,Unix process-group and Windows Job Object process-tree ownership,missing,"No native worker readiness, private IPC, device-fence cancellation, or recovery","Use or extend for the Zed-owned Rust compute worker only, with bounded shutdown and verified ownership"
ZED-ARCH-039,process,crates/util/src/command.rs,Child alias or wrapper,code-inferred,active,smol process child command wrapper,conflicting,It does not itself establish cross-platform process-tree semantics,Do not cite it as native worker process-tree ownership; use util::process::Child where an owned worker is required
ZED-ARCH-040,terminal,crates/terminal/src/terminal.rs,Terminal HeadlessTerminal TerminalBuilder,test-backed,active,PTY terminal task and display behavior,missing,A visible terminal is not the authoritative native worker owner,"Use for bounded sanitized logs or approved environment tooling, never Python engine ownership"
ZED-ARCH-041,engine-state,crates/workspace/src/workspace.rs,AppState,code-inferred,active,Shared workspace construction dependencies,missing,Adding an application runtime here would inflate all workspace/test construction,Prefer an application RuntimeSupervisor/global with explicit native profile entities
ZED-ARCH-042,engine-state,crates/gpui/src,Entity Global Task AsyncApp,test-backed,active,Foreground entity ownership and cancellable tasks,partial,"ExecutionPresentationService and ExecutionUiModel reduce monotonic profile/attempt events, reject stale or cross-profile updates, coalesce notifications, and preserve terminal ordering",Retain the canonical reducer as the sole GPUI execution projection and complete later worker/device recovery matrices
ZED-ARCH-043,updates,crates/auto_update/src/auto_update.rs,AutoUpdater and AutoUpdateStatus,test-backed,active,Application update state machine,missing,"No backend/model/plugin/codec byte progress, journal, snapshot, or rollback",Build a durable native component/artifact operation manager; do not reproduce Python/custom-node update internals
ZED-ARCH-044,extensions,crates/extension_host/src/extension_host.rs,ExtensionStore and WASM/WASI host,test-backed,active,Manifest-capability WASM extensions,conflicting,Existing host is Wasmtime/WASI precedent but lacks explicit Comfy tensor/node ports and has broader editor/Node integration,"Build a dedicated bounded comfy_plugin_host with versioned WIT, explicit ports, opaque handles, grants, legacy mappings, and no Python/JavaScript execution"
ZED-ARCH-045,browser-extension,crates/zed/src/zed.rs,open_url,code-inferred,active,External URL opening,missing,External URL launch is not an owned compatibility host and production browser handoff is prohibited for extension execution,Use only for ordinary approved documentation/navigation; preserve unsupported web-extension data as native placeholders
ZED-ARCH-046,credentials,crates/zed_credentials_provider/src/zed_credentials_provider.rs,global KeychainCredentialsProvider DevelopmentCredentialsProvider,code-inferred,conditional,Production credential provider abstraction,missing,No native Comfy provider/plugin secret namespace; development storage has weaker guarantees,Store secret references only and scope grants by runtime profile/provider/plugin
ZED-ARCH-047,security,crates/workspace/src/security_modal.rs,SecurityModal,test-backed,active,Project/worktree trust flow,missing,"Project trust is not native API, model parser, plugin, provider, codec, or vendor-FFI trust",Implement distinct trust records and prompts for each native boundary
ZED-ARCH-048,sandbox,crates/sandbox,platform command sandbox,test-backed,platform-specific,Seatbelt bwrap and Windows/WSL mechanisms,uncertain,"Command sandboxing is not validated for the Rust compute worker, GPU drivers, vendor FFI, or codecs",Treat it as a pattern; build and certify platform worker/plugin/FFI boundaries without launching Python
ZED-ARCH-049,hardware,crates/system_specs/src/system_specs.rs,SystemSpecs,code-inferred,active,Host/application hardware reporting,missing,Host specs cannot establish the exact operation/dtype/layout/memory matrix of native compute adapters,Native worker probes plus checked-in certified backend matrices are authoritative
ZED-ARCH-050,paths,crates/paths/src/paths.rs,config data state temp logs database directories,test-backed,platform-specific,Platform data roots and custom data directory,missing,No native runtime model/output/cache/plugin/snapshot roots,Add typed derived paths and non-ASCII/platform/path-containment tests
ZED-ARCH-051,workflow-authority,crates/workspace/src/item.rs,save reload conflict model,test-backed,active,External file document lifecycle,missing,No Comfy lossless JSON/media codec,Keep workflow bytes authoritative and DB limited to identity drafts recovery and UI state
ZED-ARCH-052,multi-profile,crates/workspace/src/workspace.rs,multi-window workspace model,test-backed,active,Multiple workspaces and windows,missing,No stable per-workflow native runtime-profile binding,"Persist ProfileId on each workflow and isolate workers, handles, events, models, plugins, queues, outputs, and secrets"
ZED-ARCH-053,native-menu-lifecycle,crates/zed/src/zed/app_menus.rs,app_menus,code-inferred,active,Native platform menus and actions,missing,Electron IPC/menu channels have no direct target equivalent,Map observable behavior to native actions and explicitly defer IPC-only internals
ZED-ARCH-054,installation-recovery,crates/fs/src/fs.rs; crates/auto_update/src/auto_update.rs,filesystem and updater primitives,code-inferred,active,Staging and file-operation building blocks,missing,"No verified native model/plugin/backend/codec journal, resumability, rollback, cleanup, or worker recovery",Introduce transactional staged native operations with restart reconciliation
ZED-ARCH-055,current-support-search,crates excluding projects/comfy and .agents/specs/comfy-parity,Comfy-specific identifiers and protocol surface,code-inferred,active,None,partial,"Validated native foundations now exist, but exact feature-level equivalence still requires every mapped executable task and final closure artifact","Promote only the exact rows whose implementation and validation evidence pass; retain missing, conflicting, deferred, and uncertain rows until final reconciliation"
ZED-ARCH-056,workspace-membership,Cargo.toml,workspace members and dependencies,code-inferred,active,Explicit crate registration,missing,Every new native crate shares a root Cargo.toml write and can create wave conflicts,Register all proposed native crates in one foundation task; family tasks write disjoint files and a later task generates central registries
ZED-ARCH-057,tensor-runtime,Cargo.toml,workspace dependencies,code-inferred,active,"wgpu, Metal bindings, Wasmtime, image/audio support",missing,"No direct native tensor, autograd, safetensors, tokenizer, diffusion, sampler, or model-family runtime dependency exists",Create a Zed-owned comfy_tensor facade and certify native Rust backend adapters; do not expose a third-party framework in compatibility APIs
ZED-ARCH-058,inference-runtime,crates/llama_cpp,HTTP client,code-inferred,active,remote model service client patterns,missing,"llama_cpp is an HTTP client, not an embedded/native tensor or diffusion runtime",Do not count it as native inference; implement Comfy model execution in the Rust worker
ZED-ARCH-059,gpu-device,crates/gpui_wgpu,WgpuContext Device Queue,code-inferred,active,rendering GPU context,missing,"The rendering device has no inference scheduling, memory-planning, long-kernel cancellation, or device-loss isolation contract",Initially use a separate worker-owned compute device; share only after a separately validated scheduling and loss-recovery design
ZED-ARCH-060,wasm-plugin,crates/extension_host/src/wasm_host.rs,Wasmtime Component Model async epoch interruption,code-inferred,active,"Wasmtime 36, WIT versioning, Component Model, async, epoch interruption",missing,"The generic host has no typed Comfy ports/tensor handles, uses broad editor APIs, and lacks the required per-invocation quotas and legacy mapping contract","Reuse narrow patterns only in a dedicated comfy_plugin_host with explicit WIT ports, grants, opaque handles, fuel/epoch/deadline/memory/table/channel/output limits"
ZED-ARCH-061,media,crates/media; crates/image_viewer; crates/audio,media primitives,code-inferred,platform-specific,image rendering and some audio/platform media primitives,missing,No cross-platform native codec registry covers Comfy image/HDR/metadata/audio/video/3D contracts; crates/media is not a general cross-platform video stack,Build bounded versioned Rust readers/writers and reviewed native FFI where needed; no required FFmpeg command subprocess
ZED-ARCH-062,native-release-boundary,crates excluding projects/comfy and .agents/specs/comfy-parity,production dependency and runtime paths,code-inferred,active,"Cargo metadata, package scripts, tests",missing,No gate currently proves future production code cannot add Python/Comfy/Node-extension/browser/external-Comfy dependencies,"Add reverse-dependency, package, binary/settings/menu/CLI, network-trace, and isolated native E2E release gates"
