feature_id,product,domain,name,classification,availability,evidence_level,confidence,actor,trigger,preconditions,inputs_defaults,permissions_flags,success_behavior,variants,state_concurrency,failure_recovery,persistence_side_effects,protocols_dependencies,platform_version,source_evidence,test_evidence,current_zed_status,zed_evidence,exact_parity_gap,acceptance_criteria,automated_validation,manual_validation,open_questions
COMFY-EXEC-001,ComfyUI,exec,Prompt submission and canonical job identity,queue/protocol,active,test-backed,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Prompt submission and canonical job identity,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,"POST prompt accepts a graph, optional canonical lowercase UUID prompt_id, priority number/front, partial targets, client ID, extra data, and usage-source header; absent/null IDs are minted.","Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.","POST prompt accepts a graph, optional canonical lowercase UUID prompt_id, priority number/front, partial targets, client ID, extra data, and usage-source header; absent/null IDs are minted.","Malformed IDs, absent prompt, or JSON/schema validation return structured 400 errors.",See behavior; queue/history are memory-only while named files/database/media outputs persist.,server.py:post_prompt,ComfyUI 0.27.1 snapshot; conditional where marked.,server.py:post_prompt,tests-unit/assets_test/test_prompt_id_enforcement.py,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Prompt submission and canonical job identity`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: POST prompt accepts a graph, optional canonical lowercase UUID prompt_id, priority number/front, partial targets, client ID, extra data, and usage-source header; absent/null IDs are minted.; It shall also reproduce the cataloged boundary and recovery behavior: Malformed IDs, absent prompt, or JSON/schema validation return structured 400 errors.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Prompt submission and canonical job identity, including the named failure branch.",Exercise Prompt submission and canonical job identity in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-002,ComfyUI,exec,Heap-priority queue ordering,queue,active,test-backed,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Heap-priority queue ordering,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,Queued tuples are ordered by numeric priority in a heap; front negates the generated sequence and a worker atomically moves one item to running.,"Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.",Queued tuples are ordered by numeric priority in a heap; front negates the generated sequence and a worker atomically moves one item to running.,Empty get waits on a condition and timed get returns None.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,server.py:post_prompt; execution.py:PromptQueue.put/get,ComfyUI 0.27.1 snapshot; conditional where marked.,server.py:post_prompt; execution.py:PromptQueue.put/get,tests/test_asset_seeder.py,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Heap-priority queue ordering`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: Queued tuples are ordered by numeric priority in a heap; front negates the generated sequence and a worker atomically moves one item to running.; It shall also reproduce the cataloged boundary and recovery behavior: Empty get waits on a condition and timed get returns None.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Heap-priority queue ordering, including the named failure branch.",Exercise Heap-priority queue ordering in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-003,ComfyUI,exec,Prompt preprocess handlers,extension hook,active,code-inferred,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Prompt preprocess handlers,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,Registered on-prompt handlers transform request JSON in registration order before validation.,"Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.",Registered on-prompt handlers transform request JSON in registration order before validation.,Handler exceptions are logged with traceback and the last JSON value continues.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,server.py:PromptServer.add_on_prompt_handler/trigger_on_prompt,ComfyUI 0.27.1 snapshot; conditional where marked.,server.py:PromptServer.add_on_prompt_handler/trigger_on_prompt,,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Prompt preprocess handlers`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: Registered on-prompt handlers transform request JSON in registration order before validation.; It shall also reproduce the cataloged boundary and recovery behavior: Handler exceptions are logged with traceback and the last JSON value continues.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Prompt preprocess handlers, including the named failure branch.",Exercise Prompt preprocess handlers in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-004,ComfyUI,exec,Node replacement before validation,compatibility,active,test-backed,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Node replacement before validation,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,"Missing legacy class IDs with registered replacements are rewritten, mapped inputs are copied/set, and connected output slots are remapped.","Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.","Missing legacy class IDs with registered replacements are rewritten, mapped inputs are copied/set, and connected output slots are remapped.",Invalid replacement targets are skipped; first registered replacement wins; duplicate pairs are ignored.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,app/node_replace_manager.py:NodeReplaceManager.apply_replacements,ComfyUI 0.27.1 snapshot; conditional where marked.,app/node_replace_manager.py:NodeReplaceManager.apply_replacements,tests-unit/app_test/node_replace_manager_test.py,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Node replacement before validation`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: Missing legacy class IDs with registered replacements are rewritten, mapped inputs are copied/set, and connected output slots are remapped.; It shall also reproduce the cataloged boundary and recovery behavior: Invalid replacement targets are skipped; first registered replacement wins; duplicate pairs are ignored.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Node replacement before validation, including the named failure branch.",Exercise Node replacement before validation in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-005,ComfyUI,exec,Output-node discovery,validation,active,code-inferred,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Output-node discovery,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,Validation selects nodes with OUTPUT_NODE true and optionally intersects them with partial execution targets.,"Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.",Validation selects nodes with OUTPUT_NODE true and optionally intersects them with partial execution targets.,No selected outputs returns prompt_no_outputs.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,execution.py:validate_prompt,ComfyUI 0.27.1 snapshot; conditional where marked.,execution.py:validate_prompt,,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Output-node discovery`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: Validation selects nodes with OUTPUT_NODE true and optionally intersects them with partial execution targets.; It shall also reproduce the cataloged boundary and recovery behavior: No selected outputs returns prompt_no_outputs.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Output-node discovery, including the named failure branch.",Exercise Output-node discovery in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-006,ComfyUI,exec,Missing node-type validation,validation,active,code-inferred,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Missing node-type validation,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,Every prompt node must declare class_type resolving through NODE_CLASS_MAPPINGS.,"Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.",Every prompt node must declare class_type resolving through NODE_CLASS_MAPPINGS.,Missing class_type and unknown classes return missing_node_type with node ID/title context.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,execution.py:validate_prompt,ComfyUI 0.27.1 snapshot; conditional where marked.,execution.py:validate_prompt,,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Missing node-type validation`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: Every prompt node must declare class_type resolving through NODE_CLASS_MAPPINGS.; It shall also reproduce the cataloged boundary and recovery behavior: Missing class_type and unknown classes return missing_node_type with node ID/title context.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Missing node-type validation, including the named failure branch.",Exercise Missing node-type validation in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-007,ComfyUI,exec,Required-input validation,validation,active,code-inferred,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Required-input validation,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,Required schema inputs must exist unless lazy/optional rules permit omission.,"Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.",Required schema inputs must exist unless lazy/optional rules permit omission.,Missing inputs produce required_input_missing with input schema context.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,execution.py:validate_inputs,ComfyUI 0.27.1 snapshot; conditional where marked.,execution.py:validate_inputs,,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Required-input validation`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: Required schema inputs must exist unless lazy/optional rules permit omission.; It shall also reproduce the cataloged boundary and recovery behavior: Missing inputs produce required_input_missing with input schema context.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Required-input validation, including the named failure branch.",Exercise Required-input validation in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-008,ComfyUI,exec,Link-shape validation,validation,active,code-inferred,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Link-shape validation,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,A link is a two-item node-ID/output-index sequence; linked upstream nodes are recursively validated.,"Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.",A link is a two-item node-ID/output-index sequence; linked upstream nodes are recursively validated.,Malformed links produce bad_linked_input; missing nodes/indices and recursive failures produce structured reasons.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,execution.py:validate_inputs; comfy_execution/graph_utils.py:is_link,ComfyUI 0.27.1 snapshot; conditional where marked.,execution.py:validate_inputs; comfy_execution/graph_utils.py:is_link,,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Link-shape validation`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: A link is a two-item node-ID/output-index sequence; linked upstream nodes are recursively validated.; It shall also reproduce the cataloged boundary and recovery behavior: Malformed links produce bad_linked_input; missing nodes/indices and recursive failures produce structured reasons.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Link-shape validation, including the named failure branch.",Exercise Link-shape validation in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-009,ComfyUI,exec,Socket-type compatibility validation,validation,active,test-backed,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Socket-type compatibility validation,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,Linked output types are compared to input types with union and wildcard-aware validate_node_input behavior.,"Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.",Linked output types are compared to input types with union and wildcard-aware validate_node_input behavior.,Mismatches produce return_type_mismatch and dependent outputs are identified.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,execution.py:validate_inputs; comfy_execution/validation.py:validate_node_input,ComfyUI 0.27.1 snapshot; conditional where marked.,execution.py:validate_inputs; comfy_execution/validation.py:validate_node_input,tests-unit/execution_test/validate_node_input_test.py,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Socket-type compatibility validation`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: Linked output types are compared to input types with union and wildcard-aware validate_node_input behavior.; It shall also reproduce the cataloged boundary and recovery behavior: Mismatches produce return_type_mismatch and dependent outputs are identified.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Socket-type compatibility validation, including the named failure branch.",Exercise Socket-type compatibility validation in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
COMFY-EXEC-010,ComfyUI,exec,Primitive input coercion,validation,active,code-inferred,high,"Local user, API client, frontend, custom node, or background worker as applicable.",Primitive input coercion,ComfyUI process initialized and feature-specific flags/dependencies satisfied.,See source schema/route/CLI catalog and named behavior.,See availability and security behavior; core routes do not enforce login.,"INT, FLOAT, STRING, and BOOLEAN widget values are coerced before execution; __value__ wrappers carry literal list widget values.","Local/remote, cache/device, V1/V3, and feature-flag variants are recorded in the named catalogs.","INT, FLOAT, STRING, and BOOLEAN widget values are coerced before execution; __value__ wrappers carry literal list widget values.",Conversion failures produce invalid_input_type.,See behavior; queue/history are memory-only while named files/database/media outputs persist.,execution.py:validate_inputs,ComfyUI 0.27.1 snapshot; conditional where marked.,execution.py:validate_inputs,,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust implementation of the backend contract `Primitive input coercion`.,"Using the pinned source only as a development-time oracle, native Rust Zed shall reproduce this source-observable contract: INT, FLOAT, STRING, and BOOLEAN widget values are coerced before execution; __value__ wrappers carry literal list widget values.; It shall also reproduce the cataloged boundary and recovery behavior: Conversion failures produce invalid_input_type.; Execution, state, persistence, protocol effects, cancellation, and recovery shall be owned by native Rust services and shall not launch, connect to, embed, or forward to ComfyUI or Python.","Add source/Zed differential contract tests for Primitive input coercion, including the named failure branch.",Exercise Primitive input coercion in ComfyUI and Zed with visible protocol/log/filesystem observation.,"The production-native boundary is fixed; remaining uncertainty is limited to native backend selection, reviewed vendor FFI, device/platform certification, model/codec/provider availability, and missing source-runtime observations."
