record_id,kind,name,contract,source_evidence,availability,evidence_level
COMFY-DOC-TOOL-7FA35B8B4446,package script,analytics:fetch,bun .github/scripts/analytics/fetch-assistant-insights.ts,package.json:scripts.analytics:fetch,developer-only,code-inferred
COMFY-DOC-TOOL-00627CFA53D2,package script,analytics:fetch:all,bun .github/scripts/analytics/fetch-assistant-insights.ts --all,package.json:scripts.analytics:fetch:all,developer-only,code-inferred
COMFY-DOC-TOOL-9165BB15B538,package script,analytics:fetch:assistant,bun .github/scripts/analytics/fetch-assistant-insights.ts --assistant-only,package.json:scripts.analytics:fetch:assistant,developer-only,code-inferred
COMFY-DOC-TOOL-DE409AECF979,package script,analytics:fetch:dry-run,bun .github/scripts/analytics/fetch-assistant-insights.ts --dry-run,package.json:scripts.analytics:fetch:dry-run,developer-only,code-inferred
COMFY-DOC-TOOL-6CFA4D10E6F6,package script,analytics:fetch:resume,bun .github/scripts/analytics/fetch-assistant-insights.ts --resume,package.json:scripts.analytics:fetch:resume,developer-only,code-inferred
COMFY-DOC-TOOL-9A9BA48E0DEB,package script,cms:delete-drafts,bun .github/scripts/cms/delete-cms-drafts.ts,package.json:scripts.cms:delete-drafts,developer-only,code-inferred
COMFY-DOC-TOOL-06B0D4ED0237,package script,cms:prepare,bun .github/scripts/cms/prepare-cms-changelog.ts,package.json:scripts.cms:prepare,developer-only,code-inferred
COMFY-DOC-TOOL-20FC4C08BFD5,package script,cms:prepare:en,bun .github/scripts/cms/prepare-cms-changelog.ts --en-only,package.json:scripts.cms:prepare:en,developer-only,code-inferred
COMFY-DOC-TOOL-F6021D99C8A0,package script,cms:prepare:locales,bun .github/scripts/cms/prepare-cms-changelog.ts --translate-only,package.json:scripts.cms:prepare:locales,developer-only,code-inferred
COMFY-DOC-TOOL-545F7AAD35F7,package script,cms:preview,bun .github/scripts/cms/sync-to-strapi.ts --preview,package.json:scripts.cms:preview,developer-only,code-inferred
COMFY-DOC-TOOL-E833C167FF30,package script,cms:publish,bun .github/scripts/cms/publish-cms-drafts.ts,package.json:scripts.cms:publish,developer-only,code-inferred
COMFY-DOC-TOOL-96F8631C4F8F,package script,cms:set-attention,bun .github/scripts/cms/set-cms-attention.ts,package.json:scripts.cms:set-attention,developer-only,code-inferred
COMFY-DOC-TOOL-2AA97C3F1A82,package script,cms:sync,bun .github/scripts/cms/sync-to-strapi.ts,package.json:scripts.cms:sync,developer-only,code-inferred
COMFY-DOC-TOOL-D4A70C98A78F,package script,dev,NODE_OPTIONS='--max-old-space-size=8192' npx mint dev --disable-openapi,package.json:scripts.dev,developer-only,code-inferred
COMFY-DOC-TOOL-FD22613F221C,package script,dev:full,NODE_OPTIONS='--max-old-space-size=8192' npx mint dev,package.json:scripts.dev:full,developer-only,code-inferred
COMFY-DOC-TOOL-56AB57EC3A49,package script,glossary:sync,bun .github/scripts/i18n/sync-glossary.mjs,package.json:scripts.glossary:sync,developer-only,code-inferred
COMFY-DOC-TOOL-C048A9C20BAB,package script,glossary:sync:dry-run,bun .github/scripts/i18n/sync-glossary.mjs --dry-run,package.json:scripts.glossary:sync:dry-run,developer-only,code-inferred
COMFY-DOC-TOOL-CE1A11411821,package script,translate,bun .github/scripts/i18n/translate-i18n.ts,package.json:scripts.translate,developer-only,code-inferred
COMFY-DOC-TOOL-D9B2E346BE7B,package script,translate:check-truncation,bun .github/scripts/i18n/check-translation-truncation.ts,package.json:scripts.translate:check-truncation,developer-only,code-inferred
COMFY-DOC-TOOL-43BA778C0662,package script,translate:dry-run,bun .github/scripts/i18n/translate-i18n.ts --dry-run,package.json:scripts.translate:dry-run,developer-only,code-inferred
COMFY-DOC-TOOL-7186F13C2EB1,package script,translate:force,bun .github/scripts/i18n/translate-i18n.ts --force,package.json:scripts.translate:force,developer-only,code-inferred
COMFY-DOC-TOOL-4BE3ED7831BD,package script,translate:repair-fences,bun .github/scripts/i18n/repair-fences-i18n.ts,package.json:scripts.translate:repair-fences,developer-only,code-inferred
COMFY-DOC-TOOL-1C88CB4FBD4E,package script,translate:repair-truncated,bun .github/scripts/i18n/translate-i18n.ts --repair-truncated,package.json:scripts.translate:repair-truncated,developer-only,code-inferred
COMFY-DOC-TOOL-29EEE1D68760,package script,translate:review,bun .github/scripts/i18n/review-i18n.ts,package.json:scripts.translate:review,developer-only,code-inferred
COMFY-DOC-TOOL-CCA39D081A0E,package script,translate:snippets,bun .github/scripts/i18n/translate-i18n.ts --snippets,package.json:scripts.translate:snippets,developer-only,code-inferred
COMFY-DOC-TOOL-9B1966012F97,package script,translate:snippets:dry-run,bun .github/scripts/i18n/translate-i18n.ts --snippets --dry-run,package.json:scripts.translate:snippets:dry-run,developer-only,code-inferred
COMFY-DOC-TOOL-733D11F55FBA,package script,translate:sync-docs-json,bun .github/scripts/i18n/translate-i18n.ts --sync-docs-json,package.json:scripts.translate:sync-docs-json,developer-only,code-inferred
COMFY-DOC-TOOL-49F833078DAD,package script,translate:sync-hash,bun .github/scripts/i18n/sync-hash-i18n.ts,package.json:scripts.translate:sync-hash,developer-only,code-inferred
COMFY-DOC-TOOL-5C63AFADD7CD,tool flag literal,--all,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:151; .github/scripts/i18n/review-i18n.ts:482; .github/scripts/i18n/sync-hash-i18n.ts:348,developer-only,code-inferred
COMFY-DOC-TOOL-E4BB539206B6,tool flag literal,--assistant-only,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:150,developer-only,code-inferred
COMFY-DOC-TOOL-D4007D4179C7,tool flag literal,--check,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/update-published-versions.ts:39; .github/scripts/validate-links.py:546,developer-only,code-inferred
COMFY-DOC-TOOL-C0DFF5FE3F69,tool flag literal,--check-truncation,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/translate-i18n.ts:1129,developer-only,code-inferred
COMFY-DOC-TOOL-730F34570773,tool flag literal,--chunk-days,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:189; .github/scripts/analytics/fetch-assistant-insights.ts:192; .github/scripts/analytics/fetch-assistant-insights.ts:195; .github/scripts/analytics/fetch-assistant-insights.ts:196; .github/scripts/analytics/fetch-assistant-insights.ts:198,developer-only,code-inferred
COMFY-DOC-TOOL-FA4C4C8F1106,tool flag literal,--date-from,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:201; .github/scripts/analytics/fetch-assistant-insights.ts:203; .github/scripts/analytics/fetch-assistant-insights.ts:204; .github/scripts/analytics/fetch-assistant-insights.ts:213; .github/scripts/analytics/mintlify-analytics.ts:444; .github/scripts/analytics/mintlify-analytics.ts:450,developer-only,code-inferred
COMFY-DOC-TOOL-7082E6BBB20F,tool flag literal,--date-to,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:205; .github/scripts/analytics/fetch-assistant-insights.ts:207; .github/scripts/analytics/fetch-assistant-insights.ts:208; .github/scripts/analytics/fetch-assistant-insights.ts:216; .github/scripts/analytics/mintlify-analytics.ts:445,developer-only,code-inferred
COMFY-DOC-TOOL-868D5807C6A9,tool flag literal,--days,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:181; .github/scripts/analytics/fetch-assistant-insights.ts:183; .github/scripts/analytics/fetch-assistant-insights.ts:185; .github/scripts/analytics/fetch-assistant-insights.ts:186; .github/scripts/analytics/fetch-assistant-insights.ts:187,developer-only,code-inferred
COMFY-DOC-TOOL-9489901C0527,tool flag literal,--dry-run,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:149; .github/scripts/cms/delete-cms-drafts.ts:18; .github/scripts/cms/prepare-cms-changelog.ts:60; .github/scripts/cms/publish-cms-drafts.ts:52; .github/scripts/cms/set-cms-attention.ts:51; .github/scripts/cms/sync-to-strapi.ts:52; .github/scripts/i18n/repair-fences-i18n.ts:61; .github/scripts/i18n/sync-glossary.mjs:49; .github/scripts/i18n/sync-hash-i18n.ts:346; .github/scripts/i18n/translate-i18n.ts:1128,developer-only,code-inferred
COMFY-DOC-TOOL-69A46D35412D,tool flag literal,--en-only,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/prepare-cms-changelog.ts:62,developer-only,code-inferred
COMFY-DOC-TOOL-A95DCEE15870,tool flag literal,--fix,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/validate-links.py:541,developer-only,code-inferred
COMFY-DOC-TOOL-D94C58F9312E,tool flag literal,--force,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/prepare-cms-changelog.ts:61; .github/scripts/cms/sync-to-strapi.ts:53; .github/scripts/i18n/translate-i18n.ts:1134,developer-only,code-inferred
COMFY-DOC-TOOL-531B8C64F77E,tool flag literal,--fresh,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:153,developer-only,code-inferred
COMFY-DOC-TOOL-5E73CE0A054E,tool flag literal,--frontend,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/sync-glossary.mjs:86,developer-only,code-inferred
COMFY-DOC-TOOL-93056A94F89C,tool flag literal,--full,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:152,developer-only,code-inferred
COMFY-DOC-TOOL-FF112FA2D9C5,tool flag literal,--incremental,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:154,developer-only,code-inferred
COMFY-DOC-TOOL-53172B165181,tool flag literal,--lang,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/check-translation-truncation.ts:451; .github/scripts/i18n/i18n-config.mjs:236; .github/scripts/i18n/i18n-config.mjs:241; .github/scripts/i18n/repair-fences-i18n.ts:64; .github/scripts/i18n/review-i18n.ts:494; .github/scripts/i18n/sync-hash-i18n.ts:352; .github/scripts/i18n/translate-i18n.ts:1139,developer-only,code-inferred
COMFY-DOC-TOOL-F0AC72226287,tool flag literal,--min-score,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/review-i18n.ts:488; .github/scripts/i18n/review-i18n.ts:494,developer-only,code-inferred
COMFY-DOC-TOOL-5F774C6D9679,tool flag literal,--no-registry,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/publish-cms-drafts.ts:53,developer-only,code-inferred
