feature_id,command_id,label,tooltip,source_file,line,availability,evidence_level,test
COMFY-UI-056,Comfy-Desktop.CheckForUpdates,Check for Updates,,src/extensions/core/electronAdapter.ts,174,platform-specific,code-inferred,
COMFY-FRONTEXT-EXT-086,Comfy-Desktop.Folders.OpenCustomNodesFolder,Open Custom Nodes Folder,,src/extensions/core/electronAdapter.ts,136,platform-specific,code-inferred,
COMFY-UI-057,Comfy-Desktop.Folders.OpenInputsFolder,Open Inputs Folder,,src/extensions/core/electronAdapter.ts,128,platform-specific,code-inferred,
COMFY-UI-058,Comfy-Desktop.Folders.OpenLogsFolder,Open Logs Folder,,src/extensions/core/electronAdapter.ts,104,platform-specific,code-inferred,
COMFY-UI-059,Comfy-Desktop.Folders.OpenModelConfig,Open extra_model_paths.yaml,,src/extensions/core/electronAdapter.ts,144,platform-specific,code-inferred,
COMFY-UI-060,Comfy-Desktop.Folders.OpenModelsFolder,Open Models Folder,,src/extensions/core/electronAdapter.ts,112,platform-specific,code-inferred,
COMFY-UI-061,Comfy-Desktop.Folders.OpenOutputsFolder,Open Outputs Folder,,src/extensions/core/electronAdapter.ts,120,platform-specific,code-inferred,
COMFY-UI-062,Comfy-Desktop.OpenDevTools,Open DevTools,,src/extensions/core/electronAdapter.ts,152,platform-specific,code-inferred,
COMFY-UI-063,Comfy-Desktop.OpenUserGuide,Desktop User Guide,,src/extensions/core/electronAdapter.ts,160,platform-specific,code-inferred,
COMFY-UI-064,Comfy-Desktop.Quit,Quit,,src/extensions/core/electronAdapter.ts,244,platform-specific,code-inferred,
COMFY-UI-065,Comfy-Desktop.Reinstall,Reinstall,,src/extensions/core/electronAdapter.ts,222,platform-specific,code-inferred,
COMFY-UI-066,Comfy-Desktop.Restart,Restart,,src/extensions/core/electronAdapter.ts,236,platform-specific,code-inferred,
COMFY-ASSET-053,Comfy.3DViewer.Open3DViewer,Open 3D Viewer (Beta) for Selected Node,,src/extensions/core/load3d.ts,254,experimental,code-inferred,
COMFY-ASSET-054,Comfy.BrowseModelAssets,Experimental: Browse Model Assets,,src/composables/useCoreCommands.ts,1286,experimental,test-backed,browser_tests/tests/browseModelAssets.spec.ts
COMFY-WORKFLOW-074,Comfy.BrowseTemplates,Browse Templates,,src/composables/useCoreCommands.ts,347,active,test-backed,browser_tests/tests/templateFilteringCount.spec.ts
COMFY-GRAPH-087,Comfy.Canvas.CopySelected,Copy,,src/composables/useCoreCommands.ts,891,active,code-inferred,
COMFY-GRAPH-088,Comfy.Canvas.DeleteSelectedItems,Delete Selected Items,,src/composables/useCoreCommands.ts,925,active,test-backed,browser_tests/tests/keybindingPanel.spec.ts
COMFY-GRAPH-089,Comfy.Canvas.FitView,Fit view to selected nodes,,src/composables/useCoreCommands.ts,395,active,test-backed,browser_tests/tests/vueNodes/interactions/node/imagePreview.spec.ts
COMFY-GRAPH-090,Comfy.Canvas.Lock,Lock Canvas,,src/composables/useCoreCommands.ts,421,active,test-backed,browser_tests/tests/canvasModeSelector.spec.ts
COMFY-GRAPH-091,Comfy.Canvas.MoveSelectedNodes.Down,Move Selected Nodes Down,,src/composables/useCoreCommands.ts,1014,active,code-inferred,
COMFY-GRAPH-092,Comfy.Canvas.MoveSelectedNodes.Left,Move Selected Nodes Left,,src/composables/useCoreCommands.ts,1021,active,code-inferred,
COMFY-GRAPH-093,Comfy.Canvas.MoveSelectedNodes.Right,Move Selected Nodes Right,,src/composables/useCoreCommands.ts,1028,active,code-inferred,
COMFY-GRAPH-094,Comfy.Canvas.MoveSelectedNodes.Up,Move Selected Nodes Up,,src/composables/useCoreCommands.ts,1007,active,code-inferred,
COMFY-GRAPH-095,Comfy.Canvas.PasteFromClipboard,Paste,,src/composables/useCoreCommands.ts,901,active,code-inferred,
COMFY-GRAPH-096,Comfy.Canvas.PasteFromClipboardWithConnect,Paste with Connect,,src/composables/useCoreCommands.ts,909,active,code-inferred,
COMFY-GRAPH-097,Comfy.Canvas.ResetView,Reset View,,src/composables/useCoreCommands.ts,292,active,code-inferred,
COMFY-GRAPH-098,Comfy.Canvas.Resize,Resize Selected Nodes,,src/composables/useCoreCommands.ts,690,active,code-inferred,
COMFY-GRAPH-099,Comfy.Canvas.SelectAll,Select All,,src/composables/useCoreCommands.ts,917,active,test-backed,browser_tests/tests/canvasLayoutSettings.spec.ts
COMFY-GRAPH-100,Comfy.Canvas.ToggleLinkVisibility,Canvas Toggle Link Visibility,,src/composables/useCoreCommands.ts,438,active,code-inferred,
COMFY-GRAPH-101,Comfy.Canvas.ToggleLock,Canvas Toggle Lock,,src/composables/useCoreCommands.ts,412,active,code-inferred,
COMFY-GRAPH-102,Comfy.Canvas.ToggleMinimap,Canvas Toggle Minimap,,src/composables/useCoreCommands.ts,468,active,code-inferred,
COMFY-GRAPH-104,Comfy.Canvas.ToggleSelectedNodes.Bypass,Bypass/Unbypass Selected Nodes,,src/composables/useCoreCommands.ts,652,active,code-inferred,
COMFY-GRAPH-105,Comfy.Canvas.ToggleSelectedNodes.Collapse,Collapse/Expand Selected Nodes,,src/composables/useCoreCommands.ts,703,active,code-inferred,
COMFY-GRAPH-106,Comfy.Canvas.ToggleSelectedNodes.Mute,Mute/Unmute Selected Nodes,,src/composables/useCoreCommands.ts,641,active,code-inferred,
COMFY-GRAPH-107,Comfy.Canvas.ToggleSelectedNodes.Pin,Pin/Unpin Selected Nodes,,src/composables/useCoreCommands.ts,663,active,test-backed,browser_tests/tests/interaction.spec.ts
COMFY-GRAPH-103,Comfy.Canvas.ToggleSelected.Pin,Pin/Unpin Selected Items,,src/composables/useCoreCommands.ts,676,active,code-inferred,
COMFY-GRAPH-108,Comfy.Canvas.Unlock,Unlock Canvas,,src/composables/useCoreCommands.ts,430,active,test-backed,browser_tests/tests/canvasModeSelector.spec.ts
