feature_id,product,domain,component_surface,parent_feature_ids,classification,availability,evidence_level,confidence,source_file,source_symbol,props,emits,handlers,test_evidence,actor,trigger,preconditions,inputs_defaults,observable_success,interaction_accessibility,state_concurrency,failure_recovery,persistence_serialization,interfaces_side_effects,disposition_reason,zed_status,zed_evidence,parity_gap,observable_zed_acceptance,automated_validation,manual_validation,open_questions
COMFY-DESKTOP-RENDERER-8082FD6C9915,Comfy-Desktop,desktop-renderer-surface,System confirmation modal bridge host,COMFY-DESKTOP-174;COMFY-DESKTOP-176,functional,active,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfySystemModal/SystemModalApp.vue,Vue SFC SystemModalApp; <script setup> starts L1; <template> starts L78.,No defineProps contract; this root/host consumes bridge or composable state.,No defineEmits contract; actions use an injected bridge/composable or the component is presentational.,ack@L50; onMounted@L61; onUnmounted@L73,No focused existing test directly mounts this component; source contract is code-inferred.,Desktop main process and the user resolving a privileged confirmation.,"The context-isolated system-modal bridge delivers a modal specification, then the user activates confirm, cancel, or the optional secondary action.",The reusable system-modal WebContents is mounted and the delivered specification has a stable modal id.,"SystemModalSpec carries id, title, message, optional detail groups, labels, action tones, and a retained-but-ignored theme field.","The latest specification renders through BaseAlert; ready is sent after listener registration, notifyRendered is sent after the latest Vue flush, and action sends the exact modalId with confirm, cancel, or secondary.","BaseAlert owns dialog semantics and dismissal; detail groups render as labeled lists, and every resolution has a visible labeled control.",A monotonically increasing renderSeq suppresses stale render acknowledgements; the single bridge listener is unsubscribed on unmount.,"A missing bridge or missing current specification is a no-op; a superseded render tick cannot acknowledge the newer modal, and user cancellation remains a distinct result.",Modal state is transient to the reusable WebContents; no modal choice is durably stored by this component.,window.__comfySystemModal.ready/onModal/notifyRendered/action; privileged work remains in the main-process handler selected by modalId.,"This is an independently observable confirmation handshake, not merely modal chrome.",missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the System confirmation modal bridge host contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: The latest specification renders through BaseAlert; ready is sent after listener registration, notifyRendered is sent after the latest Vue flush, and action sends the exact modalId with confirm, cancel, or secondary. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-8082FD6C9915; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise System confirmation modal bridge host side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-434D1C4D8901,Comfy-Desktop,desktop-renderer-surface,Title-popup menu item renderer and activation surface,COMFY-DESKTOP-178;COMFY-DESKTOP-181,functional,active,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/MenuView.vue,Vue SFC MenuView; <script setup> starts L1; <template> starts L36.,L14 exact type body: items: MenuItem[]. Defaults: none declared here; optional props are undefined.,"L18 exact emit type body: (e: 'activate', id: string): void.",labelFor@L24; handleClick@L29,No focused existing test directly mounts this component; source contract is code-inferred.,A title-bar popup user.,The user clicks a non-separator menu row that has an id.,"The popup supplies ordered MenuItem records with optional localization key, fallback label, checked state, separator kind, and id.",Missing labelKey falls back to label; separators and checked indicators are presentation inputs and only id-bearing ordinary items activate.,"Rows render localized labels, checkmarks, and role=menuitem; selecting a valid row emits its exact id once.","Separators use role=separator. Menu items have tabindex=-1 and this component declares no arrow, Enter, or Space handler, so keyboard movement/activation must be supplied by the host or treated as an explicit source limitation.",The component is stateless; activation is synchronous and ordered by the input item array.,Separator clicks and rows without an id emit nothing; an unknown localization key uses the supplied English fallback.,No persistence; the activation target owns any durable change.,Vue activate(id) emit consumed by TitlePopupApp and then window.__comfyTitlePopup.activate(id).,The row-level guard and localization behavior are independently testable menu contracts.,missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the Title-popup menu item renderer and activation surface contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: Rows render localized labels, checkmarks, and role=menuitem; selecting a valid row emits its exact id once. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-434D1C4D8901; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise Title-popup menu item renderer and activation surface side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-2AA6D33E1630,Comfy-Desktop,desktop-renderer-surface,Instance-picker operation progress and terminal-action surface,COMFY-DESKTOP-058;COMFY-DESKTOP-059;COMFY-DESKTOP-136;COMFY-DESKTOP-185,functional,conditional,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/PickerInlineProgress.vue,Vue SFC PickerInlineProgress; <script setup> starts L1; <template> starts L44.,L12 exact type body: operation: OperationStatus installationName: string. Defaults: none declared here; optional props are undefined.,L19 exact emit type body: open: [] cancel: [] retry: [] dismiss: [].,No locally declared named handler; template events delegate directly to typed emits or composable bindings.,No focused existing test directly mounts this component; source contract is code-inferred.,A user monitoring an installation or instance-picker operation.,"The operation snapshot changes or the user chooses cancel, open, retry, or dismiss.","OperationStatus supplies done, ok, error, status, percent, cancellable, and operation-kind data; installationName identifies the target.",Negative percent is indeterminate; determinate percent is clamped to 0..100; MSG_CANCELLED is a distinct cancelled terminal state.,"Inflight, success, error, and cancelled states are mutually exclusive and expose only their valid actions; success names the installation and errors render OperationErrorDetail.",Actions are native buttons. Visible status and percentage accompany the animated ring; reduced-motion behavior is not declared locally and remains a validation target.,The surface derives state solely from the latest operation prop and emits one action request; the owner controls cancellation/retry ordering.,"Unknown/negative progress stays indeterminate, cancelled work never appears as a generic error, and non-cancellable work exposes no cancel button.",No persistence; operation progress and terminal state are supplied by the owning lifecycle service.,Vue open/cancel/retry/dismiss emits; OperationErrorDetail and progressStatusLabel helpers; no direct privileged call.,The four-state progress contract and action gating affect recovery behavior.,missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the Instance-picker operation progress and terminal-action surface contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: Inflight, success, error, and cancelled states are mutually exclusive and expose only their valid actions; success names the installation and errors render OperationErrorDetail. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-2AA6D33E1630; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise Instance-picker operation progress and terminal-action surface side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-7484263E17F2,Comfy-Desktop,desktop-renderer-surface,Reusable title-popup root and view switcher,COMFY-DESKTOP-086;COMFY-DESKTOP-140;COMFY-DESKTOP-149;COMFY-DESKTOP-174;COMFY-DESKTOP-175,functional,active,test-backed,high,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/TitlePopupApp.vue,Vue SFC TitlePopupApp; <script setup> starts L1; <template> starts L368.,No defineProps contract; this root/host consumes bridge or composable state.,No defineEmits contract; actions use an injected bridge/composable or the component is presentational.,handleActivate@L210; handleKeydown@L220; measureAndRequestSize@L242; watch@L333; watch@L345; onMounted@L274; onUnmounted@L357,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/TitlePopupApp.test.ts,Desktop main process and a title-bar popup user.,"Main sends menu, downloads, downloads-full, instance-picker, or global-settings configuration and subsequent live snapshots.","A context-isolated title-popup bridge, PopupConfig theme/kind payload, and optional live download/picker/settings snapshots are available.","Initial kind is menu, default theme is dark, collections are empty, and global-settings/app-update fields have explicit safe defaults until the first host snapshot.","Exactly one child surface renders for the latest kind, locale and light/dark state synchronize, natural download/picker height is requested before reveal, and only the newest config sends notifyRendered.","Escape closes the popup unless its own useModal dialog is visible; ModalDialog and DialogHost remain mounted for child flows. The root is intentionally not re-keyed, avoiding reopen flicker.","renderSeq rejects stale paint acknowledgements; reused-WebContents local state survives reopen, live subscriptions update root snapshots, and every listener is removed on unmount.","A pending modal is dismissed on applicable kind switches/reopens, missing measurement elements defer resize, and a missing bridge leaves a non-privileged inert shell.",Popup view state is transient; persisted settings/download/installation state is owned by the host and arrives as snapshots.,window.__comfyTitlePopup ready/onConfig/onDownloadsChanged/onInstancePickerSnapshot/onGlobalSettingsSnapshot/onWillShow/onDismissModals/requestSize/notifyRendered/activate/close.,"The root owns ordering, reuse, resize, and stale-update behavior across all title-popup surfaces.",missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the Reusable title-popup root and view switcher contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: Exactly one child surface renders for the latest kind, locale and light/dark state synchronize, natural download/picker height is requested before reveal, and only the newest config sends notifyRendered. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-7484263E17F2; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise Reusable title-popup root and view switcher side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-0556BA11E26B,Comfy-Desktop,desktop-renderer-surface,Global-settings GitHub link and star-count card,COMFY-DESKTOP-106;COMFY-DESKTOP-149,functional,active,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/globalSettings/GitHubLinkCard.vue,Vue SFC GitHubLinkCard; <script setup> starts L1; <template> starts L33.,"L8 exact type body: url: string stars: number | null loading?: boolean label?: string. Defaults: loading: false, label: 'Comfy Desktop',",L20 exact emit type body: open: [url: string].,No locally declared named handler; template events delegate directly to typed emits or composable bindings.,No focused existing test directly mounts this component; source contract is code-inferred.,A global-settings user.,The user activates the card after or while star-count data is loading.,url and stars are required; loading defaults false and label defaults to Comfy Desktop.,"A null star count hides the count, loading shows a skeleton, and a numeric count uses locale-aware compact notation with one fractional digit.","Activation emits the exact URL once while the visible card shows its label, external-link affordance, and optional star count.","The card is a native button with focus-visible styling; decorative icons and loading skeleton are aria-hidden, and the numeric star count has an unabridged aria-label.",Rendering follows the latest props; the component does not initiate or deduplicate the star request.,Missing star data leaves the link usable; external-open failure is owned by the consumer and must not mutate the card into a false success state.,No persistence; star data is a host-provided snapshot.,Vue open(url) emit; the consumer owns validated external URL opening.,The link remains functional independently of optional network-derived star metadata.,missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the Global-settings GitHub link and star-count card contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: Activation emits the exact URL once while the visible card shows its label, external-link affordance, and optional star count. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-0556BA11E26B; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise Global-settings GitHub link and star-count card side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-40DECFED10F1,Comfy-Desktop,desktop-renderer-surface,Global-settings labeled micro-section layout primitive,COMFY-DESKTOP-149,presentational/infrastructure-only,infrastructure-only,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/globalSettings/GlobalSettingsMicroSection.vue,Vue SFC GlobalSettingsMicroSection; <script setup> starts L1; <template> starts L12.,L6 exact type body: title: string tooltip?: string. Defaults: none declared here; optional props are undefined.,No defineEmits contract; actions use an injected bridge/composable or the component is presentational.,No locally declared named handler; template events delegate directly to typed emits or composable bindings.,No focused existing test directly mounts this component; source contract is code-inferred.,A global-settings surface composing labeled content.,"The parent renders the section with title, optional tooltip, and slotted controls.",The parent supplies the semantic title and owns every interactive slotted child.,title is required; tooltip is optional; default slot supplies all functional content.,The component emits no action and performs no service call; it groups the slot below a heading and optional InfoTooltip.,A semantic section and h3 expose grouping; keyboard and focus behavior belong entirely to the slotted controls and InfoTooltip.,Stateless and synchronous.,An absent tooltip omits only the tooltip; missing functional slot content yields an empty labeled group without side effects.,No persistence.,Vue slot composition and InfoTooltip only.,"Explicit infrastructure-only classification: this wrapper contributes semantic grouping and layout, not an independent user workflow.",deferred,No standalone Zed component is required; this presentational/infrastructure contract is validated through each consuming Comfy-specific GPUI surface.,"No Comfy-specific Zed implementation exists; the current parity decision deliberately defers this contract while retaining its data and trace links.; Source-specific gap detail: This source-specific presentational contract is not separately mapped in Zed; inventory and validate its semantic/decorative effect through every consuming Comfy GPUI surface: Explicit infrastructure-only classification: this wrapper contributes semantic grouping and layout, not an independent user workflow.",Every consuming Zed Comfy surface shall preserve this noninteractive render contract without creating a standalone workflow requirement: The component emits no action and performs no service call; it groups the slot below a heading and optional InfoTooltip.,Parameterize consuming GPUI visual/accessibility tests with COMFY-DESKTOP-RENDERER-40DECFED10F1; verify the semantic grouping or decorative-hidden effect without a standalone action surface.,"Exercise Global-settings labeled micro-section layout primitive side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-C26AC23368A0,Comfy-Desktop,desktop-renderer-surface,Immediate-write global model/input/output storage controls,COMFY-DESKTOP-147;COMFY-DESKTOP-149;COMFY-DESKTOP-152;COMFY-DESKTOP-186;COMFY-DESKTOP-187,functional,active,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/globalSettings/GlobalStorageSections.vue,Vue SFC GlobalStorageSections; <script setup> starts L1; <template> starts L146.,L35 exact type body: snapshot: GlobalStorageSnapshot. Defaults: none declared here; optional props are undefined.,L41 exact emit type body: touched: [].,sharedFieldPath@L69; handleOpenPath@L73; browseSharedDir@L77; handleBrowseSharedInput@L85; handleBrowseSharedOutput@L88; handleOpenModelsDir@L92; handleAddModelsDir@L97; handleRemoveModelsDir@L106; handleMakePrimary@L125; handleChangeModelsDir@L134,No focused existing test directly mounts this component; source contract is code-inferred.,A global-settings user managing shared storage roots.,"The user opens, browses, adds, changes, promotes, or removes a shared model/input/output directory.","GlobalStorageSnapshot supplies directory fields, ordered model roots, and system default; a title-popup global-settings bridge must be present for privileged effects.",All model roots render as shared; writes are immediate with no save step; unchanged or cancelled chooser results do nothing.,"Opening reveals the selected path; accepted chooser results update the exact field/list; add appends, change replaces, make-primary moves to index zero, and confirmed remove changes configuration without deleting files.",Controls inherit ModelsDirList and StorageDirRow labels/menu behavior; destructive removal requires a localized confirmation.,The parent snapshot remains authoritative; touched emits before each accepted mutation and async writes preserve user action order.,"Invalid indices, absent fields, cancelled chooser, unchanged paths, or denied removal are no-ops; bridge rejection remains visible through the owning modal/settings error channel.",Successful bridge updates persist shared storage settings immediately; removal never removes filesystem contents.,window.__comfyTitlePopup.globalSettingsBrowseFolder/globalSettingsOpenPath/globalSettingsUpdateField/globalSettingsSetModelsDirs plus touched emit.,This component owns concrete storage mutation and destructive-confirmation contracts shared by the popup experience.,missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the Immediate-write global model/input/output storage controls contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: Opening reveals the selected path; accepted chooser results update the exact field/list; add appends, change replaces, make-primary moves to index zero, and confirmed remove changes configuration without deleting files. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-C26AC23368A0; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise Immediate-write global model/input/output storage controls side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-DD428673BF77,Comfy-Desktop,desktop-renderer-surface,Ordered model-directory list with per-row action menus,COMFY-DESKTOP-152;COMFY-DESKTOP-181;COMFY-DESKTOP-186;COMFY-DESKTOP-187,functional,active,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/globalSettings/ModelsDirList.vue,Vue SFC ModelsDirList; <script setup> starts L1; <template> starts L151.,L25 exact type body: dirs: ModelsDir[]. Defaults: none declared here; optional props are undefined.,L31 exact emit type body: change: [index: number] remove: [index: number] 'make-primary': [index: number] open: [index: number] /** Open the detail modal for a read-only `kind: 'extra'` row. */ details: [index: number] add: [].,setMenuToggleRef@L46; setMenuRef@L51; canPromote@L56; canRemove@L60; hasMenuActions@L64; toggleMenu@L68; closeMenu@L77; focusFirstMenuItem@L83; menuItemsFor@L87; handleMenuArrow@L93; handleChange@L102; handleRemove@L107; handleMakePrimary@L117; onBeforeUnmount@L131,No focused existing test directly mounts this component; source contract is code-inferred.,A settings user managing model search roots.,"The user opens a directory, browses a replacement, views extra-path details, adds a root, or uses the row menu to promote/remove it.","Ordered dirs and systemDefault are required; row flags identify primary, shared, locked, or extra paths.",Locked/extra rows suppress mutation actions; only non-primary removable rows can be removed and only eligible non-primary rows can be promoted.,"Rows show primary/shared/local state, emit the exact source index for open/change/details/remove/make-primary, and emit add for the footer control.","Buttons have accessible labels; the action menu exposes aria-haspopup/expanded and role=menu/menuitem, handles Escape, Up, Down with wraparound, and restores focus to its toggle on close when requested.",Only one row menu is open; nextTick focuses its first item and outside row clicks close it without applying an action.,Out-of-range or ineligible actions do not emit; locked/default constraints remain visible through omitted actions rather than failing after activation.,No direct persistence; ordered-list mutations are emitted to the owning storage service.,Vue change/remove/make-primary/open/add/details emits; DOM focus ownership for per-row menus.,"The list defines independently testable ordering, eligibility, menu, and focus contracts.",missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the Ordered model-directory list with per-row action menus contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: Rows show primary/shared/local state, emit the exact source index for open/change/details/remove/make-primary, and emit add for the footer control. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-DD428673BF77; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise Ordered model-directory list with per-row action menus side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-139E276AF49C,Comfy-Desktop,desktop-renderer-surface,"Desktop app-update status, progress, actions, and preferences",COMFY-DESKTOP-107;COMFY-DESKTOP-109;COMFY-DESKTOP-110;COMFY-DESKTOP-113;COMFY-DESKTOP-114;COMFY-DESKTOP-155;COMFY-DESKTOP-185,functional,active,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/globalSettings/UpdatesSection.vue,Vue SFC UpdatesSection; <script setup> starts L1; <template> starts L173.,"L14 exact type body: state: AppUpdateState progress: AppUpdateDownloadProgress | null isDownloading: boolean checking: boolean lastCheckedAt: number | null installedVersion: string systemManaged?: boolean preferenceFields?: DetailField[]. Defaults: systemManaged: false, preferenceFields: () => []","L30 exact emit type body: 'update-now': [] 'check-for-update': [] 'update-field': [field: DetailField, value: unknown] 'open-path': [path: string].",formatVersionLabel@L39; normalizeVersion@L46,No focused existing test directly mounts this component; source contract is code-inferred.,A global-settings user checking or installing a Desktop update.,"The update snapshot changes or the user chooses check-for-update, update-now, a preference field update, or path open.","AppUpdateState, optional progress, download/check flags, capabilities, installed version, platform, last-check time, and preference sections are supplied by the host.",Version labels normalize a leading v; actions are disabled while checking/downloading; systemManaged and canSelfUpdate choose explanatory/action variants.,"The surface distinguishes idle, available, downloading, downloaded, current, failure, and system-managed states; shows percent/detail where available; and emits only the applicable update/check/settings action.","Native buttons expose disabled state and focus-visible styling; status is textual rather than color-only, and preference controls inherit SettingsSectionList semantics.",It is a pure projection of the latest update snapshot; repeated clicks are blocked while check/download is active.,"Malformed dates/version labels fall back to safe text; unavailable self-update explains the platform path, and an error state remains actionable rather than reporting current.",Preference updates may persist through the owner; update state/progress is transient and host-owned.,Vue check-for-update/update-now/update-field/open-path emits; updater and filesystem effects occur behind the title-popup bridge owner.,"Update state, platform capability, progress, and action gating are observable renderer behavior.",missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the Desktop app-update status, progress, actions, and preferences contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: The surface distinguishes idle, available, downloading, downloaded, current, failure, and system-managed states; shows percent/detail where available; and emits only the applicable update/check/settings action. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-139E276AF49C; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise Desktop app-update status, progress, actions, and preferences side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
COMFY-DESKTOP-RENDERER-84472AC5DBC6,Comfy-Desktop,desktop-renderer-surface,Keyboard-selectable instance-picker option row,COMFY-DESKTOP-086;COMFY-DESKTOP-165;COMFY-DESKTOP-181,functional,active,code-inferred,medium,projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitlePopup/instancePicker/InstanceRow.vue,Vue SFC InstanceRow; <script setup> starts L1; <template> starts L55.,"L11 exact type body: installation: Installation active?: boolean running?: boolean /** Install whose host window opened the picker; drives the ""Current"" pill. */ isCurrent?: boolean /** Drives the orange dot, which takes precedence over the green running dot. */ updateAvailable?: boolean /** Background op in flight; spinner dot takes precedence over the other dots. */ operating?: boolean lastLaunchedShortLabel: string /** Cloud-only capacity status: `disabled` no-ops the launch (footer also * gates), `degraded` swaps the recency label for a ""Heavy usage"" chip. */ capacityStatus?: CloudCapacityStatus. Defaults: active: false, running: false, isCurrent: false, updateAvailable: false, operating: false, capacityStatus: 'normal',",L42 exact emit type body: select: [installation: Installation].,handleClick@L48,No focused existing test directly mounts this component; source contract is code-inferred.,"A user choosing a local, remote, legacy, or cloud instance.",The row is clicked or receives Enter/Space while focused.,Installation is required; active/current/running/operating/update/recency/capacity props select badges and state.,capacityStatus defaults to normal and absent recency/status metadata omits only those badges.,"The row emits the exact installation once and shows precedence-ordered operating, update, running, capacity, current, and recency state.","role=option, aria-selected, tabindex=0, Enter, and Space provide keyboard parity. Capacity state is expressed with text pills, not color alone.",The component is stateless. Even a cloud-disabled row emits select so the parent can explain the capacity block rather than silently ignoring the user.,Missing optional metadata degrades to the base row; cloud disabled/degraded state is not mislabeled as running or launchable by this component.,No persistence; selection and launch decisions belong to the picker state/service.,Vue select(installation) emit; installTypeMeta projection only.,"Selection, status precedence, and disabled-cloud explanation are independently observable.",missing,No Comfy-specific Desktop renderer surface exists in the inspected Zed target.,"No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no GPUI surface that reproduces the Keyboard-selectable instance-picker option row contract, including its state, error, focus, and service-boundary behavior.","With deterministic props/service fixtures, the Zed GPUI surface shall reproduce this observable contract: The row emits the exact installation once and shows precedence-ordered operating, update, running, capacity, current, and recency state. It shall also preserve the documented failure/recovery and provide a keyboard-accessible path for every action.","Add a deterministic GPUI interaction test parameterized by COMFY-DESKTOP-RENDERER-84472AC5DBC6; assert success, empty/loading/error/cancel/retry states that apply, focus/keyboard behavior, emitted service requests, and no forbidden side effects.","Exercise Keyboard-selectable instance-picker option row side by side in Comfy-Desktop and Zed; compare localized text/state, pointer and keyboard actions, focus, cancellation, retry, destructive confirmation, and visible errors.","Electron renderer was not launched because dependencies are absent; native focus, screen-reader announcement, packaged bridge timing, and platform window-manager behavior remain runtime-unverified."
