path,classification,feature_ids,coverage_disposition,reason
projects/comfy/Comfy-Desktop/.gitattributes,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.github/workflows/build-bootstrap-python.yml,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.github/workflows/build-release.yml,production,COMFY-DESKTOP-107;COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.github/workflows/ci-cursor-review.yml,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.github/workflows/ci.yml,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.github/workflows/cla.yml,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.github/workflows/release-from-pr-label.yml,production,COMFY-DESKTOP-107;COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.github/workflows/version-bump.yml,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.gitignore,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/.husky/pre-commit,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/.prettierrc.json,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/AGENTS.md,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/LICENSE,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/README.md,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/assets/Comfy_Logo_mac_x1024.png,asset,COMFY-DESKTOP-095,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/assets/Comfy_Logo_x1024.png,asset,COMFY-DESKTOP-095,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/assets/Comfy_Logo_x256.png,asset,COMFY-DESKTOP-095,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/assets/Comfy_Logo_x32.png,asset,COMFY-DESKTOP-095,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/assets/Comfy_Logo_x512.png,asset,COMFY-DESKTOP-095,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/assets/Comfy_Logo_x64.png,asset,COMFY-DESKTOP-095,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/assets/hero.png,asset,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/docs/instance-navigation-926-handoff.md,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/docs/legacy-desktop-adopt-migration.md,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/chooser.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/copy-update-destination.test.ts,test-only,COMFY-DESKTOP-107,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/dashboard-delete-flow.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/devhooks-smoke.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/downloads-shelf.test.ts,test-only,COMFY-DESKTOP-136,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/dropdowns.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/launchApp.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-add-existing.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-cancel-flow.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-cloud.test.ts,test-only,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-copy-update-fail.test.ts,test-only,COMFY-DESKTOP-107,mapped,Mapped by source subsystem to the named desktop capability cluster.
