feature_id,product,direction,wire_kind,event_type,binary_code,schema,availability,evidence_level,confidence,trigger_success,error_recovery,ordering_concurrency,source_evidence,test_evidence,zed_status,parity_gap,acceptance_criteria
COMFY-WS-001,ComfyUI,client->server,JSON,feature_flags,,"{type:""feature_flags"",data:{feature:value}}; only the first text message is recognized for negotiation.",conditional,test-backed,high,First client text message; stores per-SID capabilities and triggers server feature_flags.,Invalid JSON logs a warning; later feature_flags messages are ignored for negotiation.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,server.py:websocket_handler,tests-unit/feature_flags_test.py | tests-unit/websocket_feature_flags_test.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for feature_flags.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for feature_flags: First client text message; stores per-SID capabilities and triggers server feature_flags.; It shall reproduce the source error/recovery and ordering contracts: Invalid JSON logs a warning; later feature_flags messages are ignored for negotiation.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-002,ComfyUI,server->client,JSON,status,,"{type:""status"",data:{status:{exec_info:{queue_remaining}},sid?}}",active,test-backed,high,Initial connection and every queue mutation; broadcast unless initial SID-targeted.,Socket send errors are logged and ignored.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,server.py:websocket_handler/queue_updated,tests-unit/app_test/custom_node_manager_test.py | tests-unit/app_test/model_manager_test.py | tests-unit/assets_test/conftest.py | tests-unit/assets_test/helpers.py | tests-unit/assets_test/test_assets_missing_sync.py | tests-unit/assets_test/test_crud.py | tests-unit/assets_test/test_downloads.py | tests-unit/assets_test/test_list_cursor.py | tests-unit/assets_test/test_list_filter.py | tests-unit/assets_test/test_metadata_filters.py | tests-unit/assets_test/test_prompt_id_enforcement.py | tests-unit/assets_test/test_prune_orphaned_assets.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for status.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for status: Initial connection and every queue mutation; broadcast unless initial SID-targeted.; It shall reproduce the source error/recovery and ordering contracts: Socket send errors are logged and ignored.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-003,ComfyUI,server->client,JSON,feature_flags,,"{type:""feature_flags"",data:SERVER_FEATURE_FLAGS}",conditional,test-backed,high,Response to first-message feature negotiation.,Unnegotiated clients receive no server feature flag event.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,server.py:websocket_handler; comfy_api/feature_flags.py,tests-unit/feature_flags_test.py | tests-unit/websocket_feature_flags_test.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for feature_flags.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for feature_flags: Response to first-message feature negotiation.; It shall reproduce the source error/recovery and ordering contracts: Unnegotiated clients receive no server feature flag event.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-004,ComfyUI,server->client,JSON,executing,,"{node,display_node?,prompt_id?}; node null marks prompt terminal.",active,test-backed,high,"Before each uncached node, reconnect replay, and after worker completion.",No message when no initiating client except explicitly broadcast paths.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,execution.py:execute; main.py:prompt_worker; server.py:websocket_handler,tests-unit/jobs_cancel_test/jobs_cancel_test.py | tests/execution/test_async_nodes.py | tests/execution/test_execution.py | tests/execution/test_preview_method.py | tests/inference/test_inference.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for executing.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for executing: Before each uncached node, reconnect replay, and after worker completion.; It shall reproduce the source error/recovery and ordering contracts: No message when no initiating client except explicitly broadcast paths.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-005,ComfyUI,server->client,JSON,executed,,"{node,display_node,output,prompt_id}",active,test-backed,high,After node UI output or cache hit.,Output may be null; intermediate outputs can emit before full prompt completes.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,execution.py:execute/_send_cached_ui,tests/execution/test_async_nodes.py | tests/execution/test_execution.py | tests/execution/test_jobs.py | tests/execution/test_public_api.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for executed.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for executed: After node UI output or cache hit.; It shall reproduce the source error/recovery and ordering contracts: Output may be null; intermediate outputs can emit before full prompt completes.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-006,ComfyUI,server->client,JSON,execution_start,,"{prompt_id,timestamp}",active,test-backed,high,PromptExecutor begins an accepted prompt.,Client-scoped; absent client ID suppresses transport but history retains message.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,execution.py:PromptExecutor.execute_async,tests/execution/test_jobs.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for execution_start.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for execution_start: PromptExecutor begins an accepted prompt.; It shall reproduce the source error/recovery and ordering contracts: Client-scoped; absent client ID suppresses transport but history retains message.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-007,ComfyUI,server->client,JSON,execution_cached,,"{nodes:[node_id],prompt_id,timestamp}",active,test-backed,high,After cache preparation identifies cached output ancestors.,Nodes array may be empty.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,execution.py:PromptExecutor.execute_async,tests/execution/test_execution.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for execution_cached.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for execution_cached: After cache preparation identifies cached output ancestors.; It shall reproduce the source error/recovery and ordering contracts: Nodes array may be empty.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-008,ComfyUI,server->client,JSON,execution_success,,"{prompt_id,timestamp}",active,test-backed,high,All selected output work succeeds.,Not emitted for interruption/error.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,execution.py:PromptExecutor.execute_async,tests/execution/test_jobs.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for execution_success.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for execution_success: All selected output work succeeds.; It shall reproduce the source error/recovery and ordering contracts: Not emitted for interruption/error.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-009,ComfyUI,server->client,JSON,execution_error,,"{prompt_id,node_id,node_type,executed,exception_message,exception_type,traceback,current_inputs,current_outputs,timestamp}",active,test-backed,high,Uncaught non-interruption node failure.,Initial lower-level execution_error may also be emitted for asynchronous failures; consumers must tolerate event schema variants at source lines.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,execution.py:execute/PromptExecutor.handle_execution_error,tests/execution/test_async_nodes.py | tests/execution/test_execution.py | tests/execution/test_jobs.py | tests/execution/test_preview_method.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for execution_error.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for execution_error: Uncaught non-interruption node failure.; It shall reproduce the source error/recovery and ordering contracts: Initial lower-level execution_error may also be emitted for asynchronous failures; consumers must tolerate event schema variants at source lines.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-010,ComfyUI,server->client,JSON,execution_interrupted,,"{prompt_id,node_id,node_type,executed,timestamp}",active,test-backed,high,InterruptProcessingException from global/targeted cancellation.,Broadcast flag is true even without initiating client.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,execution.py:PromptExecutor.handle_execution_error,tests/execution/test_jobs.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for execution_interrupted.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for execution_interrupted: InterruptProcessingException from global/targeted cancellation.; It shall reproduce the source error/recovery and ordering contracts: Broadcast flag is true even without initiating client.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-011,ComfyUI,server->client,JSON,progress,,"{value,max,prompt_id,node}",active,test-backed,high,Legacy ProgressBar callback update.,Client-scoped and superseded in part by progress_state.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,main.py:hijack_progress,tests-unit/seeder_test/test_seeder.py | tests-unit/websocket_feature_flags_test.py | tests/execution/test_jobs.py | tests/execution/test_preview_method.py | tests/execution/test_progress_isolation.py | tests/execution/test_public_api.py | tests/execution/testing_nodes/testing-pack/api_test_nodes.py | tests/test_asset_seeder.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for progress.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for progress: Legacy ProgressBar callback update.; It shall reproduce the source error/recovery and ordering contracts: Client-scoped and superseded in part by progress_state.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-012,ComfyUI,server->client,JSON,progress_state,,"{prompt_id,nodes:{node_id:{value,max,state,node_id,prompt_id,display_node_id,parent_node_id,real_node_id}}}",active,test-backed,high,Node progress start/update/finish; pending nodes are omitted.,No server instance/registry suppresses event.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,comfy_execution/progress.py:WebUIProgressHandler,tests/execution/test_progress_isolation.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for progress_state.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for progress_state: Node progress start/update/finish; pending nodes are omitted.; It shall reproduce the source error/recovery and ordering contracts: No server instance/registry suppresses event.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-013,ComfyUI,server->client,JSON,logs,,"{entries,size}",conditional,test-backed,high,Subscribed internal terminal log stream flush.,Only subscribed client ID receives entries; send failures are isolated.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,api_server/services/terminal_service.py:TerminalService.update,tests-unit/assets_test/conftest.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for logs.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for logs: Subscribed internal terminal log stream flush.; It shall reproduce the source error/recovery and ordering contracts: Only subscribed client ID receives entries; send failures are isolated.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-014,ComfyUI,server->client,JSON,assets.seed.started,,"{roots?,progress?}",conditional,code-inferred,high,Asset scan starts.,Feature-disabled seeder emits no scan lifecycle.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.started.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.started: Asset scan starts.; It shall reproduce the source error/recovery and ordering contracts: Feature-disabled seeder emits no scan lifecycle.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-015,ComfyUI,server->client,JSON,assets.seed.progress,,"{scanned,total,created,skipped,...}",conditional,code-inferred,high,Asset scan progress checkpoints.,Progress may be partial when paused/cancelled.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.progress.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.progress: Asset scan progress checkpoints.; It shall reproduce the source error/recovery and ordering contracts: Progress may be partial when paused/cancelled.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-016,ComfyUI,server->client,JSON,assets.seed.paused,,{},conditional,code-inferred,high,Worker or API pauses asset scan.,Pause blocks until resume/cancel.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.paused.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.paused: Worker or API pauses asset scan.; It shall reproduce the source error/recovery and ordering contracts: Pause blocks until resume/cancel.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-017,ComfyUI,server->client,JSON,assets.seed.resumed,,{},conditional,code-inferred,high,Asset scan resumes.,No-op state transitions may not emit.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.resumed.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.resumed: Asset scan resumes.; It shall reproduce the source error/recovery and ordering contracts: No-op state transitions may not emit.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-018,ComfyUI,server->client,JSON,assets.seed.fast_complete,,{scan summary},conditional,code-inferred,high,Fast filesystem scan phase completes.,Enrichment can still be pending.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.fast_complete.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.fast_complete: Fast filesystem scan phase completes.; It shall reproduce the source error/recovery and ordering contracts: Enrichment can still be pending.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-019,ComfyUI,server->client,JSON,assets.seed.enrich_complete,,{enrichment summary},conditional,code-inferred,high,Metadata/hash enrichment phase completes.,Individual errors remain in status error list.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.enrich_complete.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.enrich_complete: Metadata/hash enrichment phase completes.; It shall reproduce the source error/recovery and ordering contracts: Individual errors remain in status error list.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-020,ComfyUI,server->client,JSON,assets.seed.completed,,{scan summary},conditional,code-inferred,high,All requested scan phases complete.,Not emitted for cancellation/error terminal paths.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.completed.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.completed: All requested scan phases complete.; It shall reproduce the source error/recovery and ordering contracts: Not emitted for cancellation/error terminal paths.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-021,ComfyUI,server->client,JSON,assets.seed.cancelled,,{scan summary?},conditional,code-inferred,high,Cancellation checkpoint terminates scan.,Cancellation may wait for current checkpoint/file operation.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.cancelled.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.cancelled: Cancellation checkpoint terminates scan.; It shall reproduce the source error/recovery and ordering contracts: Cancellation may wait for current checkpoint/file operation.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-022,ComfyUI,server->client,JSON,assets.seed.error,,"{message,...}",conditional,code-inferred,high,Seeder catches scan failure.,Error details may be aggregated and scan state becomes terminal error.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,app/assets/seeder.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for assets.seed.error.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for assets.seed.error: Seeder catches scan failure.; It shall reproduce the source error/recovery and ordering contracts: Error details may be aggregated and scan state becomes terminal error.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
COMFY-WS-023,ComfyUI,server->client,binary,PREVIEW_IMAGE,1,"big-endian uint32 event=1 + big-endian uint32 image_type (1 JPEG,2 PNG) + encoded image bytes",active,test-backed,high,Legacy unencoded preview conversion or direct preview bytes.,Unknown image type defaults numeric 1 while encode format follows input image_type.,Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.,protocol.py; server.py:send_image/encode_bytes,tests-unit/app_test/custom_node_manager_test.py | tests-unit/app_test/frontend_manager_test.py | tests-unit/app_test/model_manager_test.py | tests-unit/app_test/node_replace_manager_test.py | tests-unit/app_test/test_migrations.py | tests-unit/app_test/user_manager_system_user_test.py | tests-unit/assets_test/conftest.py | tests-unit/assets_test/queries/test_asset.py | tests-unit/assets_test/queries/test_asset_info.py | tests-unit/assets_test/queries/test_asset_reference_keyset.py | tests-unit/assets_test/queries/test_cache_state.py | tests-unit/assets_test/queries/test_metadata.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native WebSocket adapter for PREVIEW_IMAGE.,"Zed's native event bus and Rust WebSocket host shall reproduce the source trigger/success contract for PREVIEW_IMAGE: Legacy unencoded preview conversion or direct preview bytes.; It shall reproduce the source error/recovery and ordering contracts: Unknown image type defaults numeric 1 while encode format follows input image_type.; Messages are enqueued thread-safely and published serially by PromptServer.publish_loop; targeted SID or broadcast semantics apply.; Exact framing, client routing, reconnect projection, unknown fields, cancellation, and shutdown shall be native; no event may be consumed from or forwarded to another Comfy server."
